R-DRE-2500257	Resolution of Sister Chromatid Cohesion	44	78	1	1	1	1	1	1	1	1	1	10	77	4804	0.98742	0.16221	0.16221	1.28	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-2555396	Mitotic Metaphase and Anaphase	92	156	2	2	2	2	2	2	2	2	2	9	154	4727	0.99565	0.04601	0.04601	1.28	559297;497403	ankle2;cenpf	ENSDARG00000035607;ENSDARG00000055133		0.5713550000000001	0.5713550000000001	0.467483	0.1468971911508178	0.5102360240171366	0.11877595008086615	0.289813	0.289813	0.26556	0.03429892152823513	0.27554237341620086	0.027732912789887976	1.1373250000000001	1.1373250000000001	0.82294	0.4446075308066651	0.9523387740259888	0.3594941569063176					0.467483;0.675227	0.26556;0.314066	0.82294;1.45171	1	1	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,2(1)	1.7915429076344505	3.601186156272888	1.6202893257141113	1.9808968305587769	0.25498801202242377	1.800593078136444	0.3677658800000001	0.77494412	0.24227712	0.33734887999999996	0.5211304000000002	1.7535196000000002	CONFLICT	0.5	0.5	0.0	
R-DRE-5663220	RHO GTPases Activate Formins	49	79	1	1	1	1	1	1	1	1	1	10	78	4803	0.98711	0.16412	0.16412	1.27	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-68877	Mitotic Prometaphase	65	119	1	1	1	1	1	1	1	1	1	10	118	4763	0.97204	0.23751	0.23751	0.84	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-68882	Mitotic Anaphase	92	155	2	2	2	2	2	2	2	2	2	9	153	4728	0.99573	0.045476	0.045476	1.29	559297;497403	ankle2;cenpf	ENSDARG00000035607;ENSDARG00000055133		0.5713550000000001	0.5713550000000001	0.467483	0.1468971911508178	0.5102360240171366	0.11877595008086615	0.289813	0.289813	0.26556	0.03429892152823513	0.27554237341620086	0.027732912789887976	1.1373250000000001	1.1373250000000001	0.82294	0.4446075308066651	0.9523387740259888	0.3594941569063176					0.467483;0.675227	0.26556;0.314066	0.82294;1.45171	1	1	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,2(1)	1.7915429076344505	3.601186156272888	1.6202893257141113	1.9808968305587769	0.25498801202242377	1.800593078136444	0.3677658800000001	0.77494412	0.24227712	0.33734887999999996	0.5211304000000002	1.7535196000000002	CONFLICT	0.5	0.5	0.0	
R-DRE-68886	M Phase	145	252	2	2	2	2	2	2	2	2	2	9	250	4631	0.98362	0.107	0.107	0.79	559297;497403	ankle2;cenpf	ENSDARG00000035607;ENSDARG00000055133		0.5713550000000001	0.5713550000000001	0.467483	0.1468971911508178	0.5102360240171366	0.11877595008086615	0.289813	0.289813	0.26556	0.03429892152823513	0.27554237341620086	0.027732912789887976	1.1373250000000001	1.1373250000000001	0.82294	0.4446075308066651	0.9523387740259888	0.3594941569063176					0.467483;0.675227	0.26556;0.314066	0.82294;1.45171	1	1	1	559297	ENSDARG00000035607	0.467483	0.467483		0.26556	0.26556		0.82294	0.82294		0.467483	0.26556	0.82294	1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,2(1)	1.7915429076344505	3.601186156272888	1.6202893257141113	1.9808968305587769	0.25498801202242377	1.800593078136444	0.3677658800000001	0.77494412	0.24227712	0.33734887999999996	0.5211304000000002	1.7535196000000002	CONFLICT	0.5	0.5	0.0	
R-DRE-69618	Mitotic Spindle Checkpoint	40	75	1	1	1	1	1	1	1	1	1	10	74	4807	0.98834	0.15644	0.15644	1.33	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-69620	Cell Cycle Checkpoints	99	187	1	1	1	1	1	1	1	1	1	10	186	4695	0.93628	0.34896	0.34896	0.53	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-9648025	EML4 and NUDC in mitotic spindle formation	38	69	1	1	1	1	1	1	1	1	1	10	68	4813	0.99007	0.1448	0.1448	1.45	497403	cenpf	ENSDARG00000055133		0.675227	0.675227	0.675227		0.675227		0.314066	0.314066	0.314066		0.314066		1.45171	1.45171	1.45171		1.45171						0.675227	0.314066	1.45171	0	1	0															1	497403	ENSDARG00000055133	0.675227	0.675227		0.314066	0.314066		1.45171	1.45171		0.675227	0.314066	1.45171	0						Linear,1(1)	1.6202893257141113	1.6202893257141113	1.6202893257141113	1.6202893257141113	0.0	1.6202893257141113	0.675227	0.675227	0.314066	0.314066	1.45171	1.45171	DOWN	0.0	1.0	0.0	
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	281	403	9	5	4	6	6	6	9	4	4	7	399	4482	0.99887	0.0093827	0.0093827	0.99	561082;559297;497403;386967	cavin1b;ankle2;cenpf;stam	ENSDARG00000059362;ENSDARG00000035607;ENSDARG00000055133;ENSDARG00000002127		0.419780125	0.495177	0.0135395	0.2847149710026898	0.3966381513311978	0.2550977302186792	0.21608625999999997	0.2737775	0.00272404	0.14366057140794442	0.21305312212829997	0.13520841186952123	0.8278609000000001	0.8962185	0.0672966	0.5737975119282992	0.7488923272882582	0.48816511835687776					0.522871;0.467483;0.675227;0.0135395	0.281995;0.26556;0.314066;0.00272404	0.969497;0.82294;1.45171;0.0672966	2	2	2	561082;559297	ENSDARG00000059362;ENSDARG00000035607	0.495177	0.495177	0.039165230396360176	0.2737775	0.2737775	0.011621299948801704	0.8962185	0.8962185	0.10363144853035666	0.522871;0.467483	0.281995;0.26556	0.969497;0.82294	2	497403;386967	ENSDARG00000055133;ENSDARG00000002127	0.34438325000000003	0.34438325000000003	0.46788371827637365	0.15839502	0.15839502	0.22015201118391084	0.7595033	0.7595033	0.9789281031055246	0.675227;0.0135395	0.314066;0.00272404	1.45171;0.0672966	0						Exp 5,1(0.25);Linear,3(0.75)	2.059154397819361	8.391372084617615	1.6202893257141113	2.76253080368042	0.47905119161963106	2.0042759776115417	0.140759453417364	0.6988007965826362	0.07529890002021455	0.3568736199797854	0.26553933831026677	1.3901824616897334	CONFLICT	0.5	0.5	0.0	
R-DRE-156827	L13a-mediated translational silencing of Ceruloplasmin expression	74	76	1	1	0	0	0	0	1	0	0	11	76	4805	0.84163	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1799339	SRP-dependent cotranslational protein targeting to membrane	60	64	1	1	0	0	0	0	1	0	0	11	64	4817	0.86502	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	90	118	3	1	0	2	2	1	3	0	0	11	118	4763	0.76425	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72312	rRNA processing	90	118	3	1	0	2	2	1	3	0	0	11	118	4763	0.76425	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72613	Eukaryotic Translation Initiation	76	79	1	1	0	0	0	0	1	0	0	11	79	4802	0.83588	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72649	Translation initiation complex formation	40	42	1	1	0	0	0	0	1	0	0	11	42	4839	0.90942	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	40	42	1	1	0	0	0	0	1	0	0	11	42	4839	0.90942	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72689	Formation of a pool of free 40S subunits	69	71	1	1	0	0	0	0	1	0	0	11	71	4810	0.85131	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72695	Formation of the ternary complex, and subsequently, the 43S complex	37	39	1	1	0	0	0	0	1	0	0	11	39	4842	0.91564	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72702	Ribosomal scanning and start codon recognition	39	41	1	1	0	0	0	0	1	0	0	11	41	4840	0.91149	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	73	75	1	1	0	0	0	0	1	0	0	11	75	4806	0.84356	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72737	Cap-dependent Translation Initiation	76	79	1	1	0	0	0	0	1	0	0	11	79	4802	0.83588	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72766	Translation	100	145	1	1	0	0	0	0	1	0	0	11	145	4736	0.71798	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8868773	rRNA processing in the nucleus and cytosol	90	118	3	1	0	2	2	1	3	0	0	11	118	4763	0.76425	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8953854	Metabolism of RNA	246	372	3	1	0	2	2	1	3	0	0	11	372	4509	0.41857	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-927802	Nonsense-Mediated Decay (NMD)	72	77	1	1	0	0	0	0	1	0	0	11	77	4804	0.83971	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	60	63	1	1	0	0	0	0	1	0	0	11	63	4818	0.86699	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	72	77	1	1	0	0	0	0	1	0	0	11	77	4804	0.83971	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199992	trans-Golgi Network Vesicle Budding	31	39	1	1	1	1	1	1	1	1	1	10	38	4843	0.99674	0.084364	0.084364	2.56	58108	fth1a	ENSDARG00000015551		0.515123	0.515123	0.515123		0.515123		0.279796	0.279796	0.279796		0.279796		0.948377	0.948377	0.948377		0.948377						0.515123	0.279796	0.948377	1	0	1	58108	ENSDARG00000015551	0.515123	0.515123		0.279796	0.279796		0.948377	0.948377		0.515123	0.279796	0.948377	0															0						Linear,1(1)	1.5256692171096802	1.5256692171096802	1.5256692171096802	1.5256692171096802	0.0	1.5256692171096802	0.515123	0.515123	0.279796	0.279796	0.948377	0.948377	UP	1.0	0.0	0.0	
R-DRE-446203	Asparagine N-linked glycosylation	80	160	3	1	1	2	2	2	3	1	1	10	159	4722	0.95183	0.30661	0.30661	0.62	393598	alg9	ENSDARG00000012840		0.587414	0.587414	0.587414		0.587414		0.297681	0.297681	0.297681		0.297681		1.15914	1.15914	1.15914		1.15914						0.587414	0.297681	1.15914	1	0	1	393598	ENSDARG00000012840	0.587414	0.587414		0.297681	0.297681		1.15914	1.15914		0.587414	0.297681	1.15914	0															0						Linear,1(1)	1.929970622062683	1.929970622062683	1.929970622062683	1.929970622062683	0.0	1.929970622062683	0.587414	0.587414	0.297681	0.297681	1.15914	1.15914	UP	1.0	0.0	0.0	
R-DRE-948021	Transport to the Golgi and subsequent modification	54	104	2	0	0	1	1	1	2	0	0	11	104	4777	0.78929	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975576	N-glycan antennae elongation in the medial/trans-Golgi	10	18	2	0	0	1	1	1	2	0	0	11	18	4863	0.96022	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975578	Reactions specific to the complex N-glycan synthesis pathway	3	8	2	0	0	1	1	1	2	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9012999	RHO GTPase cycle	189	252	6	3	3	3	3	3	6	3	3	8	249	4632	0.9983	0.016376	0.016376	1.19	561082;559297;386967	cavin1b;ankle2;stam	ENSDARG00000059362;ENSDARG00000035607;ENSDARG00000002127		0.33463116666666665	0.467483	0.0135395	0.2794491929458436	0.35933362036140803	0.255608939464067	0.18342634666666666	0.26556	0.00272404	0.1567083917096993	0.19952695965295894	0.14490179282699542	0.6199112000000001	0.82294	0.0672966	0.48415587434432716	0.6547812967747574	0.4375988843216494					0.522871;0.467483;0.0135395	0.281995;0.26556;0.00272404	0.969497;0.82294;0.0672966	2	1	2	561082;559297	ENSDARG00000059362;ENSDARG00000035607	0.495177	0.495177	0.039165230396360176	0.2737775	0.2737775	0.011621299948801704	0.8962185	0.8962185	0.10363144853035666	0.522871;0.467483	0.281995;0.26556	0.969497;0.82294	1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(0.34);Linear,2(0.67)	2.230425347869528	6.771082758903503	1.9808968305587769	2.76253080368042	0.43840245391933697	2.0276551246643066	0.018404635793337898	0.6508576975399953	0.006094107676445054	0.36075858565688834	0.07203725221042556	1.1677851477895744	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1630316	Glycosaminoglycan metabolism	30	78	1	0	0	1	1	0	1	0	0	11	78	4803	0.83779	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71387	Metabolism of carbohydrates	75	148	3	0	0	2	2	1	3	0	0	11	148	4733	0.713	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-166520	Signaling by NTRKs	39	49	1	1	1	0	0	0	1	0	0	11	49	4832	0.89507	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-187037	Signaling by NTRK1 (TRKA)	35	43	1	1	1	0	0	0	1	0	0	11	43	4838	0.90736	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-198725	Nuclear Events (kinase and transcription factor activation)	15	18	1	1	1	0	0	0	1	0	0	11	18	4863	0.96022	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3247509	Chromatin modifying enzymes	70	100	1	1	1	1	1	1	1	1	1	10	99	4782	0.97982	0.20342	0.20342	1.0	323181	kat7b	ENSDARG00000031770		0.480523	0.480523	0.480523		0.480523		0.269546	0.269546	0.269546		0.269546		0.856635	0.856635	0.856635		0.856635						0.480523	0.269546	0.856635	1	0	1	323181	ENSDARG00000031770	0.480523	0.480523		0.269546	0.269546		0.856635	0.856635		0.480523	0.269546	0.856635	0															0						Linear,1(1)	3.357515573501587	3.357515573501587	3.357515573501587	3.357515573501587	0.0	3.357515573501587	0.480523	0.480523	0.269546	0.269546	0.856635	0.856635	UP	1.0	0.0	0.0	
R-DRE-4839726	Chromatin organization	70	100	1	1	1	1	1	1	1	1	1	10	99	4782	0.97982	0.20342	0.20342	1.0	323181	kat7b	ENSDARG00000031770		0.480523	0.480523	0.480523		0.480523		0.269546	0.269546	0.269546		0.269546		0.856635	0.856635	0.856635		0.856635						0.480523	0.269546	0.856635	1	0	1	323181	ENSDARG00000031770	0.480523	0.480523		0.269546	0.269546		0.856635	0.856635		0.480523	0.269546	0.856635	0															0						Linear,1(1)	3.357515573501587	3.357515573501587	3.357515573501587	3.357515573501587	0.0	3.357515573501587	0.480523	0.480523	0.269546	0.269546	0.856635	0.856635	UP	1.0	0.0	0.0	
R-DRE-5693532	DNA Double-Strand Break Repair	44	90	2	1	0	2	2	0	2	0	0	11	90	4791	0.81508	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693538	Homology Directed Repair	35	74	1	1	0	1	1	0	1	0	0	11	74	4807	0.84549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	32	69	1	1	0	1	1	0	1	0	0	11	69	4812	0.8552	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693571	Nonhomologous End-Joining (NHEJ)	17	34	1	0	0	1	1	0	1	0	0	11	34	4847	0.92608	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73894	DNA Repair	86	177	3	2	1	3	3	1	3	1	1	10	176	4705	0.94223	0.33356	0.33356	0.56	101886162	sprtn	ENSDARG00000104709		0.484364	0.484364	0.484364		0.484364		0.271058	0.271058	0.271058		0.271058		0.865529	0.865529	0.865529		0.865529						0.484364	0.271058	0.865529	1	0	1	101886162	ENSDARG00000104709	0.484364	0.484364		0.271058	0.271058		0.865529	0.865529		0.484364	0.271058	0.865529	0															0						Linear,1(1)	2.6050593852996826	2.6050593852996826	2.6050593852996826	2.6050593852996826	0.0	2.6050593852996826	0.484364	0.484364	0.271058	0.271058	0.865529	0.865529	UP	1.0	0.0	0.0	
R-DRE-422475	Axon guidance	114	145	1	1	1	0	0	0	1	0	0	11	145	4736	0.71798	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9675108	Nervous system development	115	146	1	1	1	0	0	0	1	0	0	11	146	4735	0.71631	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112315	Transmission across Chemical Synapses	88	133	2	1	0	1	1	1	2	0	0	11	133	4748	0.73822	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112316	Neuronal System	127	208	3	2	1	1	1	1	3	0	0	11	208	4673	0.61975	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	176	343	3	2	1	0	0	0	3	0	0	11	343	4538	0.44911	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8978868	Fatty acid metabolism	50	94	2	1	0	0	0	0	2	0	0	11	94	4787	0.80764	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8949215	Mitochondrial calcium ion transport	7	11	1	0	0	1	1	0	1	0	0	11	11	4870	0.97552	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8949664	Processing of SMDT1	4	8	1	0	0	1	1	0	1	0	0	11	8	4873	0.98214	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1428517	The citric acid (TCA) cycle and respiratory electron transport	66	119	1	0	0	0	0	0	1	0	0	11	119	4762	0.76249	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2262752	Cellular responses to stress	199	336	2	0	0	1	1	1	2	0	0	11	336	4545	0.45678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8953897	Cellular responses to stimuli	199	336	2	0	0	1	1	1	2	0	0	11	336	4545	0.45678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013148	CDC42 GTPase cycle	68	85	1	0	0	0	0	0	1	0	0	11	85	4796	0.82448	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013149	RAC1 GTPase cycle	72	91	1	0	0	0	0	0	1	0	0	11	91	4790	0.81321	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013404	RAC2 GTPase cycle	28	39	1	0	0	0	0	0	1	0	0	11	39	4842	0.91564	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013423	RAC3 GTPase cycle	38	51	1	0	0	0	0	0	1	0	0	11	51	4830	0.89101	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983231	Factors involved in megakaryocyte development and platelet production	59	82	2	2	0	2	2	2	2	0	0	11	82	4799	0.83016	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1474228	Degradation of the extracellular matrix	26	59	2	2	2	1	1	1	2	1	1	10	58	4823	0.99267	0.12507	0.12507	1.69	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999						0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-1474244	Extracellular matrix organization	62	129	2	2	2	1	1	1	2	1	1	10	128	4753	0.96752	0.25492	0.25492	0.78	561679	col11a2	ENSDARG00000012422		0.412555	0.412555	0.412555		0.41255499999999995		0.246333	0.246333	0.246333		0.246333		0.690943	0.690943	0.690943		0.6909429999999999						0.412555	0.246333	0.690943	1	0	1	561679	ENSDARG00000012422	0.412555	0.412555		0.246333	0.246333		0.690943	0.690943		0.412555	0.246333	0.690943	0															0						Linear,1(1)	1.8231637477874756	1.8231637477874756	1.8231637477874756	1.8231637477874756	0.0	1.8231637477874756	0.412555	0.412555	0.246333	0.246333	0.690943	0.690943	UP	1.0	0.0	0.0	
R-DRE-165159	MTOR signalling	15	23	1	0	0	0	0	0	1	0	0	11	23	4858	0.94943	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804756	Regulation of TP53 Activity through Phosphorylation	37	60	2	2	2	1	1	1	2	1	1	10	59	4822	0.99242	0.12706	0.12706	1.67	449949	ssrp1b	ENSDARG00000016994		0.461335	0.461335	0.461335		0.461335		0.263635	0.263635	0.263635		0.263635		0.807293	0.807293	0.807293		0.807293						0.461335	0.263635	0.807293	1	0	1	449949	ENSDARG00000016994	0.461335	0.461335		0.263635	0.263635		0.807293	0.807293		0.461335	0.263635	0.807293	0															0						Linear,1(1)	1.7943323850631714	1.7943323850631714	1.7943323850631714	1.7943323850631714	0.0	1.7943323850631714	0.461335	0.461335	0.263635	0.263635	0.807293	0.807293	UP	1.0	0.0	0.0	
R-DRE-8852135	Protein ubiquitination	33	48	1	1	0	1	1	0	1	0	0	11	48	4833	0.89711	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696398	Nucleotide Excision Repair	39	74	1	1	0	1	1	0	1	0	0	11	74	4807	0.84549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	28	54	1	1	0	1	1	0	1	0	0	11	54	4827	0.88495	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696400	Dual Incision in GG-NER	12	24	1	1	0	1	1	0	1	0	0	11	24	4857	0.94729	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	24	50	1	1	0	1	1	0	1	0	0	11	50	4831	0.89304	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6782135	Dual incision in TC-NER	19	43	1	1	0	1	1	0	1	0	0	11	43	4838	0.90736	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5688426	Deubiquitination	99	156	2	2	2	2	2	1	2	1	1	10	155	4726	0.95399	0.30013	0.30013	0.64	386967	stam	ENSDARG00000002127		0.0135395	0.0135395	0.0135395		0.0135395		0.00272404	0.00272404	0.00272404		0.00272404		0.0672966	0.0672966	0.0672966		0.0672966						0.0135395	0.00272404	0.0672966	0	1	0															1	386967	ENSDARG00000002127	0.0135395	0.0135395		0.00272404	0.00272404		0.0672966	0.0672966		0.0135395	0.00272404	0.0672966	0						Exp 5,1(1)	2.76253080368042	2.76253080368042	2.76253080368042	2.76253080368042	0.0	2.76253080368042	0.0135395	0.0135395	0.00272404	0.00272404	0.0672966	0.0672966	DOWN	0.0	1.0	0.0	
R-DRE-195721	Signaling by WNT	135	199	1	1	1	1	1	1	1	1	1	10	198	4683	0.92887	0.36701	0.36701	0.5	30369	fzd7a	ENSDARG00000060004		0.560285	0.560285	0.560285		0.560285		0.291463	0.291463	0.291463		0.291463		1.07705	1.07705	1.07705		1.07705						0.560285	0.291463	1.07705	1	0	1	30369	ENSDARG00000060004	0.560285	0.560285		0.291463	0.291463		1.07705	1.07705		0.560285	0.291463	1.07705	0															0						Linear,1(1)	2.310438394546509	2.310438394546509	2.310438394546509	2.310438394546509	0.0	2.310438394546509	0.560285	0.560285	0.291463	0.291463	1.07705	1.07705	UP	1.0	0.0	0.0	
R-DRE-3858494	Beta-catenin independent WNT signaling	67	92	1	1	1	1	1	1	1	1	1	10	91	4790	0.98277	0.18865	0.18865	1.09	30369	fzd7a	ENSDARG00000060004		0.560285	0.560285	0.560285		0.560285		0.291463	0.291463	0.291463		0.291463		1.07705	1.07705	1.07705		1.07705						0.560285	0.291463	1.07705	1	0	1	30369	ENSDARG00000060004	0.560285	0.560285		0.291463	0.291463		1.07705	1.07705		0.560285	0.291463	1.07705	0															0						Linear,1(1)	2.310438394546509	2.310438394546509	2.310438394546509	2.310438394546509	0.0	2.310438394546509	0.560285	0.560285	0.291463	0.291463	1.07705	1.07705	UP	1.0	0.0	0.0	
R-DRE-1483206	Glycerophospholipid biosynthesis	34	68	1	1	0	0	0	0	1	0	0	11	68	4813	0.85716	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483257	Phospholipid metabolism	60	108	1	1	0	0	0	0	1	0	0	11	108	4773	0.78206	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71336	Pentose phosphate pathway	5	9	1	0	0	0	0	0	1	0	0	11	9	4872	0.97993	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371556	Cellular response to heat stress	38	60	1	0	0	0	0	0	1	0	0	11	60	4821	0.87294	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2142753	Arachidonic acid metabolism	10	30	1	1	0	0	0	0	1	0	0	11	30	4851	0.93451	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1638074	Keratan sulfate/keratin metabolism	10	23	1	0	0	1	1	0	1	0	0	11	23	4858	0.94943	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022854	Keratan sulfate biosynthesis	9	21	1	0	0	1	1	0	1	0	0	11	21	4860	0.95373	1.0	1.0	0.0																														0	0	0															0															0																							
