R-DRE-8953897	Cellular responses to stimuli	315	351	3	3	2	3	3	3	3	2	2	7	349	4544	0.9779	0.13181	0.13181	0.57	565155;335865	hsp90aa1.2;hspa4a	ENSDARG00000024746;ENSDARG00000004754		0.50726	0.50726	0.426689	0.11394460093396244	0.5057118281527399	0.11392356389203498	0.24956250000000002	0.24956250000000002	0.232706	0.023838690914141522	0.2492386023352901	0.02383428969165242	1.039688	1.039688	0.782376	0.36389412016134576	1.0347437496572933	0.3638269361456033									0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0	2	0															2	565155;335865	ENSDARG00000024746;ENSDARG00000004754	0.50726	0.50726	0.11394460093396244	0.24956250000000002	0.24956250000000002	0.023838690914141522	1.039688	1.039688	0.36389412016134576	0.426689;0.587831	0.232706;0.266419	0.782376;1.297	0						Linear,2(1)	1.6765395684220499	3.3542158603668213	1.6334491968154907	1.7207666635513306	0.061742772844943145	1.6771079301834106	0.34934084000000004	0.6651791600000001	0.21652376	0.28260124000000003	0.53535648	1.54401952	DOWN	0.0	1.0	0.0	
R-DRE-9006925	Intracellular signaling by second messengers	160	175	2	2	0	2	2	2	2	0	0	9	175	4718	0.72076	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9006931	Signaling by Nuclear Receptors	138	155	6	5	2	6	6	5	6	2	2	7	153	4740	0.99774	0.030906	0.030906	1.29	751785;565155	aldh1a3;hsp90aa1.2	ENSDARG00000076933;ENSDARG00000024746		0.276822	0.276822	0.126955	0.21194394395216862	0.2631188215755727	0.21105610908034997	0.1280613	0.1280613	0.0234166	0.14798995397046383	0.1184930495160998	0.14737002287281728	0.7353365000000001	0.7353365000000001	0.688297	0.06652389886724863	0.7310354152949226	0.06624522972425506									0.126955;0.426689	0.0234166;0.232706	0.688297;0.782376	0	2	0															2	751785;565155	ENSDARG00000076933;ENSDARG00000024746	0.276822	0.276822	0.21194394395216862	0.1280613	0.1280613	0.14798995397046383	0.7353365000000001	0.7353365000000001	0.06652389886724863	0.126955;0.426689	0.0234166;0.232706	0.688297;0.782376	0						Linear,1(0.5);Poly 2,1(0.5)	1.6655716042647715	3.332913637161255	1.6121469736099243	1.7207666635513306	0.07680571932794858	1.6664568185806274	-0.016917319999999902	0.5705613199999999	-0.07704231200000003	0.333164912	0.6431390800000001	0.82753392	DOWN	0.0	1.0	0.0	
R-DRE-9006934	Signaling by Receptor Tyrosine Kinases	245	254	5	2	1	4	4	3	5	1	1	8	253	4640	0.92433	0.38076	0.38076	0.39	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-9009391	Extra-nuclear estrogen signaling	42	44	3	3	1	3	3	3	3	1	1	8	43	4850	0.99728	0.078004	0.078004	2.27	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-9711123	Cellular response to chemical stress	111	119	1	1	0	1	1	1	1	0	0	9	119	4774	0.80143	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9755511	KEAP1-NFE2L2 pathway	58	63	1	1	0	1	1	1	1	0	0	9	63	4830	0.89002	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-211945	Phase I - Functionalization of compounds	59	61	2	1	0	2	2	1	2	0	0	9	61	4832	0.89334	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-373076	Class A/1 (Rhodopsin-like receptors)	126	219	6	5	1	6	6	5	6	1	1	8	218	4675	0.94186	0.33747	0.33747	0.46	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-375276	Peptide ligand-binding receptors	72	108	4	3	1	4	4	3	4	1	1	8	107	4786	0.98435	0.18182	0.18182	0.93	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-416476	G alpha (q) signalling events	94	125	2	2	1	2	2	2	2	1	1	8	124	4769	0.97935	0.20758	0.20758	0.8	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-418594	G alpha (i) signalling events	136	166	4	3	0	4	4	3	4	0	0	9	166	4727	0.73322	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-500792	GPCR ligand binding	170	264	8	6	1	7	7	6	8	1	1	8	263	4630	0.91902	0.39266	0.39266	0.38	569550	edn2	ENSDARG00000070578		0.0558636	0.0558636	0.0558636		0.0558636		0.0266279	0.0266279	0.0266279		0.0266279		0.117198	0.117198	0.117198		0.11719800000000001										0.0558636	0.0266279	0.117198	0	1	0															1	569550	ENSDARG00000070578	0.0558636	0.0558636		0.0266279	0.0266279		0.117198	0.117198		0.0558636	0.0266279	0.117198	0						Poly 2,1(1)	2.7048754692077637	2.7048754692077637	2.7048754692077637	2.7048754692077637	0.0	2.7048754692077637	0.0558636	0.0558636	0.0266279	0.0266279	0.117198	0.117198	DOWN	0.0	1.0	0.0	
R-DRE-983168	Antigen processing: Ubiquitination & Proteasome degradation	183	193	1	1	0	1	1	1	1	0	0	9	193	4700	0.69641	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-983169	Class I MHC mediated antigen processing & presentation	212	231	1	1	0	1	1	1	1	0	0	9	231	4662	0.6474	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-397014	Muscle contraction	84	92	2	1	0	2	2	1	2	0	0	9	92	4801	0.84311	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5576891	Cardiac conduction	56	61	1	1	0	1	1	1	1	0	0	9	61	4832	0.89334	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-382551	Transport of small molecules	340	372	3	3	1	2	2	2	3	0	0	9	372	4521	0.4912	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-190236	Signaling by FGFR	62	64	2	0	0	2	2	1	2	0	0	9	64	4829	0.88836	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654712	FRS-mediated FGFR4 signaling	14	15	1	0	0	1	1	1	1	0	0	9	15	4878	0.97277	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654716	Downstream signaling of activated FGFR4	18	19	1	0	0	1	1	1	1	0	0	9	19	4874	0.96562	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5654743	Signaling by FGFR4	30	31	1	0	0	1	1	1	1	0	0	9	31	4862	0.94446	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5673001	RAF/MAP kinase cascade	151	157	1	0	0	1	1	1	1	0	0	9	157	4736	0.74587	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5683057	MAPK family signaling cascades	173	180	1	0	0	1	1	1	1	0	0	9	180	4713	0.71392	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5684996	MAPK1/MAPK3 signaling	154	161	1	0	0	1	1	1	1	0	0	9	161	4732	0.74022	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	59	67	2	2	0	2	2	2	2	0	0	9	67	4826	0.88341	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-194315	Signaling by Rho GTPases	371	394	7	4	1	5	5	5	7	1	1	8	393	4500	0.84059	0.52987	0.52987	0.25	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-195258	RHO GTPase Effectors	164	179	2	1	0	1	1	1	2	0	0	9	179	4714	0.71529	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-68877	Mitotic Prometaphase	117	119	1	1	1	1	1	1	1	1	1	8	118	4775	0.98118	0.19857	0.19857	0.84	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-68886	M Phase	232	252	2	1	1	2	2	2	2	1	1	8	251	4642	0.92537	0.37835	0.37835	0.4	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-69620	Cell Cycle Checkpoints	175	187	1	1	1	1	1	1	1	1	1	8	186	4707	0.95633	0.29555	0.29555	0.53	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	380	403	8	5	1	6	6	6	8	1	1	8	402	4491	0.83465	0.53826	0.53826	0.25	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-8953854	Metabolism of RNA	372	376	2	0	0	2	2	0	2	0	0	9	376	4517	0.48731	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-927802	Nonsense-Mediated Decay (NMD)	80	80	1	0	0	1	1	0	1	0	0	9	80	4813	0.86225	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	80	80	1	0	0	1	1	0	1	0	0	9	80	4813	0.86225	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-199992	trans-Golgi Network Vesicle Budding	39	39	2	2	0	2	2	2	2	0	0	9	39	4854	0.93058	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-432720	Lysosome Vesicle Biogenesis	21	21	1	1	0	1	1	1	1	0	0	9	21	4872	0.96207	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-446203	Asparagine N-linked glycosylation	155	160	3	2	1	2	2	2	3	1	1	8	159	4734	0.96722	0.25837	0.25837	0.62	553792	fpgt	ENSDARG00000042139		0.431302	0.431302	0.431302		0.431302		0.23429	0.23429	0.23429		0.23429		0.793979	0.793979	0.793979		0.7939790000000001										0.431302	0.23429	0.793979	0	1	0															1	553792	ENSDARG00000042139	0.431302	0.431302		0.23429	0.23429		0.793979	0.793979		0.431302	0.23429	0.793979	0						Linear,1(1)	1.697011113166809	1.697011113166809	1.697011113166809	1.697011113166809	0.0	1.697011113166809	0.431302	0.431302	0.23429	0.23429	0.793979	0.793979	DOWN	0.0	1.0	0.0	
R-DRE-948021	Transport to the Golgi and subsequent modification	101	104	2	1	0	1	1	1	2	0	0	9	104	4789	0.82435	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-975576	N-glycan antennae elongation in the medial/trans-Golgi	16	18	1	1	0	1	1	1	1	0	0	9	18	4875	0.96741	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-199977	ER to Golgi Anterograde Transport	81	82	1	0	0	0	0	0	1	0	0	9	82	4811	0.85903	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-196854	Metabolism of vitamins and cofactors	88	90	1	1	1	1	1	1	1	1	1	8	89	4804	0.98896	0.15373	0.15373	1.11	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-9012999	RHO GTPase cycle	244	252	6	3	1	4	4	4	6	1	1	8	251	4642	0.92537	0.37835	0.37835	0.4	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-9696270	RND2 GTPase cycle	26	27	1	0	0	1	1	1	1	0	0	9	27	4866	0.95147	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1630316	Glycosaminoglycan metabolism	70	78	1	1	0	1	1	1	1	0	0	9	78	4815	0.86547	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-71387	Metabolism of carbohydrates	135	148	3	3	1	2	2	2	3	0	0	9	148	4745	0.75871	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-168898	Toll-like Receptor Cascades	57	60	1	1	1	1	1	1	1	1	1	8	59	4834	0.99498	0.105	0.105	1.67	335722	gsdmeb	ENSDARG00000040485		0.384984	0.384984	0.384984		0.384984		0.219839	0.219839	0.219839		0.219839		0.674188	0.674188	0.674188		0.674188										0.384984	0.219839	0.674188	1	0	1	335722	ENSDARG00000040485	0.384984	0.384984		0.219839	0.219839		0.674188	0.674188		0.384984	0.219839	0.674188	0															0						Linear,1(1)	2.0227725505828857	2.0227725505828857	2.0227725505828857	2.0227725505828857	0.0	2.0227725505828857	0.384984	0.384984	0.219839	0.219839	0.674188	0.674188	UP	1.0	0.0	0.0	
R-DRE-449147	Signaling by Interleukins	102	122	1	0	0	0	0	0	1	0	0	9	122	4771	0.79691	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-5693532	DNA Double-Strand Break Repair	81	90	1	1	1	1	1	1	1	1	1	8	89	4804	0.98896	0.15373	0.15373	1.11	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-5693538	Homology Directed Repair	64	73	1	1	1	1	1	1	1	1	1	8	72	4821	0.99264	0.12641	0.12641	1.37	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	59	68	1	1	1	1	1	1	1	1	1	8	67	4826	0.99359	0.11823	0.11823	1.47	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-5693607	Processing of DNA double-strand break ends	40	49	1	1	1	1	1	1	1	1	1	8	48	4845	0.99663	0.086517	0.086517	2.04	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-69473	G2/M DNA damage checkpoint	47	56	1	1	1	1	1	1	1	1	1	8	55	4838	0.99562	0.098317	0.098317	1.79	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-69481	G2/M Checkpoints	94	106	1	1	1	1	1	1	1	1	1	8	105	4788	0.9849	0.17874	0.17874	0.94	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-73894	DNA Repair	168	177	3	1	1	2	2	1	3	1	1	8	176	4717	0.96051	0.28198	0.28198	0.56	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	45	46	1	1	1	1	1	1	1	1	1	8	45	4848	0.99703	0.081418	0.081418	2.17	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-2029482	Regulation of actin dynamics for phagocytic cup formation	38	39	1	1	1	1	1	1	1	1	1	8	38	4855	0.99786	0.069421	0.069421	2.56	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-422475	Axon guidance	144	145	2	2	1	2	2	2	2	1	1	8	144	4749	0.97271	0.23697	0.23697	0.69	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-5685938	HDR through Single Strand Annealing (SSA)	22	23	1	1	1	1	1	1	1	1	1	8	22	4871	0.99926	0.041477	0.041477	4.35	560212	top3a	ENSDARG00000052827		0.681507	0.681507	0.681507		0.681507		0.276456	0.276456	0.276456		0.276456		1.68002	1.68002	1.68002		1.68002										0.681507	0.276456	1.68002	0	1	0															1	560212	ENSDARG00000052827	0.681507	0.681507		0.276456	0.276456		1.68002	1.68002		0.681507	0.276456	1.68002	0						Linear,1(1)	1.538857340812683	1.538857340812683	1.538857340812683	1.538857340812683	0.0	1.538857340812683	0.681507	0.681507	0.276456	0.276456	1.68002	1.68002	DOWN	0.0	1.0	0.0	
R-DRE-8878171	Transcriptional regulation by RUNX1	110	134	1	1	0	1	1	1	1	0	0	9	134	4759	0.77907	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	50	54	1	1	0	1	1	1	1	0	0	9	54	4839	0.90504	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-9675108	Nervous system development	145	146	2	2	1	2	2	2	2	1	1	8	145	4748	0.97235	0.23841	0.23841	0.68	565155	hsp90aa1.2	ENSDARG00000024746		0.426689	0.426689	0.426689		0.42668900000000004		0.232706	0.232706	0.232706		0.232706		0.782376	0.782376	0.782376		0.7823760000000001										0.426689	0.232706	0.782376	0	1	0															1	565155	ENSDARG00000024746	0.426689	0.426689		0.232706	0.232706		0.782376	0.782376		0.426689	0.232706	0.782376	0						Linear,1(1)	1.7207666635513306	1.7207666635513306	1.7207666635513306	1.7207666635513306	0.0	1.7207666635513306	0.426689	0.426689	0.232706	0.232706	0.782376	0.782376	DOWN	0.0	1.0	0.0	
R-DRE-112315	Transmission across Chemical Synapses	127	133	1	0	0	1	1	1	1	0	0	9	133	4760	0.78054	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-112316	Neuronal System	196	208	5	3	0	4	4	4	5	0	0	9	208	4685	0.67668	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	327	349	5	2	0	5	5	3	5	0	0	9	349	4544	0.51413	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-166658	Complement cascade	22	26	1	0	0	0	0	0	1	0	0	9	26	4867	0.95323	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-2980736	Peptide hormone metabolism	33	40	1	0	0	1	1	0	1	0	0	9	40	4853	0.92886	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-977606	Regulation of Complement cascade	21	23	1	0	0	0	0	0	1	0	0	9	23	4870	0.95852	1.0	1.0	0.0																																		0	0	0															0															0																							
R-DRE-1428517	The citric acid (TCA) cycle and respiratory electron transport	119	119	1	0	0	1	1	0	1	0	0	9	119	4774	0.80143	1.0	1.0	0.0																																		0	0	0															0															0																							
