ENSDARG00000110019	Linear				1.16779	0.695044	1.96208	0.37381692320346827	-50.41772200192992	106.83544400385983	-1	1.6801670110093752	true	88.469	-14.9703		
ENSDARG00000013522	Linear		378727	pck1	1.22032	0.715051	2.08262	0.3060260062916097	-125.1059220019299	256.2118440038598	-1	1.7066195278378746	true	16808.7	-2082.38		
ENSDARG00000038666	Linear		793907	igfbp1b	1.2511	0.726348	2.15498	0.5229836263130464	-82.06152200192992	170.12304400385983	-1	1.7224525984789663	true	668.643	-115.208		
ENSDARG00000040683	Linear		327586	mep1b	0.934641	0.594391	1.46966	0.254656784237979	-81.91542200192991	169.83084400385982	-1	1.5724346431894158	true	1136.26	-152.722		
ENSDARG00000039517	Linear		793127	c8b	0.566487	0.393745	0.815012	0.3713049949523881	-57.09152200192992	120.18304400385983	-1	1.4387154122592032	true	323.829	-48.1539		
ENSDARG00000039516	Linear		445102	c8a	0.81059	0.532539	1.23382	0.2415243198822017	-65.6156220019299	137.2312440038598	-1	1.5221232623338385	true	362.741	-59.4042		
ENSDARG00000078363	Linear		100334819	mcoln3a	1.3617	0.764621	2.42504	0.10150809630158253	-47.06392200192991	100.12784400385982	1	1.7808822933191737	true	64.2004	10.2662		
ENSDARG00000103589	Linear		58076	gata6	1.2771	0.735683	2.21696	0.2362737158316478	-59.84712200192992	125.69424400385984	-1	1.7359378971649473	true	216.367	-25.6673		
ENSDARG00000039220	Hill		563594	st6galnac5a	4.14948E-4	6.91046E-27	2.49161E19	0.5650678805057734	-32.34332200192991	74.68664400385983	-1	6.0046364496719465E22	0	33.0243	-12.9237	14.7158	4.25888E-4	true	
ENSDARG00000023584	Linear		492768	cdc7	1.63743	0.842169	3.18365	0.012474126196795998	-46.58792200192991	99.17584400385982	1	1.9443009657206571	true	59.498	8.27083		
ENSDARG00000016771	Linear		30255	tfa	0.903099	0.57922	1.40808	0.27045587226878653	-115.72392200192992	237.44784400385984	-1	1.5591640482027556	true	12356.9	-1505.49		
ENSDARG00000010267	Linear		405829	dpydb	0.775165	0.513821	1.16944	0.054744566730530186	-80.1421220019299	166.2842440038598	-1	1.5086284912450056	true	1244.41	-163.61		
ENSDARG00000018478	Linear		79378	agxtb	0.948374	0.600876	1.49684	0.05401995522832026	-107.81492200192992	221.62984400385983	-1	1.5783189876114208	true	5278.02	-846.146		
ENSDARG00000093112	Linear		566645	espnlb	1.50838	0.808962	2.8125	0.5955057645393169	-31.863022001929913	69.72604400385983	1	1.8645869645298545	true	14.8364	3.36412		
ENSDARG00000077201	Linear		566034	myo7bb	0.98252	0.61667	1.56542	0.30406609782572214	-70.86762200192992	147.73524400385983	-1	1.5932670634212787	true	506.091	-69.5567		
ENSDARG00000005364	Linear		566411	grin3ba	3.07524	0.970864	9.74095	0.00775092036877445	-39.01912200192991	84.03824400385982	-1	3.1675291286936176	true	43.4445	-2.65885		
ENSDARG00000079727	Linear				0.974609	0.613065	1.54937	0.21788766552613759	-90.12092200192991	186.24184400385982	-1	1.5897319207588103	true	1861.27	-253.103		
ENSDARG00000093205	Hill				0.00633464	7.0223E-4	0.0571432	0.9999999879339733	-33.70592200192991	77.41184400385983	-1	9.02074818791564	0	43.503	-17.8265	1.35022	0.0110007	true	
ENSDARG00000038812	Linear		402908	e2f5	1.73468	0.864649	3.48018	0.6474330116099881	-30.64612200192991	67.29224400385982	1	2.006224491094074	true	12.1629	2.69729		
ENSDARG00000038792	Linear		65238	klf17	1.10324	0.669141	1.81896	0.08528094950753806	-53.757122001929915	113.51424400385983	1	1.6487406988960474	true	128.108	19.7975		
ENSDARG00000002728	Linear		561898	kiss1ra	1.91701	0.89956	4.08526	0.008224707275735432	-25.19752200192991	56.39504400385982	-1	2.13105295922451	true	9.63265	-1.69735		
ENSDARG00000095608	Linear				1.53776	0.817144	2.89387	0.18516348809251149	-35.76542200192991	77.53084400385983	-1	1.8818714938860226	true	29.6715	-4.28035		
ENSDARG00000038709	Linear		561899	myadm	2.16837	0.932306	5.04323	0.12639576148445253	-29.698622001929913	65.39724400385983	-1	2.325813627714506	true	22.7257	-2.02574		
ENSDARG00000030254	Linear				1.1772	0.698893	1.98284	0.6193842342950617	-53.34432200192991	112.68864400385982	-1	1.6843780092231573	true	127.367	-18.0501		
ENSDARG00000093774	Linear		432384	rbp2b	0.691421	0.467614	1.02235	0.19445429834868644	-76.3052220019299	158.6104440038598	-1	1.4786148404453245	true	985.45	-142.027		
ENSDARG00000054837	Linear		664693	zgc:136870	0.905146	0.580232	1.412	0.39752121245006156	-47.87432200192991	101.74864400385982	-1	1.5599725626990584	true	123.746	-16.3019		
ENSDARG00000053620	Linear		100134974	ebi3	0.719379	0.48335	1.07067	0.11711690857318346	-57.608322001929906	121.21664400385981	-1	1.4883190234819488	true	255.518	-39.2488		
ENSDARG00000076838	Linear		569714	apom	0.698281	0.471507	1.03412	0.6158057672845447	-89.79892200192991	185.59784400385982	-1	1.480955744029251	true	2598.2	-345.744		
ENSDARG00000074118	Linear		571427	ftr12	34.5922	1.71496E-4	6977540.0	3.635322304129662E-5	-41.856622001929914	89.71324400385983	-1	201708.49465876754	true	55.8255	-0.285594		
ENSDARG00000094414	Linear				1.85173	0.888475	3.85933	0.08895532508507464	-32.239322001929914	70.47864400385983	1	2.084166690115085	true	23.565	2.80995		
ENSDARG00000014651	Linear				1.25801	0.729057	2.17075	0.38270839681405	-44.41182200192991	94.82364400385983	-1	1.7255303769115449	true	76.9838	-9.31151		
ENSDARG00000090903	Linear		100538072	creb3l3b	0.648584	0.442957	0.949667	0.4989807068503287	-54.86272200192991	115.72544400385982	-1	1.4642143594073467	true	179.374	-36.2513		
ENSDARG00000110341	Linear		100333777	hsd11b1lb	0.593168	0.410081	0.857997	0.23888579908791652	-39.70802200192991	85.41604400385982	-1	1.446465454385841	true	87.9945	-14.4325		
ENSDARG00000107086	Hill				0.0032154	5.29444E-4	0.0195276	0.9576168117183881	-12.913422001929911	35.82684400385982	1	6.073163545153029	0	5.90861	6.21642	1.0	0.0107174	true	
ENSDARG00000095448	Linear		100535574	ftr30	1.69294	0.854809	3.35287	0.05000734847400834	-22.813622001929915	51.62724400385983	-1	1.9804892087004229	true	11.6974	-1.63958		
ENSDARG00000100782	Linear		100038778	f7l	1.00657	0.627346	1.61502	0.7181455223981852	-49.63002200192991	105.26004400385982	-1	1.6044893886308353	true	108.375	-16.4796		
ENSDARG00000034862	Linear		114423	f7	0.734316	0.491617	1.09683	0.0468246320670862	-60.91152200192991	127.82304400385982	-1	1.4936749542835173	true	318.599	-47.9224		
ENSDARG00000029720	Linear		100148554	si:dkeyp-9d4.2	1.13984	0.683194	1.9017	0.08035029720801223	-24.282722001929912	54.565444003859824	1	1.668398727155098	true	5.52942	2.68575		
ENSDARG00000058445	Linear		678514	zgc:136472	1.09097	0.664101	1.7922	0.7374127930482922	-64.73592200192991	135.47184400385981	-1	1.6427772281625836	true	291.744	-41.6236		
ENSDARG00000099276	Linear				0.875998	0.565885	1.35606	0.7535320107761663	-62.30232200192991	130.60464400385982	-1	1.5480141724908774	true	286.574	-44.0744		
ENSDARG00000018263	Linear		394023	pdia2	1.34068	0.757396	2.37316	0.4642613662491867	-65.64872200192991	137.29744400385982	-1	1.7701176135073333	true	266.394	-35.9959		
ENSDARG00000008969	Linear		337315	fgb	1.10967	0.671802	1.83294	0.9866388572843529	-98.10592200192991	202.21184400385982	-1	1.6517813284271257	true	2680.16	-378.554		
ENSDARG00000020741	Linear		378986	fga	1.09857	0.667241	1.80872	0.9455595325604613	-102.99792200192991	211.99584400385982	-1	1.6464365948735167	true	3998.82	-529.806		
ENSDARG00000008637	Linear		406207	mttp	0.784873	0.519011	1.18692	0.6872644964524643	-79.32072200192991	164.64144400385982	-1	1.512247331944795	true	1225.95	-152.976		
ENSDARG00000062467	Linear		100000104	stra6l	1.22265	0.715789	2.08843	0.1036894654978141	-42.93842200192991	91.87684400385982	-1	1.7081151009585227	true	62.167	-8.68448		
ENSDARG00000017985	Linear		393870	c1h4orf33	0.801748	0.527923	1.2176	0.47942564925173603	-65.61932200192992	137.23864400385983	-1	1.5186835959031904	true	498.535	-60.0742		
ENSDARG00000019986	Linear		402985	grhprb	0.820561	0.537749	1.25211	0.04490877237692281	-94.12492200192992	194.24984400385983	-1	1.525918225789355	true	2553.15	-392.58		
ENSDARG00000037383	Linear		60636	pax5	1.63877	0.842411	3.18794	0.3932933228920661	-25.767322001929912	57.534644003859825	1	1.945333097502288	true	15.6151	2.06242		
ENSDARG00000094677	Linear		560912	si:dkey-92j12.5	1.04684	0.645336	1.69815	0.638491175773677	-61.419922001929905	128.8398440038598	-1	1.6221627183358747	true	349.003	-34.7744		
ENSDARG00000019838	Linear		116991	ugdh	0.665609	0.452857	0.978312	0.31810018171760746	-64.48752200192992	134.97504400385984	-1	1.469799517286914	true	556.95	-67.1025		
ENSDARG00000037281	Linear		406327	fgg	1.05829	0.650236	1.72242	0.6449668503115721	-98.4109220019299	202.8218440038598	-1	1.627547536586716	true	2739.07	-405.086		
ENSDARG00000006427	Linear		30708	fabp2	0.977173	0.614234	1.55456	0.6320538194478231	-120.2729220019299	246.5458440038598	-1	1.5908806741404742	true	13553.2	-1884.22		
ENSDARG00000003701	Hill		81586	cldng	0.0223336	0.00452169	0.11031	0.9869738179934481	-18.255322001929912	46.510644003859824	1	4.939215204934438	0	3.31498	6.88577	1.0	0.0527321	true	
ENSDARG00000077874	Linear		557256	vwa10.1	0.731887	0.490318	1.09247	0.03078413356435128	-43.48752200192991	92.97504400385982	1	1.4926782210728546	true	50.9226	15.0488		
ENSDARG00000036545	Linear				1.47561	0.798409	2.72719	0.03110400715142192	-30.39502200192991	66.79004400385982	1	1.8481880840521587	true	16.319	3.11822		
ENSDARG00000100792	Linear		555481	zgc:154142	0.972377	0.61204	1.54486	0.6934386902048693	-85.9747220019299	177.9494440038598	-1	1.5887474674857853	true	1041.68	-192.416		
ENSDARG00000095434	Linear				4.77433	0.823981	27.6635	0.03261071577447483	-48.483122001929914	102.96624400385983	1	5.794223410491261	true	69.1124	3.21863		
ENSDARG00000003054	Linear		559201	tacr3l	2.05812	0.920184	4.60327	5.367772196462894E-4	-41.25312200192991	88.50624400385982	-1	2.23663962859602	true	53.7585	-4.61088		
ENSDARG00000023151	Linear		83908	ucp1	0.919467	0.587141	1.43989	0.5175201074771715	-129.8449220019299	265.6898440038598	-1	1.5660071430882871	true	22318.4	-3790.51		
ENSDARG00000012694	Linear		321046	c3a.1	1.28197	0.73732	2.22895	0.5241126510420013	-108.50092200192991	223.00184400385982	-1	1.738688764715456	true	3241.09	-655.234		
ENSDARG00000052207	Linear		565074	c3a.3	1.09782	0.666927	1.80711	0.5735698186929405	-84.4520220019299	174.9040440038598	-1	1.646087202947249	true	847.013	-153.978		
ENSDARG00000117512	Linear				1.2745	0.734731	2.21081	0.646132000788172	-58.14332200192992	122.28664400385983	1	1.7346484631790409	true	121.248	22.958		
ENSDARG00000103295	Linear		553969	cyp3a65	0.795731	0.524766	1.20661	0.8070589721578004	-117.60992200192992	241.21984400385983	-1	1.5163539558584207	true	11546.1	-1937.52		
ENSDARG00000074802	Hill				0.00657531	7.60481E-4	0.0568518	0.9368948887868571	-29.10732200192991	68.21464400385982	-1	8.64625151713192	0	25.5688	-12.0897	2.11249	0.00882726	true	
ENSDARG00000100315	Linear		100004272	slc15a1a	1.04489	0.644453	1.69415	0.9046219747454132	-89.87892200192991	185.75784400385982	-1	1.6213595095375457	true	1320.02	-232.302		
ENSDARG00000100955	Linear		555297	stk24a	0.899	0.577165	1.40029	0.9838315212898863	-57.93082200192991	121.86164400385982	-1	1.5576135074025625	true	211.897	-32.0895		
ENSDARG00000101366	Linear		100004124	gpr1	3.48623	0.951996	12.7667	0.0011626018895882773	-40.04832200192991	86.09664400385982	-1	3.662021689166761	true	45.9788	-2.51196		
ENSDARG00000022261	Linear		337325	pdzk1	1.04183	0.643134	1.6877	0.8355496814961593	-102.01292200192991	210.02584400385982	-1	1.6199267959709798	true	3460.46	-523.147		
ENSDARG00000042124	Linear		402865	si:dkey-4e7.3	0.647005	0.442047	0.946991	0.549448566090059	-62.64932200192992	131.29864400385983	-1	1.4636565795039895	true	544.37	-61.0701		
ENSDARG00000086215	Linear		101885196	gpr156	1.88221	0.89326	3.96605	0.03144422976805972	-38.216422001929914	82.43284400385983	1	2.107124465441193	true	45.6087	4.11777		
ENSDARG00000006220	Linear		406731;641488;100379286;100384891;100384896;100384897;100384901	ugt1a1;ugt1a1;ugt1a1;ugt1a1;ugt1a1;ugt1a1;ugt1a1	0.569254	0.39544	0.819468	0.9644771711366759	-85.3527220019299	176.7054440038598	-1	1.439545822375076	true	2277.14	-315.326		
ENSDARG00000036833	Linear		393113	upp2	1.24929	0.725677	2.15073	0.16514074514737975	-73.28062200192991	152.56124400385983	-1	1.7215510481936178	true	413.299	-64.2508		
ENSDARG00000062549	Linear		557166	acmsd	0.893056	0.574305	1.38872	0.9412734302015333	-51.326522001929916	108.65304400385983	-1	1.5550204159810554	true	147.323	-20.7984		
ENSDARG00000097441	Linear				2.02053	0.916647	4.45378	0.022124763709325368	-33.68302200192991	73.36604400385983	1	2.2042618368903186	true	27.4438	2.83538		
ENSDARG00000095595	Linear		101886066	bx322575.1	1.38004	0.770638	2.47133	0.2580080384957728	-29.13902200192991	64.27804400385982	1	1.7907759544688944	true	11.1674	3.06636		
ENSDARG00000012609	Linear		327588	hpxa	1.03764	0.641308	1.67889	0.6388920062450589	-78.83242200192991	163.66484400385983	1	1.61800570084889	true	226.921	112.006		
ENSDARG00000023712	Linear		404730	mao	0.853266	0.55449	1.31303	0.15909492038808593	-85.54372200192991	177.08744400385982	-1	1.5388302764702697	true	1767.04	-213.065		
ENSDARG00000055705	Linear		327320	f5	0.819584	0.537246	1.2503	0.5506594798347035	-72.72282200192991	151.44564400385983	-1	1.5255283426958972	true	595.346	-94.3626		
ENSDARG00000040466	Linear		393207	vil1	0.673744	0.457524	0.992147	0.7405614502522186	-97.58592200192992	201.17184400385983	-1	1.472587230396657	true	4002.41	-602.22		
ENSDARG00000060671	Linear		559107	lct	1.04722	0.64548	1.69901	0.9279309423160585	-84.48052200192991	174.96104400385983	-1	1.6223895395674537	true	835.412	-161.724		
ENSDARG00000017882	Linear		378440	rdh1	0.666579	0.453392	0.980009	0.6185976103363211	-75.05372200192991	156.10744400385983	-1	1.4702045911705544	true	952.479	-135.528		
ENSDARG00000019260	Linear		322529	dhrs9	0.921239	0.58798	1.44338	0.44934391050913947	-77.30942200192992	160.61884400385983	-1	1.5667862852477978	true	915.722	-113.977		
ENSDARG00000077866	Linear		100148449	nostrin	1.38514	0.771827	2.4858	0.13121417401703594	-37.98082200192991	81.96164400385982	-1	1.7946249612931395	true	40.5776	-5.50829		
ENSDARG00000004964	Linear		387527	cyp4t8	1.0348	0.640029	1.67307	0.28664316623508435	-73.73002200192991	153.46004400385982	-1	1.6168017386712166	true	693.835	-79.9279		
ENSDARG00000116442	Linear		100330676	tent5a	3.42865	0.95489	12.311	0.018712909013363976	-33.84502200192991	73.69004400385982	-1	3.590623003696761	true	24.01	-1.68906		
ENSDARG00000070604	Linear		553299	zgc:162509	2.09404	0.926007	4.73538	0.164802401315142	-71.10552200192991	148.21104400385983	1	2.261365194863538	true	152.387	33.1576		
ENSDARG00000094385	Linear		100005181	si:dkey-85k15.6	1.42512	0.784288	2.58955	0.5018777569379913	-22.524222001929914	51.04844400385983	1	1.8170876004732954	true	7.50975	1.9105		
ENSDARG00000095688	Linear		100149015	zgc:162509	1.52791	0.813976	2.86803	0.14314457276807868	-51.28392200192991	108.56784400385982	1	1.8770946563535043	true	41.6508	12.122		
ENSDARG00000012269	Linear		567478	clcn1b	1.29913	0.743324	2.27053	0.4294604953302845	-49.71212200192991	105.42424400385983	1	1.7477304647771361	true	99.9189	12.8384		
ENSDARG00000020046	Linear		246224	ahr1a	2.12111	0.927226	4.85222	0.21147113489631153	-27.607222001929912	61.214444003859825	-1	2.2875868450625845	true	13.8671	-1.80136		
ENSDARG00000056339	Linear				2.0439	0.919957	4.54099	0.07452482298429586	-26.46142200192991	58.92284400385982	1	2.221734276710759	true	10.1286	1.73193		
ENSDARG00000104474	Hill		100135755	il6r	0.177892	0.00956205	3.30951	0.7125954106143536	-44.29272200192991	98.58544400385982	-1	18.60396044781192	0	91.0187	-37.4119	2.02558	0.263677	true	
ENSDARG00000055138	Linear		553618	zgc:110410	0.771371	0.511711	1.16279	0.5762344634510115	-44.89652200192991	95.79304400385982	-1	1.507434860692852	true	92.5344	-15.6848		
ENSDARG00000086847	Linear		565312	irgq1	2.67709	0.969634	7.39123	2.9438926243485763E-4	-33.69152200192991	73.38304400385982	-1	2.760928350284747	true	34.0327	-2.14121		
ENSDARG00000079274	Linear		322453	prss59.1	1.17837	0.699165	1.98602	0.6413893691403065	-108.4679220019299	222.9358440038598	-1	1.6853961511231252	true	4652.61	-711.271		
ENSDARG00000073742	Linear		100535672	prss59.2	1.29765	0.742785	2.26701	0.7655011200904174	-120.0659220019299	246.1318440038598	-1	1.747006199640542	true	9011.05	-1399.42		
ENSDARG00000005112	Linear		378452	cdh17	0.557643	0.388288	0.800864	0.7645863204412877	-82.85602200192992	171.71204400385983	-1	1.4361582124608536	true	2507.25	-272.537		
ENSDARG00000103396	Linear				3.24032	0.959032	10.9482	0.004840295528993899	-26.76872200192991	59.53744400385982	-1	3.3787402297316462	true	9.76598	-1.11506		
ENSDARG00000010936	Linear		100136865	abcb4	1.10619	0.670355	1.82539	0.9197693113379918	-97.63692200192992	201.27384400385984	-1	1.6501555146153903	true	3044.0	-368.052		
ENSDARG00000076844	Hill		794783	plin6	0.0985865	7.27999E-70	1.33507E67	0.7284504918231585	-57.419922001929905	124.83984400385981	1	1.354212025016518E68	0	97.1039	49.5151	18.0	0.0972062	true	
ENSDARG00000029230	Linear		402940	pnp4b	0.732746	0.490763	1.09405	0.13547936427616192	-88.35392200192992	182.70784400385983	-1	1.4930750688214067	true	1978.04	-299.241		
ENSDARG00000079543	Linear		100144569	dpys	0.838552	0.547021	1.28545	0.2045566854721116	-70.35092200192992	146.70184400385983	-1	1.5329429765950484	true	657.819	-78.7393		
ENSDARG00000099715	Linear		100000352	si:dkey-152b24.7	1.27615	0.735129	2.21533	0.6654816898231091	-30.05702200192991	66.11404400385982	1	1.7359538257911193	true	16.9252	3.52526		
ENSDARG00000102175	Linear		402837	hamp	1.52338	0.812662	2.85565	0.054451648194425384	-80.65042200192991	167.30084400385982	-1	1.8745554732471803	true	472.953	-86.1221		
ENSDARG00000074665	Linear		572146	cdk14	2.45947	0.960002	6.301	0.10567533642067184	-45.11682200192991	96.23364400385982	-1	2.5619425792862933	true	62.5866	-4.99205		
ENSDARG00000104243	Linear		799447	eomesb	16.3354	0.0456887	5840.49	1.865763044270885E-4	-34.04922200192991	74.09844400385983	-1	357.53698398072174	true	18.554	-0.359376		
ENSDARG00000095751	Linear		406484	c20h6orf58	1.18567	0.702062	2.00239	0.5446240427096769	-64.20262200192991	134.40524400385982	-1	1.6888394472283075	true	233.68	-36.9613		
ENSDARG00000090722	Linear		796447	c20h6orf58	1.18895	0.703251	2.01011	0.6868939528756668	-104.31492200192992	214.62984400385983	-1	1.6906481469631753	true	3333.56	-534.442		
ENSDARG00000037191	Linear		449556	ttr	1.02375	0.635219	1.64994	0.3042888129976167	-85.7684220019299	177.5368440038598	-1	1.6116488958925976	true	1296.53	-180.263		
ENSDARG00000086265	Hill		497323	bsnd	0.00636599	5.36962E-4	0.0754723	0.9963167733212188	-23.90872200192991	57.81744400385982	-1	11.855568922940543	0	21.8333	-9.11104	1.22466	0.0114461	true	
ENSDARG00000090850	Linear		321195	serpina1l	0.666087	0.453112	0.979164	0.3785547939120356	-100.39492200192991	206.78984400385983	-1	1.4700272780239763	true	4702.91	-734.6		
ENSDARG00000090286	Linear		322701	serpina1	0.873589	0.56469	1.35146	0.4709693558995728	-104.92992200192991	215.85984400385982	-1	1.5470240308842018	true	4724.74	-757.86		
ENSDARG00000043518	Linear		557525	si:dkey-239i20.2	0.916889	0.586014	1.43458	0.8600547210441215	-51.12332200192991	108.24664400385981	-1	1.5646196165961903	true	159.328	-19.9852		
ENSDARG00000017928	Linear		541414	xrcc3	1.18178	0.700372	1.99409	0.4285952743201523	-42.61212200192991	91.22424400385982	1	1.6873604313136448	true	68.8287	8.79148		
ENSDARG00000052336	Linear		558261	ociad2	0.84763	0.551654	1.3024	0.13567846171436715	-46.06072200192991	98.12144400385982	-1	1.5365247057032125	true	103.257	-15.4255		
ENSDARG00000029388	Linear		553466	si:dkey-90m5.4	0.921971	0.588405	1.44464	0.16159284812192642	-59.482022001929906	124.96404400385981	-1	1.5668986497395503	true	205.39	-34.699		
ENSDARG00000042953	Linear		492484	cyp2n13	0.748778	0.499556	1.12233	0.6210469212812744	-88.63992200192992	183.27984400385984	-1	1.4988870116663597	true	1928.79	-298.453		
ENSDARG00000021172	Linear		259306	cyp2ad2	0.939008	0.596456	1.47829	0.026214282154230828	-90.61992200192991	187.23984400385982	-1	1.574312271148249	true	1953.1	-271.584		
ENSDARG00000042982	Linear		100034366	cyp2p8	0.610082	0.420186	0.885798	0.8276956327694556	-72.99132200192992	151.98264400385983	-1	1.451933191491387	true	802.81	-129.056		
ENSDARG00000043004	Linear		572032	si:dkeyp-117h8.4	1.19933	0.706774	2.03515	0.5028966529605581	-40.78892200192991	87.57784400385982	1	1.6969073565241506	true	44.1221	7.67139		
ENSDARG00000003977	Linear		569930	zgc:153896	1.1907	0.703909	2.01413	0.4935229426728931	-66.6117220019299	139.2234440038598	-1	1.6915538798338992	true	368.422	-43.2173		
ENSDARG00000095793	Linear		100330915	si:dkey-85n7.8	3.82982	0.925015	15.8566	0.0038345899363075864	-33.22932200192991	72.45864400385982	-1	4.140278806289627	true	18.9083	-1.45131		
ENSDARG00000022767	Power		321166	apobb.1	2.73585	0.00425283	1759.97	0.4403207169501344	-127.11392200192991	262.2278440038598	-1	643.3010489485825	27817.5	-3.94333E-4	15.7114	true		
ENSDARG00000021913	Linear		557708	ak9	1.4637	0.795687	2.69254	0.16271639822431005	-42.36972200192991	90.73944400385982	1	1.8395424331426804	true	46.8054	6.9844		
ENSDARG00000010276	Linear		559020	ptgs2b	1.30409	0.745103	2.28244	0.05178090624546128	-57.89312200192991	121.78624400385982	1	1.7502143998883377	true	120.913	22.0659		
ENSDARG00000042000	Linear		566836	si:ch211-63o20.7	1.02538	0.635872	1.65349	0.8730157648528826	-45.22212200192991	96.44424400385982	1	1.612557244225253	true	43.7972	12.0582		
ENSDARG00000029747	Linear		553530	mep1a.1	1.06421	0.652789	1.73494	0.9807515134265649	-89.5569220019299	185.1138440038598	-1	1.6302511224913412	true	1671.87	-223.236		
ENSDARG00000008029	Linear		565535	mep1a.2	0.829998	0.542623	1.26957	0.7896395397344893	-88.49792200192991	182.99584400385982	-1	1.5296034263199312	true	1923.69	-266.713		
ENSDARG00000024471	Linear		562522	nsl1	1.13858	0.682865	1.89841	0.2700330715525492	-39.633822001929914	85.26764400385983	1	1.667357383963155	true	35.8578	7.48181		
ENSDARG00000029907	Linear		563772	trim54	2.31244	0.949657	5.63084	0.20962991471761083	-26.51682200192991	59.03364400385982	-1	2.4350265411617036	true	13.3535	-1.53647		
ENSDARG00000107442	Hill				0.00262872	3.03155E-7	22.7942	0.6505363909462658	-35.97442200192991	81.94884400385982	-1	8671.207797991128	0	56.5045	-18.5733	13.1664	0.00274672	true	
ENSDARG00000034650	Linear		407736	fabp7b	0.847328	0.55153	1.30177	0.48347850947375925	-53.16732200192992	112.33464400385984	1	1.5363225935125924	true	174.395	24.783		
ENSDARG00000041797	Linear		492358	cx28.9	0.936193	0.595131	1.47272	0.7694517100902974	-80.82822200192992	167.65644400385983	-1	1.5730872698615936	true	929.232	-141.809		
ENSDARG00000041787	Linear		322617	cx32.3	1.08111	0.65992	1.77112	0.4397177165126541	-79.43042200192991	164.86084400385982	-1	1.638244029579343	true	954.392	-111.874		
ENSDARG00000023111	Linear		322691	plg	0.828444	0.541825	1.26668	0.06679084329469309	-92.69292200192992	191.38584400385983	-1	1.528988141927744	true	2409.39	-353.45		
ENSDARG00000070584	Linear		405833	clic5b	0.638234	0.436872	0.932409	0.19027083691497837	-65.36652200192991	136.73304400385982	-1	1.460917614312659	true	485.528	-74.2039		
ENSDARG00000059233	Linear		405788	runx2b	2.88995	0.972461	8.5883	0.004100651001650357	-22.20692200192991	50.41384400385982	-1	2.9717901283444785	true	8.64115	-0.922403		
ENSDARG00000094104	Linear		100536429	al929237.1	0.723432	0.485604	1.07774	0.20349061668356716	-42.07662200192991	90.15324400385983	1	1.489757086020708	true	25.6485	13.8579		
ENSDARG00000041433	Linear		562950	si:dkey-7c18.24	0.85509	0.555414	1.31646	0.0898994297217548	-110.02392200192992	226.04784400385984	1	1.5395542784301441	true	3164.92	1087.29		
ENSDARG00000059227	Linear		554095	fabp1b.1	0.759939	0.505625	1.14216	0.9475746046826476	-104.5359220019299	215.0718440038598	-1	1.502969592088999	true	6462.1	-848.617		
ENSDARG00000021208	Linear		359841	serpind1	0.956517	0.604681	1.51307	0.036610542761329246	-55.98922200192992	117.97844400385983	-1	1.5818539031323953	true	180.145	-26.4981		
ENSDARG00000102554	Linear		550469	zgc:112433	0.962469	0.60728	1.5254	0.4950136169250988	-24.001722001929913	54.003444003859826	1	1.5848850612567513	true	12.1141	3.12167		
ENSDARG00000088825	Linear		100333880	citb	2.0077	0.913877	4.41071	0.12297832262948816	-57.67502200192992	121.35004400385984	-1	2.1969039597232447	true	126.58	-14.126		
ENSDARG00000058053	Linear		567801	serping1	1.07457	0.657287	1.75678	0.07641530110687267	-49.83912200192991	105.67824400385982	-1	1.6348566151468082	true	81.3093	-15.6533		
ENSDARG00000062297	Linear		564424	soat1	1.27679	0.735703	2.21583	0.15042897261814947	-39.44892200192991	84.89784400385982	-1	1.7354693402092964	true	42.4861	-6.59018		
ENSDARG00000110838	Hill				0.0263577	3.07083E-6	226.234	0.9706113493471643	-29.25252200192991	68.50504400385982	1	8583.24947978234	0	21.6612	10.5631	11.5228	0.0272657	true	
ENSDARG00000094892	Linear		567359	cenph	1.17443	0.697645	1.97705	0.9171744742908375	-37.66802200192991	81.33604400385983	1	1.6834206509041134	true	41.44	6.36252		
ENSDARG00000015752	Hill		553615	zap70	0.274291	8.62749E-5	872.047	0.6945280410770286	-22.557822001929914	55.11564400385983	-1	3179.2676664939627	0	12.847	-7.91205	12.1789	0.289128	true	
ENSDARG00000038643	Linear		64607	alas2	1.11187	0.6727	1.83776	0.7194682606397408	-79.58532200192991	165.17064400385982	1	1.6528467370298796	true	307.052	109.908		
ENSDARG00000056765	Linear		334304	ela2l	1.26581	0.731623	2.19003	0.7872214779588633	-112.40092200192991	230.80184400385983	-1	1.7301397030984538	true	4589.5	-860.655		
ENSDARG00000056744	Linear		403061	ela2	1.2686	0.732588	2.19681	0.7243894461724858	-97.25092200192991	200.50184400385982	-1	1.7316690964088954	true	1600.9	-312.764		
ENSDARG00000092715	Hill				2.2529E-4	2.46798E-11	2056.56	0.16475622855423322	-29.720922001929914	69.44184400385983	-1	9128518.05930356	0	85.6995	-57.2508	13.4805	2.70916E-4	true	
ENSDARG00000055294	Power		30303	atoh1a	2.72624	1.64289E-9	4.52397E9	0.18346256326307975	-35.68062200192991	79.36124400385982	1	1.6594172464376802E9	65.398	1.25081E-7	17.7212	true		
ENSDARG00000011521	Linear		322660	upb1	1.10751	0.670954	1.8281	0.30513149302562215	-68.40032200192991	142.80064400385982	-1	1.6506496719596275	true	418.762	-52.348		
