Identifier,BPAF-CC-A
ENSDARG00000087057,0
ENSDARG00000095390,0
ENSDARG00000092875,0
ENSDARG00000092745,0
ENSDARG00000095678,0
ENSDARG00000100128,1
ENSDARG00000035221,3
ENSDARG00000104985,0
ENSDARG00000075737,0
ENSDARG00000098142,0
ENSDARG00000117179,0
ENSDARG00000040912,4
ENSDARG00000068110,0
ENSDARG00000088820,2
ENSDARG00000104519,0
ENSDARG00000117446,0
ENSDARG00000088022,0
ENSDARG00000083891,0
ENSDARG00000092162,0
ENSDARG00000074765,1
ENSDARG00000092571,0
ENSDARG00000095061,0
ENSDARG00000039752,9
ENSDARG00000030508,0
ENSDARG00000091993,0
ENSDARG00000079347,7
ENSDARG00000079425,0
ENSDARG00000109658,0
ENSDARG00000115199,0
ENSDARG00000114814,0
ENSDARG00000110328,0
ENSDARG00000095699,0
ENSDARG00000111013,2
ENSDARG00000094448,0
ENSDARG00000115525,0
ENSDARG00000095426,0
ENSDARG00000104275,0
ENSDARG00000016674,0
ENSDARG00000111125,0
ENSDARG00000097009,0
ENSDARG00000090551,0
ENSDARG00000117639,0
ENSDARG00000100429,0
ENSDARG00000086569,8
ENSDARG00000079544,14
ENSDARG00000074191,3
ENSDARG00000038405,0
ENSDARG00000020738,0
ENSDARG00000075173,4
ENSDARG00000063438,5
ENSDARG00000095974,5
ENSDARG00000038027,9
ENSDARG00000006385,4
ENSDARG00000038028,152
ENSDARG00000095826,14
ENSDARG00000095850,0
ENSDARG00000006758,4
ENSDARG00000080745,0
ENSDARG00000099375,0
ENSDARG00000098934,4
ENSDARG00000044852,12
ENSDARG00000074266,9
ENSDARG00000078348,14
ENSDARG00000095882,0
ENSDARG00000079348,1
ENSDARG00000098105,2
ENSDARG00000099949,0
ENSDARG00000102353,5
ENSDARG00000101411,6
ENSDARG00000058414,0
ENSDARG00000095818,0
ENSDARG00000086189,0
ENSDARG00000077467,5
ENSDARG00000036625,15
ENSDARG00000095292,0
ENSDARG00000077602,1
ENSDARG00000090061,0
ENSDARG00000117725,0
ENSDARG00000112755,0
ENSDARG00000114661,1
ENSDARG00000110635,0
ENSDARG00000112569,0
ENSDARG00000002097,2
ENSDARG00000092176,0
ENSDARG00000087016,0
ENSDARG00000115830,0
ENSDARG00000040200,0
ENSDARG00000115690,0
ENSDARG00000035088,0
ENSDARG00000056443,1
ENSDARG00000076158,0
ENSDARG00000111949,0
ENSDARG00000076573,0
ENSDARG00000116893,0
ENSDARG00000079471,0
ENSDARG00000109662,0
ENSDARG00000107829,0
ENSDARG00000052876,1
ENSDARG00000052873,1
ENSDARG00000090876,0
ENSDARG00000076389,0
ENSDARG00000090015,0
ENSDARG00000117023,0
ENSDARG00000109888,0
ENSDARG00000109940,0
ENSDARG00000040497,0
ENSDARG00000075626,0
ENSDARG00000087012,0
ENSDARG00000113893,1
ENSDARG00000087817,0
ENSDARG00000115760,0
ENSDARG00000094823,0
ENSDARG00000086048,3
ENSDARG00000113960,0
ENSDARG00000091956,0
ENSDARG00000079723,19
ENSDARG00000081955,0
ENSDARG00000115817,0
ENSDARG00000116005,0
ENSDARG00000115205,0
ENSDARG00000008835,0
ENSDARG00000078183,0
ENSDARG00000074764,0
ENSDARG00000111638,0
ENSDARG00000077792,0
ENSDARG00000079269,2
ENSDARG00000101189,1
ENSDARG00000111399,1
ENSDARG00000071152,1
ENSDARG00000063313,0
ENSDARG00000079185,0
ENSDARG00000078178,0
ENSDARG00000002797,0
ENSDARG00000089602,1
ENSDARG00000110879,1
ENSDARG00000117123,0
ENSDARG00000014320,0
ENSDARG00000038398,0
ENSDARG00000115257,0
ENSDARG00000074607,1
ENSDARG00000044235,0
ENSDARG00000060655,1
ENSDARG00000114309,2
ENSDARG00000038392,0
ENSDARG00000115941,0
ENSDARG00000097588,0
ENSDARG00000093476,0
ENSDARG00000095739,3
ENSDARG00000097364,0
ENSDARG00000079245,2
ENSDARG00000095076,4
ENSDARG00000078832,4
ENSDARG00000096831,0
ENSDARG00000052255,0
ENSDARG00000098540,0
ENSDARG00000041317,5
ENSDARG00000076106,0
ENSDARG00000115041,0
ENSDARG00000116623,0
ENSDARG00000054153,1
ENSDARG00000112545,0
ENSDARG00000117574,0
ENSDARG00000059805,0
ENSDARG00000111833,0
ENSDARG00000073901,0
ENSDARG00000058700,0
ENSDARG00000115870,0
ENSDARG00000100167,1
ENSDARG00000102590,3
ENSDARG00000102795,2
ENSDARG00000098103,0
ENSDARG00000092778,2
ENSDARG00000001014,5
ENSDARG00000034777,15
ENSDARG00000093384,0
ENSDARG00000083165,0
ENSDARG00000089312,0
ENSDARG00000058958,0
ENSDARG00000111097,0
ENSDARG00000043002,0
ENSDARG00000104825,0
ENSDARG00000099503,0
ENSDARG00000098843,1
ENSDARG00000089185,0
ENSDARG00000100246,8
ENSDARG00000052097,0
ENSDARG00000027360,0
ENSDARG00000015111,22
ENSDARG00000017720,0
ENSDARG00000085478,0
ENSDARG00000117390,0
ENSDARG00000117304,0
ENSDARG00000062748,0
ENSDARG00000116871,14
ENSDARG00000058848,1
ENSDARG00000084991,0
ENSDARG00000103154,0
ENSDARG00000104099,0
ENSDARG00000089713,0
ENSDARG00000093487,0
ENSDARG00000102219,0
ENSDARG00000104113,2
ENSDARG00000103806,2
ENSDARG00000099312,38
ENSDARG00000102741,70
ENSDARG00000098679,0
ENSDARG00000112002,3
ENSDARG00000098871,0
ENSDARG00000099126,0
ENSDARG00000100617,0
ENSDARG00000098397,1
ENSDARG00000102856,0
ENSDARG00000099371,77
ENSDARG00000088145,0
ENSDARG00000088789,4
ENSDARG00000099172,0
ENSDARG00000113011,5
ENSDARG00000086831,2
ENSDARG00000105074,1
ENSDARG00000098122,1
ENSDARG00000103450,2
ENSDARG00000117076,5
ENSDARG00000089947,1
ENSDARG00000115220,0
ENSDARG00000114108,0
ENSDARG00000110003,2
ENSDARG00000091679,0
ENSDARG00000103530,3
ENSDARG00000098923,8
ENSDARG00000094216,0
ENSDARG00000100803,1
ENSDARG00000102401,2
ENSDARG00000102411,0
ENSDARG00000115857,0
ENSDARG00000103777,4
ENSDARG00000090740,3
ENSDARG00000102240,1
ENSDARG00000103413,3
ENSDARG00000104773,4
ENSDARG00000099235,2
ENSDARG00000039309,0
ENSDARG00000104178,8
ENSDARG00000100508,3
ENSDARG00000102303,0
ENSDARG00000101055,0
ENSDARG00000099684,0
ENSDARG00000102368,0
ENSDARG00000102264,0
ENSDARG00000100721,0
ENSDARG00000100373,0
ENSDARG00000099639,0
ENSDARG00000101136,0
ENSDARG00000101263,0
ENSDARG00000117757,1
ENSDARG00000111323,0
ENSDARG00000105044,0
ENSDARG00000104193,0
ENSDARG00000100364,0
ENSDARG00000094959,0
ENSDARG00000040433,0
ENSDARG00000039108,0
ENSDARG00000009874,0
ENSDARG00000033071,0
ENSDARG00000097075,0
ENSDARG00000074310,1
ENSDARG00000106182,0
ENSDARG00000039935,1
ENSDARG00000113458,0
ENSDARG00000103564,0
ENSDARG00000100148,0
ENSDARG00000098157,0
ENSDARG00000100147,0
ENSDARG00000098961,0
ENSDARG00000100820,0
ENSDARG00000100756,0
ENSDARG00000104565,0
ENSDARG00000114034,0
ENSDARG00000113290,0
ENSDARG00000111628,0
ENSDARG00000115376,0
ENSDARG00000116231,0
ENSDARG00000112420,0
ENSDARG00000115044,0
ENSDARG00000115379,0
ENSDARG00000112973,0
ENSDARG00000091025,2
ENSDARG00000111583,0
ENSDARG00000109742,3
ENSDARG00000116743,21
ENSDARG00000109683,0
ENSDARG00000117280,0
ENSDARG00000114377,0
ENSDARG00000090501,0
ENSDARG00000110702,0
ENSDARG00000024317,0
ENSDARG00000112452,28
ENSDARG00000103847,0
ENSDARG00000117605,0
ENSDARG00000117690,0
ENSDARG00000088351,0
ENSDARG00000097649,0
ENSDARG00000044938,7
ENSDARG00000095909,0
ENSDARG00000099576,0
ENSDARG00000084878,0
ENSDARG00000058819,6
ENSDARG00000073985,0
ENSDARG00000034060,1
ENSDARG00000063583,4
ENSDARG00000088981,1
ENSDARG00000096854,0
ENSDARG00000097468,0
ENSDARG00000007787,0
ENSDARG00000110710,0
ENSDARG00000110008,0
ENSDARG00000101863,0
ENSDARG00000087751,0
ENSDARG00000100161,0
ENSDARG00000101622,11
ENSDARG00000102578,1
ENSDARG00000101655,0
ENSDARG00000101656,0
ENSDARG00000100113,0
ENSDARG00000104677,0
ENSDARG00000088051,0
ENSDARG00000104428,0
ENSDARG00000040387,0
ENSDARG00000111269,0
ENSDARG00000074752,18
ENSDARG00000011609,24
ENSDARG00000089616,0
ENSDARG00000058494,7
ENSDARG00000078452,0
ENSDARG00000058508,1
ENSDARG00000104587,49
ENSDARG00000103923,5
ENSDARG00000100232,2
ENSDARG00000102822,6
ENSDARG00000102565,13
ENSDARG00000105046,6
ENSDARG00000100524,10
ENSDARG00000104593,3
ENSDARG00000101632,2
ENSDARG00000101861,6
ENSDARG00000105151,0
ENSDARG00000104529,2
ENSDARG00000102981,3
ENSDARG00000101190,3
ENSDARG00000098995,1
ENSDARG00000098570,1
ENSDARG00000102230,0
ENSDARG00000103555,0
ENSDARG00000104389,0
ENSDARG00000102472,0
ENSDARG00000104024,8
ENSDARG00000098578,1
ENSDARG00000103800,0
ENSDARG00000117293,0
ENSDARG00000055350,1
ENSDARG00000074231,1
ENSDARG00000081477,0
ENSDARG00000083181,0
ENSDARG00000003270,2
ENSDARG00000062537,2
ENSDARG00000058020,0
ENSDARG00000098162,2
ENSDARG00000100498,5
ENSDARG00000100385,3
ENSDARG00000104841,0
ENSDARG00000100376,5
ENSDARG00000100411,0
ENSDARG00000103509,0
ENSDARG00000104173,20
ENSDARG00000102937,4
ENSDARG00000103642,0
ENSDARG00000102436,8
ENSDARG00000104847,0
ENSDARG00000105177,43
ENSDARG00000098825,12
ENSDARG00000099695,14
ENSDARG00000103187,1
ENSDARG00000098831,7
ENSDARG00000087188,10
ENSDARG00000097615,12
ENSDARG00000117322,0
ENSDARG00000091318,0
ENSDARG00000097099,1
ENSDARG00000101478,0
ENSDARG00000098224,22
ENSDARG00000100532,2
ENSDARG00000102398,0
ENSDARG00000099453,37
ENSDARG00000100677,0
ENSDARG00000101534,0
ENSDARG00000090834,0
ENSDARG00000093423,0
ENSDARG00000093469,1
ENSDARG00000025757,3
ENSDARG00000062757,1
ENSDARG00000039338,14
ENSDARG00000061836,6
ENSDARG00000108236,0
ENSDARG00000088390,3
ENSDARG00000041217,6
ENSDARG00000041223,2
ENSDARG00000092458,0
ENSDARG00000044767,0
ENSDARG00000027749,5
ENSDARG00000044769,5
ENSDARG00000076052,3
ENSDARG00000075813,2
ENSDARG00000028485,13
ENSDARG00000015310,18
ENSDARG00000057679,5
ENSDARG00000011597,12
ENSDARG00000100334,0
ENSDARG00000070845,0
ENSDARG00000011925,3
ENSDARG00000011360,4
ENSDARG00000002339,4
ENSDARG00000094557,16
ENSDARG00000078736,0
ENSDARG00000090026,0
ENSDARG00000092816,1
ENSDARG00000094328,1
ENSDARG00000026453,17
ENSDARG00000057707,0
ENSDARG00000093219,0
ENSDARG00000081299,3
ENSDARG00000021242,11
ENSDARG00000057414,24
ENSDARG00000094116,0
ENSDARG00000062302,0
ENSDARG00000008403,2
ENSDARG00000038281,9
ENSDARG00000070866,13
ENSDARG00000075726,1
ENSDARG00000079616,10
ENSDARG00000034427,14
ENSDARG00000062531,8
ENSDARG00000100990,4
ENSDARG00000057910,12
ENSDARG00000077737,17
ENSDARG00000057853,90
ENSDARG00000097378,2
ENSDARG00000097322,9
ENSDARG00000057867,36
ENSDARG00000035719,0
ENSDARG00000002167,3
ENSDARG00000013307,611
ENSDARG00000093569,4
ENSDARG00000021195,9
ENSDARG00000107309,0
ENSDARG00000012261,6
ENSDARG00000062618,1
ENSDARG00000073998,0
ENSDARG00000057984,4
ENSDARG00000007129,0
ENSDARG00000016480,1
ENSDARG00000093118,0
ENSDARG00000013161,4
ENSDARG00000027689,4
ENSDARG00000016875,24
ENSDARG00000038297,1
ENSDARG00000038296,2
ENSDARG00000076186,0
ENSDARG00000093186,0
ENSDARG00000015922,2
ENSDARG00000092120,0
ENSDARG00000094883,0
ENSDARG00000020847,11
ENSDARG00000076411,3
ENSDARG00000022712,8
ENSDARG00000019392,2
ENSDARG00000062575,1
ENSDARG00000095646,0
ENSDARG00000070932,0
ENSDARG00000062565,2
ENSDARG00000026712,41
ENSDARG00000104734,0
ENSDARG00000089463,0
ENSDARG00000114049,0
ENSDARG00000058154,0
ENSDARG00000116223,0
ENSDARG00000052594,8
ENSDARG00000058148,34
ENSDARG00000058140,0
ENSDARG00000070822,23
ENSDARG00000099079,9
ENSDARG00000009040,8
ENSDARG00000027469,0
ENSDARG00000027461,1
ENSDARG00000076490,3
ENSDARG00000013460,0
ENSDARG00000097021,0
ENSDARG00000032619,64
ENSDARG00000094165,0
ENSDARG00000094871,0
ENSDARG00000105157,4
ENSDARG00000074531,3
ENSDARG00000005254,27
ENSDARG00000093074,0
ENSDARG00000077291,1980
ENSDARG00000028889,51
ENSDARG00000116493,0
ENSDARG00000090714,0
ENSDARG00000036994,4
ENSDARG00000099441,7
ENSDARG00000087327,7
ENSDARG00000089749,0
ENSDARG00000062263,0
ENSDARG00000092455,0
ENSDARG00000019932,1
ENSDARG00000076103,0
ENSDARG00000038243,2
ENSDARG00000038242,4
ENSDARG00000062216,3
ENSDARG00000097552,0
ENSDARG00000025338,17
ENSDARG00000031657,4
ENSDARG00000025436,16
ENSDARG00000038239,14
ENSDARG00000088560,5
ENSDARG00000082853,0
ENSDARG00000108712,0
ENSDARG00000082823,0
ENSDARG00000093192,0
ENSDARG00000117784,0
ENSDARG00000078149,0
ENSDARG00000005883,0
ENSDARG00000070780,8
ENSDARG00000097324,0
ENSDARG00000074850,0
ENSDARG00000077226,51
ENSDARG00000029476,7
ENSDARG00000106019,0
ENSDARG00000085884,0
ENSDARG00000075380,19
ENSDARG00000081972,0
ENSDARG00000093622,1
ENSDARG00000040526,1
ENSDARG00000056798,0
ENSDARG00000056791,2
ENSDARG00000031534,1
ENSDARG00000101990,1
ENSDARG00000101956,0
ENSDARG00000056773,0
ENSDARG00000056768,7
ENSDARG00000056767,0
ENSDARG00000008105,2
ENSDARG00000010779,13
ENSDARG00000078135,1
ENSDARG00000099809,0
ENSDARG00000070735,2
ENSDARG00000056481,64
ENSDARG00000117635,0
ENSDARG00000056468,0
ENSDARG00000056467,2
ENSDARG00000029331,1
ENSDARG00000035066,39
ENSDARG00000102428,0
ENSDARG00000012881,4
ENSDARG00000089936,21
ENSDARG00000038228,52
ENSDARG00000088708,10
ENSDARG00000070694,0
ENSDARG00000100519,8
ENSDARG00000107318,0
ENSDARG00000104512,0
ENSDARG00000099499,121
ENSDARG00000038213,4
ENSDARG00000078640,6
ENSDARG00000007245,1
ENSDARG00000101826,35
ENSDARG00000026875,11
ENSDARG00000006566,28
ENSDARG00000087330,2
ENSDARG00000070686,4
ENSDARG00000074899,22
ENSDARG00000056324,4
ENSDARG00000046140,0
ENSDARG00000097774,0
ENSDARG00000061858,6
ENSDARG00000007344,17
ENSDARG00000002564,6
ENSDARG00000075249,9
ENSDARG00000018687,0
ENSDARG00000097315,0
ENSDARG00000105007,0
ENSDARG00000081613,0
ENSDARG00000003989,13
ENSDARG00000097409,0
ENSDARG00000075428,0
ENSDARG00000056258,10
ENSDARG00000088238,15
ENSDARG00000087616,63
ENSDARG00000011519,10
ENSDARG00000034588,16
ENSDARG00000038185,1
ENSDARG00000070676,1
ENSDARG00000038186,2
ENSDARG00000069012,0
ENSDARG00000025607,0
ENSDARG00000061798,8
ENSDARG00000097456,22
ENSDARG00000088967,4
ENSDARG00000098339,0
ENSDARG00000079097,7
ENSDARG00000038176,1
ENSDARG00000098353,1
ENSDARG00000075139,14
ENSDARG00000028848,8
ENSDARG00000088833,0
ENSDARG00000077193,0
ENSDARG00000070605,0
ENSDARG00000094579,0
ENSDARG00000010680,52
ENSDARG00000096994,0
ENSDARG00000097738,0
ENSDARG00000012405,379
ENSDARG00000079366,8
ENSDARG00000079912,0
ENSDARG00000107397,0
ENSDARG00000029911,9
ENSDARG00000074734,5
ENSDARG00000055813,2
ENSDARG00000033160,4
ENSDARG00000101975,1
ENSDARG00000061478,90
ENSDARG00000029215,11
ENSDARG00000056008,184
ENSDARG00000056012,0
ENSDARG00000056015,0
ENSDARG00000011579,1
ENSDARG00000081346,0
ENSDARG00000056023,11
ENSDARG00000097849,0
ENSDARG00000056027,11
ENSDARG00000056030,2
ENSDARG00000029263,19
ENSDARG00000097891,0
ENSDARG00000010630,2
ENSDARG00000013057,7
ENSDARG00000013533,0
ENSDARG00000081638,0
ENSDARG00000097515,0
ENSDARG00000000175,2
ENSDARG00000008174,1
ENSDARG00000105205,0
ENSDARG00000097621,0
ENSDARG00000097724,0
ENSDARG00000004189,20
ENSDARG00000030616,0
ENSDARG00000006786,12
ENSDARG00000080838,0
ENSDARG00000097637,4
ENSDARG00000096864,0
ENSDARG00000097087,0
ENSDARG00000025615,2
ENSDARG00000038141,33
ENSDARG00000074773,2
ENSDARG00000017049,14
ENSDARG00000056144,0
ENSDARG00000038139,2
ENSDARG00000009311,34
ENSDARG00000097380,0
ENSDARG00000076586,0
ENSDARG00000080075,0
ENSDARG00000016483,0
ENSDARG00000096921,0
ENSDARG00000097543,2
ENSDARG00000040430,1
ENSDARG00000031116,0
ENSDARG00000055359,0
ENSDARG00000102588,0
ENSDARG00000090449,0
ENSDARG00000099247,0
ENSDARG00000104350,0
ENSDARG00000078206,0
ENSDARG00000104144,0
ENSDARG00000038133,0
ENSDARG00000087575,0
ENSDARG00000099678,0
ENSDARG00000061684,1
ENSDARG00000075867,0
ENSDARG00000107507,0
ENSDARG00000105972,0
ENSDARG00000033140,11
ENSDARG00000038025,10
ENSDARG00000061108,24
ENSDARG00000097379,0
ENSDARG00000007916,0
ENSDARG00000021973,28
ENSDARG00000038030,61
ENSDARG00000055160,0
ENSDARG00000009313,5
ENSDARG00000097402,0
ENSDARG00000060991,3
ENSDARG00000055172,11
ENSDARG00000093235,5
ENSDARG00000075720,0
ENSDARG00000055175,0
ENSDARG00000038069,0
ENSDARG00000038068,64
ENSDARG00000038067,9
ENSDARG00000038066,7
ENSDARG00000077361,28
ENSDARG00000038059,24
ENSDARG00000022525,1
ENSDARG00000088072,0
ENSDARG00000097506,0
ENSDARG00000097640,0
ENSDARG00000022531,19
ENSDARG00000097200,0
ENSDARG00000097089,0
ENSDARG00000091140,0
ENSDARG00000097387,0
ENSDARG00000014761,0
ENSDARG00000067813,0
ENSDARG00000104581,9
ENSDARG00000096978,3
ENSDARG00000097189,0
ENSDARG00000005643,10
ENSDARG00000019507,17
ENSDARG00000027529,0
ENSDARG00000061354,2
ENSDARG00000055743,5
ENSDARG00000075783,5
ENSDARG00000055731,5
ENSDARG00000020574,1468
ENSDARG00000079699,1
ENSDARG00000029688,1
ENSDARG00000092362,2
ENSDARG00000021924,3
ENSDARG00000061213,4
ENSDARG00000087869,2
ENSDARG00000055510,9
ENSDARG00000074466,6
ENSDARG00000106879,0
ENSDARG00000070573,16
ENSDARG00000087927,10
ENSDARG00000070570,2
ENSDARG00000070568,12
ENSDARG00000070565,1
ENSDARG00000099996,13
ENSDARG00000103966,0
ENSDARG00000061257,3
ENSDARG00000101707,19
ENSDARG00000010160,543
ENSDARG00000061248,2
ENSDARG00000081158,0
ENSDARG00000013252,2
ENSDARG00000061208,8
ENSDARG00000038097,2
ENSDARG00000038095,4
ENSDARG00000038094,3
ENSDARG00000055474,2
ENSDARG00000090851,0
ENSDARG00000055472,1
ENSDARG00000044588,18
ENSDARG00000097153,0
ENSDARG00000089698,2
ENSDARG00000034493,12
ENSDARG00000107783,0
ENSDARG00000096260,0
ENSDARG00000117681,0
ENSDARG00000117250,0
ENSDARG00000106124,0
ENSDARG00000055383,5
ENSDARG00000073710,27
ENSDARG00000038072,0
ENSDARG00000087093,11
ENSDARG00000019556,4
ENSDARG00000115268,0
ENSDARG00000004034,21
ENSDARG00000018002,12
ENSDARG00000012539,1
ENSDARG00000061185,3
ENSDARG00000053129,16
ENSDARG00000006031,54
ENSDARG00000077863,0
ENSDARG00000038089,0
ENSDARG00000014746,80
ENSDARG00000096347,0
ENSDARG00000019191,9
ENSDARG00000060915,7
ENSDARG00000096409,0
ENSDARG00000096338,1
ENSDARG00000037390,2
ENSDARG00000096266,0
ENSDARG00000096242,5
ENSDARG00000038024,3
ENSDARG00000075345,0
ENSDARG00000106809,0
ENSDARG00000054963,2
ENSDARG00000054950,2
ENSDARG00000096287,0
ENSDARG00000088711,13
ENSDARG00000054942,19
ENSDARG00000070522,0
ENSDARG00000083676,0
ENSDARG00000108752,0
ENSDARG00000117270,0
ENSDARG00000006468,0
ENSDARG00000038012,0
ENSDARG00000038011,0
ENSDARG00000038010,7
ENSDARG00000085140,0
ENSDARG00000014477,0
ENSDARG00000021257,68
ENSDARG00000103130,0
ENSDARG00000009885,4
ENSDARG00000038009,0
ENSDARG00000073718,0
ENSDARG00000096250,0
ENSDARG00000097358,0
ENSDARG00000032565,11
ENSDARG00000106236,0
ENSDARG00000097948,0
ENSDARG00000003599,788
ENSDARG00000083593,0
ENSDARG00000083950,0
ENSDARG00000007449,3
ENSDARG00000113664,0
ENSDARG00000015128,374
ENSDARG00000091962,2
ENSDARG00000004954,1
ENSDARG00000097308,0
ENSDARG00000075643,0
ENSDARG00000054849,18
ENSDARG00000054842,4
ENSDARG00000086571,1
ENSDARG00000097575,0
ENSDARG00000077053,41
ENSDARG00000054833,8
ENSDARG00000019741,0
ENSDARG00000005927,8
ENSDARG00000074667,27
ENSDARG00000070484,38
ENSDARG00000054793,22
ENSDARG00000087732,7
ENSDARG00000030157,8
ENSDARG00000096295,0
ENSDARG00000096420,0
ENSDARG00000004597,5
ENSDARG00000038005,6
ENSDARG00000070465,0
ENSDARG00000075830,15
ENSDARG00000054645,3
ENSDARG00000097595,0
ENSDARG00000080424,0
ENSDARG00000060539,1
ENSDARG00000080934,0
ENSDARG00000075461,15
ENSDARG00000003486,19
ENSDARG00000054616,32
ENSDARG00000054610,2
ENSDARG00000076960,0
ENSDARG00000060662,1
ENSDARG00000030394,0
ENSDARG00000091783,0
ENSDARG00000054588,0
ENSDARG00000078083,2
ENSDARG00000096714,1
ENSDARG00000097740,1
ENSDARG00000097471,0
ENSDARG00000037980,36
ENSDARG00000070458,1
ENSDARG00000088084,0
ENSDARG00000096689,2
ENSDARG00000096792,2
ENSDARG00000054578,56
ENSDARG00000054570,10
ENSDARG00000115545,0
ENSDARG00000060741,0
ENSDARG00000090900,0
ENSDARG00000106212,0
ENSDARG00000028521,0
ENSDARG00000054446,2
ENSDARG00000090664,0
ENSDARG00000054438,5
ENSDARG00000114012,0
ENSDARG00000075164,3
ENSDARG00000054362,19
ENSDARG00000054355,17
ENSDARG00000001803,3
ENSDARG00000113428,0
ENSDARG00000025301,66
ENSDARG00000060348,2
ENSDARG00000078092,0
ENSDARG00000115048,0
ENSDARG00000016908,0
ENSDARG00000037928,13
ENSDARG00000037929,4
ENSDARG00000037930,4
ENSDARG00000077126,24
ENSDARG00000037932,11
ENSDARG00000076745,1
ENSDARG00000055855,2
ENSDARG00000089995,0
ENSDARG00000030881,0
ENSDARG00000037935,2
ENSDARG00000031776,82
ENSDARG00000076221,6
ENSDARG00000077360,2
ENSDARG00000094210,24
ENSDARG00000113977,0
ENSDARG00000113150,0
ENSDARG00000073936,0
ENSDARG00000116586,0
ENSDARG00000037941,18
ENSDARG00000037954,7
ENSDARG00000037955,0
ENSDARG00000097646,1
ENSDARG00000117414,0
ENSDARG00000117436,0
ENSDARG00000037943,1
ENSDARG00000077545,6
ENSDARG00000096849,159
ENSDARG00000037946,0
ENSDARG00000010246,30
ENSDARG00000054320,75
ENSDARG00000094836,14
ENSDARG00000006553,6
ENSDARG00000087193,0
ENSDARG00000075849,35
ENSDARG00000017579,1
ENSDARG00000096862,1
ENSDARG00000054010,21
ENSDARG00000059993,1
ENSDARG00000096257,558
ENSDARG00000037958,15
ENSDARG00000037961,1
ENSDARG00000053364,3
ENSDARG00000096315,0
ENSDARG00000081593,0
ENSDARG00000090625,2
ENSDARG00000070391,8
ENSDARG00000004459,6
ENSDARG00000096331,1
ENSDARG00000110163,0
ENSDARG00000088283,3
ENSDARG00000077290,0
ENSDARG00000037965,27
ENSDARG00000037966,2
ENSDARG00000037967,4
ENSDARG00000027182,6
ENSDARG00000027187,14
ENSDARG00000027196,0
ENSDARG00000037968,13
ENSDARG00000060030,11
ENSDARG00000036966,8
ENSDARG00000078604,12
ENSDARG00000053254,4043
ENSDARG00000110325,1
ENSDARG00000027357,9
ENSDARG00000089232,9
ENSDARG00000098191,3
ENSDARG00000059919,3
ENSDARG00000053260,0
ENSDARG00000070371,1
ENSDARG00000014967,0
ENSDARG00000014646,18
ENSDARG00000078772,10
ENSDARG00000025608,0
ENSDARG00000093405,0
ENSDARG00000070368,0
ENSDARG00000111315,0
ENSDARG00000101017,0
ENSDARG00000097431,0
ENSDARG00000034893,3
ENSDARG00000101409,0
ENSDARG00000078674,3
ENSDARG00000053449,9
ENSDARG00000098119,0
ENSDARG00000053453,5
ENSDARG00000103039,0
ENSDARG00000104213,7
ENSDARG00000060072,3
ENSDARG00000082395,0
ENSDARG00000053455,0
ENSDARG00000053457,678
ENSDARG00000116621,0
ENSDARG00000053460,2
ENSDARG00000053467,9
ENSDARG00000085621,0
ENSDARG00000019038,5
ENSDARG00000110874,2
ENSDARG00000096325,0
ENSDARG00000099164,0
ENSDARG00000099195,3
ENSDARG00000037905,1
ENSDARG00000037906,1
ENSDARG00000032129,9
ENSDARG00000084425,0
ENSDARG00000096248,0
ENSDARG00000096355,0
ENSDARG00000096330,0
ENSDARG00000114780,0
ENSDARG00000096366,0
ENSDARG00000113829,0
ENSDARG00000096321,0
ENSDARG00000113286,0
ENSDARG00000114651,0
ENSDARG00000112068,0
ENSDARG00000112596,0
ENSDARG00000110663,0
ENSDARG00000096280,0
ENSDARG00000096292,0
ENSDARG00000096351,0
ENSDARG00000109903,0
ENSDARG00000113852,0
ENSDARG00000093274,0
ENSDARG00000096301,0
ENSDARG00000096418,0
ENSDARG00000096243,0
ENSDARG00000096376,0
ENSDARG00000096372,0
ENSDARG00000096408,0
ENSDARG00000113059,0
ENSDARG00000096386,0
ENSDARG00000109214,0
ENSDARG00000096357,0
ENSDARG00000096395,0
ENSDARG00000096350,0
ENSDARG00000096424,0
ENSDARG00000096387,0
ENSDARG00000096406,0
ENSDARG00000113309,0
ENSDARG00000096316,0
ENSDARG00000096430,0
ENSDARG00000114819,0
ENSDARG00000096340,0
ENSDARG00000096303,0
ENSDARG00000096255,0
ENSDARG00000096241,0
ENSDARG00000096318,0
ENSDARG00000096244,0
ENSDARG00000096326,0
ENSDARG00000096289,0
ENSDARG00000096342,0
ENSDARG00000096268,0
ENSDARG00000095516,0
ENSDARG00000096333,0
ENSDARG00000096308,0
ENSDARG00000096276,0
ENSDARG00000096345,0
ENSDARG00000096388,0
ENSDARG00000096267,0
ENSDARG00000096337,0
ENSDARG00000096394,0
ENSDARG00000092616,0
ENSDARG00000096275,0
ENSDARG00000096259,0
ENSDARG00000013839,0
ENSDARG00000020679,5
ENSDARG00000094695,22
ENSDARG00000018698,17
ENSDARG00000082930,0
ENSDARG00000021399,3
ENSDARG00000037909,6
ENSDARG00000082192,0
ENSDARG00000024708,0
ENSDARG00000015538,12
ENSDARG00000076847,82
ENSDARG00000080738,0
ENSDARG00000020235,9
ENSDARG00000079353,1
ENSDARG00000037913,0
ENSDARG00000076437,1
ENSDARG00000096234,0
ENSDARG00000037914,0
ENSDARG00000011956,0
ENSDARG00000060130,0
ENSDARG00000000151,1
