R-DRE-68877	Mitotic Prometaphase	117	119	3	3	2	2	2	2	3	1	1	14	118	4759	0.94988	0.30922	0.30922	0.84	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-68882	Mitotic Anaphase	150	155	2	2	1	1	1	1	2	0	0	15	155	4722	0.61652	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68886	M Phase	231	252	3	3	2	2	2	2	3	1	1	14	251	4626	0.82101	0.54818	0.54818	0.4	553389	haus1	ENSDARG00000058968		1.5156	1.5156	1.5156		1.5156		0.808683	0.808683	0.808683		0.808683		2.84049	2.84049	2.84049		2.84049						1.5156	0.808683	2.84049	0	1	0															1	553389	ENSDARG00000058968	1.5156	1.5156		0.808683	0.808683		2.84049	2.84049		1.5156	0.808683	2.84049	0						Linear,1(1)	1.7407057285308838	1.7407057285308838	1.7407057285308838	1.7407057285308838	0.0	1.7407057285308838	1.5156	1.5156	0.808683	0.808683	2.84049	2.84049	DOWN	0.0	1.0	0.0	
R-DRE-69618	Mitotic Spindle Checkpoint	74	75	2	2	1	1	1	1	2	0	0	15	75	4802	0.79288	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69620	Cell Cycle Checkpoints	172	187	4	3	2	3	3	2	4	0	0	15	187	4690	0.55683	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9648025	EML4 and NUDC in mitotic spindle formation	67	69	2	2	1	1	1	1	2	0	0	15	69	4808	0.80785	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	385	403	3	2	1	2	2	2	3	0	0	15	403	4474	0.27486	1.0	0.62871	0.0																														0	0	0															0															0																							
R-DRE-446203	Asparagine N-linked glycosylation	154	160	1	0	0	1	1	0	1	0	0	15	160	4717	0.60682	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-948021	Transport to the Golgi and subsequent modification	100	104	1	0	0	1	1	0	1	0	0	15	104	4773	0.72412	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-199977	ER to Golgi Anterograde Transport	81	82	1	0	0	1	1	0	1	0	0	15	82	4795	0.77575	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-204005	COPII-mediated vesicle transport	42	42	1	0	0	1	1	0	1	0	0	15	42	4835	0.87851	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196854	Metabolism of vitamins and cofactors	89	90	1	1	1	1	1	1	1	1	1	14	89	4788	0.96991	0.24341	0.24341	1.11	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755						1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-71387	Metabolism of carbohydrates	139	148	1	1	1	1	1	1	1	1	1	14	147	4730	0.9262	0.36965	0.36965	0.68	566487	gbgt1l2	ENSDARG00000092718		1.75096	1.75096	1.75096		1.75096		0.869732	0.869732	0.869732		0.869732		3.52507	3.52507	3.52507		3.52507						1.75096	0.869732	3.52507	1	0	1	566487	ENSDARG00000092718	1.75096	1.75096		0.869732	0.869732		3.52507	3.52507		1.75096	0.869732	3.52507	0															0						Linear,1(1)	2.454136610031128	2.454136610031128	2.454136610031128	2.454136610031128	0.0	2.454136610031128	1.75096	1.75096	0.869732	0.869732	3.52507	3.52507	UP	1.0	0.0	0.0	
R-DRE-5693532	DNA Double-Strand Break Repair	79	90	1	1	1	1	1	0	1	0	0	15	90	4787	0.75659	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693538	Homology Directed Repair	63	74	1	1	1	1	1	0	1	0	0	15	74	4803	0.79536	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	58	69	1	1	1	1	1	0	1	0	0	15	69	4808	0.80785	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693607	Processing of DNA double-strand break ends	39	50	1	1	1	1	1	0	1	0	0	15	50	4827	0.857	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69473	G2/M DNA damage checkpoint	47	57	1	1	1	1	1	0	1	0	0	15	57	4820	0.83857	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69481	G2/M Checkpoints	94	107	1	1	1	1	1	0	1	0	0	15	107	4770	0.71734	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73894	DNA Repair	165	177	1	1	1	1	1	0	1	0	0	15	177	4700	0.57488	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-422475	Axon guidance	144	145	1	1	1	0	0	0	1	0	0	15	145	4732	0.63637	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5685938	HDR through Single Strand Annealing (SSA)	22	23	1	1	1	1	1	0	1	0	0	15	23	4854	0.93166	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69231	Cyclin D associated events in G1	32	32	2	1	0	2	2	1	2	0	0	15	32	4845	0.90612	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69236	G1 Phase	32	32	2	1	0	2	2	1	2	0	0	15	32	4845	0.90612	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9675108	Nervous system development	145	146	1	1	1	0	0	0	1	0	0	15	146	4731	0.63435	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112315	Transmission across Chemical Synapses	127	133	2	1	1	2	2	0	2	0	0	15	133	4744	0.66096	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112316	Neuronal System	198	208	5	4	4	5	5	3	5	3	3	12	205	4672	0.99701	0.023611	0.023611	1.44	571208;101882139;100148290	kcna1b;kcnk17;si:dkey-43k4.5	ENSDARG00000017108;ENSDARG00000105453;ENSDARG00000026084		1.3820966666666668	1.34434	1.31736	0.0897810817117569	1.371854417315725	0.08250927609549935	0.7702460000000001	0.758692	0.750119	0.02776937887313459	0.7670924277832375	0.02551621209906317	2.4813333333333336	2.38205	2.31355	0.23380871633309744	2.4545498815490263	0.2149032442619138					1.34434;1.48459;1.31736	0.758692;0.801927;0.750119	2.38205;2.7484;2.31355	2	1	2	101882139;100148290	ENSDARG00000105453;ENSDARG00000026084	1.400975	1.400975	0.11824946701782885	0.7760229999999999	0.7760229999999999	0.03663378811971394	2.530975	2.530975	0.30748538379896984	1.48459;1.31736	0.801927;0.750119	2.7484;2.31355	1	571208	ENSDARG00000017108	1.34434	1.34434		0.758692	0.758692		2.38205	2.38205		1.34434	0.758692	2.38205	0						Linear,3(1)	2.3171267211375195	7.559865355491638	1.5843840837478638	4.0242919921875	1.3156399906799017	1.9511892795562744	1.2804998085456052	1.4836935247877283	0.7388219895994331	0.8016700104005668	2.2167538637182895	2.745912802948377	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-71291	Metabolism of amino acids and derivatives	147	156	2	1	0	2	2	1	2	0	0	15	156	4721	0.61457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	331	343	3	3	1	3	3	3	3	1	1	14	342	4535	0.7162	0.66446	1.0	0.29	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755						1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-8978868	Fatty acid metabolism	92	94	3	3	1	3	3	3	3	1	1	14	93	4784	0.9674	0.25282	0.25282	1.06	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755						1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-9033241	Peroxisomal protein import	37	39	1	1	1	0	0	0	1	0	0	15	39	4838	0.88671	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9609507	Protein localization	73	75	1	1	1	0	0	0	1	0	0	15	75	4802	0.79288	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	20	28	1	0	0	1	1	0	1	0	0	15	28	4849	0.91739	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2262752	Cellular responses to stress	299	336	3	2	1	2	2	1	3	0	0	15	336	4541	0.34338	1.0	0.61897	0.0																														0	0	0															0															0																							
R-DRE-8953897	Cellular responses to stimuli	299	336	3	2	1	2	2	1	3	0	0	15	336	4541	0.34338	1.0	0.61897	0.0																														0	0	0															0															0																							
R-DRE-9707564	Cytoprotection by HMOX1	78	84	1	1	0	1	1	0	1	0	0	15	84	4793	0.77092	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9711123	Cellular response to chemical stress	95	101	1	1	0	1	1	0	1	0	0	15	101	4776	0.73097	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804756	Regulation of TP53 Activity through Phosphorylation	58	60	1	1	1	1	1	0	1	0	0	15	60	4817	0.83079	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5688426	Deubiquitination	141	156	2	2	1	1	1	0	2	0	0	15	156	4721	0.61457	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689880	Ub-specific processing proteases	105	119	1	1	0	1	1	0	1	0	0	15	119	4758	0.69078	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112314	Neurotransmitter receptors and postsynaptic signal transmission	80	81	1	1	1	1	1	0	1	0	0	15	81	4796	0.77817	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-375281	Hormone ligand-binding receptors	3	8	1	1	1	1	1	1	1	1	1	14	7	4870	0.99976	0.024285	0.024285	12.5	353222	gnrh2	ENSDARG00000044754		1.77404	1.77404	1.77404		1.77404		0.870785	0.870785	0.870785		0.8707849999999999		3.61421	3.61421	3.61421		3.61421		0.0	1.77404	0.0	1.77404	1.77404	0.870785	3.61421	0	1	0															1	353222	ENSDARG00000044754	1.77404	1.77404		0.870785	0.870785		3.61421	3.61421		1.77404	0.870785	3.61421	0						Linear,1(1)	4.482241153717041	4.482241153717041	4.482241153717041	4.482241153717041	0.0	4.482241153717041	1.77404	1.77404	0.870785	0.870785	3.61421	3.61421	DOWN	0.0	1.0	0.0	
R-DRE-1296071	Potassium Channels	62	65	4	4	4	4	4	3	4	3	3	12	62	4815	0.99997	9.0903E-4	9.0903E-4	4.62	571208;101882139;100148290	kcna1b;kcnk17;si:dkey-43k4.5	ENSDARG00000017108;ENSDARG00000105453;ENSDARG00000026084		1.3820966666666668	1.34434	1.31736	0.0897810817117569	1.371854417315725	0.08250927609549935	0.7702460000000001	0.758692	0.750119	0.02776937887313459	0.7670924277832375	0.02551621209906317	2.4813333333333336	2.38205	2.31355	0.23380871633309744	2.4545498815490263	0.2149032442619138					1.34434;1.48459;1.31736	0.758692;0.801927;0.750119	2.38205;2.7484;2.31355	2	1	2	101882139;100148290	ENSDARG00000105453;ENSDARG00000026084	1.400975	1.400975	0.11824946701782885	0.7760229999999999	0.7760229999999999	0.03663378811971394	2.530975	2.530975	0.30748538379896984	1.48459;1.31736	0.801927;0.750119	2.7484;2.31355	1	571208	ENSDARG00000017108	1.34434	1.34434		0.758692	0.758692		2.38205	2.38205		1.34434	0.758692	2.38205	0						Linear,3(1)	2.3171267211375195	7.559865355491638	1.5843840837478638	4.0242919921875	1.3156399906799017	1.9511892795562744	1.2804998085456052	1.4836935247877283	0.7388219895994331	0.8016700104005668	2.2167538637182895	2.745912802948377	UP	0.6666666666666666	0.3333333333333333	0.0	
R-DRE-1296072	Voltage gated Potassium channels	22	22	2	2	2	2	2	2	2	2	2	13	20	4857	0.99997	0.0019568	0.0019568	9.09	571208;100148290	kcna1b;si:dkey-43k4.5	ENSDARG00000017108;ENSDARG00000026084		1.33085	1.33085	1.31736	0.01907774095641485	1.3327706803526447	0.018883383541238547	0.7544055000000001	0.7544055000000001	0.750119	0.006062026435098542	0.7550158036569022	0.0060002686100410815	2.3478000000000003	2.3478000000000003	2.31355	0.048436814511249614	2.3526764493756915	0.04794335702654728	0.5	1.33085			1.34434;1.31736	0.758692;0.750119	2.38205;2.31355	1	1	1	100148290	ENSDARG00000026084	1.31736	1.31736		0.750119	0.750119		2.31355	2.31355		1.31736	0.750119	2.31355	1	571208	ENSDARG00000017108	1.34434	1.34434		0.758692	0.758692		2.38205	2.38205		1.34434	0.758692	2.38205	0						Linear,2(1)	1.7582472064270207	3.535573363304138	1.5843840837478638	1.9511892795562744	0.25937044133058657	1.767786681652069	1.3044096	1.3572904000000001	0.74600396	0.7628070400000001	2.2806700000000006	2.41493	CONFLICT	0.5	0.5	0.0	
R-DRE-3371453	Regulation of HSF1-mediated heat shock response	45	45	1	1	1	0	0	0	1	0	0	15	45	4832	0.87039	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371556	Cellular response to heat stress	59	60	1	1	1	0	0	0	1	0	0	15	60	4817	0.83079	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196849	Metabolism of water-soluble vitamins and cofactors	63	64	1	1	1	1	1	1	1	1	1	14	63	4814	0.98414	0.17948	0.17948	1.56	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755						1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-2142753	Arachidonic acid metabolism	29	30	2	2	1	2	2	2	2	1	1	14	29	4848	0.99637	0.088262	0.088262	3.33	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755						1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-5173105	O-linked glycosylation	50	52	1	1	1	0	0	0	1	0	0	15	52	4825	0.85169	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8848021	Signaling by PTK6	26	26	1	0	0	1	1	1	1	0	0	15	26	4851	0.92307	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006927	Signaling by Non-Receptor Tyrosine Kinases	26	26	1	0	0	1	1	1	1	0	0	15	26	4851	0.92307	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112310	Neurotransmitter release cycle	36	41	1	0	0	1	1	0	1	0	0	15	41	4836	0.88124	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-352230	Amino acid transport across the plasma membrane	23	29	1	0	0	1	1	0	1	0	0	15	29	4848	0.91456	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425366	Transport of bile salts and organic acids, metal ions and amine compounds	33	39	1	0	0	1	1	0	1	0	0	15	39	4838	0.88671	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	56	62	1	0	0	1	1	0	1	0	0	15	62	4815	0.82564	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425407	SLC-mediated transmembrane transport	111	121	2	1	0	2	2	1	2	0	0	15	121	4756	0.68645	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-442660	Na+/Cl- dependent neurotransmitter transporters	8	14	1	0	0	1	1	0	1	0	0	15	14	4863	0.95786	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71288	Creatine metabolism	8	13	1	0	0	1	1	0	1	0	0	15	13	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-888590	GABA synthesis, release, reuptake and degradation	16	21	1	0	0	1	1	0	1	0	0	15	21	4856	0.93742	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-888593	Reuptake of GABA	4	9	1	0	0	1	1	0	1	0	0	15	9	4868	0.97272	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-202733	Cell surface interactions at the vascular wall	53	57	1	0	0	1	1	0	1	0	0	15	57	4820	0.83857	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196807	Nicotinate metabolism	16	16	1	1	1	1	1	1	1	1	1	14	15	4862	0.99897	0.048019	0.048019	6.25	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877			1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-197264	Nicotinamide salvaging	9	9	1	1	1	1	1	1	1	1	1	14	8	4869	0.99969	0.027282	0.027282	11.11	559020	ptgs2b	ENSDARG00000010276		1.63877	1.63877	1.63877		1.63877		0.842515	0.842515	0.842515		0.842515		3.18755	3.18755	3.18755		3.18755		0.0	1.63877	0.0	1.63877	1.63877	0.842515	3.18755	1	0	1	559020	ENSDARG00000010276	1.63877	1.63877		0.842515	0.842515		3.18755	3.18755		1.63877	0.842515	3.18755	0															0						Linear,1(1)	2.961481332778931	2.9614813327789307	2.9614813327789307	2.9614813327789307	0.0	2.9614813327789307	1.63877	1.63877	0.842515	0.842515	3.18755	3.18755	UP	1.0	0.0	0.0	
R-DRE-8856828	Clathrin-mediated endocytosis	83	84	1	1	1	1	1	1	1	1	1	14	83	4794	0.97353	0.22908	0.22908	1.19	556854	tor1l2	ENSDARG00000090741		1.21825	1.21825	1.21825		1.21825		0.717203	0.717203	0.717203		0.717203		2.06934	2.06934	2.06934		2.06934						1.21825	0.717203	2.06934	1	0	1	556854	ENSDARG00000090741	1.21825	1.21825		0.717203	0.717203		2.06934	2.06934		1.21825	0.717203	2.06934	0															0						Linear,1(1)	2.5472424030303955	2.5472424030303955	2.5472424030303955	2.5472424030303955	0.0	2.5472424030303955	1.21825	1.21825	0.717203	0.717203	2.06934	2.06934	UP	1.0	0.0	0.0	
R-DRE-499943	Interconversion of nucleotide di- and triphosphates	14	14	1	1	1	0	0	0	1	0	0	15	14	4863	0.95786	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8951664	Neddylation	138	144	2	2	1	1	1	0	2	0	0	15	144	4733	0.63838	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9707587	Regulation of HMOX1 expression and activity	42	45	1	1	0	1	1	0	1	0	0	15	45	4832	0.87039	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73886	Chromosome Maintenance	52	63	2	2	2	0	0	0	2	0	0	15	63	4814	0.82308	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5607764	CLEC7A (Dectin-1) signaling	50	53	1	1	1	1	1	1	1	1	1	14	52	4825	0.98895	0.15095	0.15095	1.89	796425	card9	ENSDARG00000067672		1.69803	1.69803	1.69803		1.69803		0.855865	0.855865	0.855865		0.855865		3.36888	3.36888	3.36888		3.36888						1.69803	0.855865	3.36888	1	0	1	796425	ENSDARG00000067672	1.69803	1.69803		0.855865	0.855865		3.36888	3.36888		1.69803	0.855865	3.36888	0															0						Linear,1(1)	3.461847066879272	3.4618470668792725	3.4618470668792725	3.4618470668792725	0.0	3.4618470668792725	1.69803	1.69803	0.855865	0.855865	3.36888	3.36888	UP	1.0	0.0	0.0	
R-DRE-5621481	C-type lectin receptors (CLRs)	57	61	1	1	1	1	1	1	1	1	1	14	60	4817	0.98553	0.17179	0.17179	1.64	796425	card9	ENSDARG00000067672		1.69803	1.69803	1.69803		1.69803		0.855865	0.855865	0.855865		0.855865		3.36888	3.36888	3.36888		3.36888						1.69803	0.855865	3.36888	1	0	1	796425	ENSDARG00000067672	1.69803	1.69803		0.855865	0.855865		3.36888	3.36888		1.69803	0.855865	3.36888	0															0						Linear,1(1)	3.461847066879272	3.4618470668792725	3.4618470668792725	3.4618470668792725	0.0	3.4618470668792725	1.69803	1.69803	0.855865	0.855865	3.36888	3.36888	UP	1.0	0.0	0.0	
R-DRE-373755	Semaphorin interactions	29	30	1	1	1	0	0	0	1	0	0	15	30	4847	0.91174	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	25	27	2	1	1	2	2	2	2	1	1	14	26	4851	0.99705	0.079775	0.079775	3.7	30079	btg2	ENSDARG00000020298		1.63748	1.63748	1.63748		1.63748		0.842145	0.842145	0.842145		0.842145		3.18395	3.18395	3.18395		3.18395						1.63748	0.842145	3.18395	1	0	1	30079	ENSDARG00000020298	1.63748	1.63748		0.842145	0.842145		3.18395	3.18395		1.63748	0.842145	3.18395	0															0						Linear,1(1)	1.7828272581100464	1.7828272581100464	1.7828272581100464	1.7828272581100464	0.0	1.7828272581100464	1.63748	1.63748	0.842145	0.842145	3.18395	3.18395	UP	1.0	0.0	0.0	
R-DRE-2559583	Cellular Senescence	83	112	1	0	0	1	1	1	1	0	0	15	112	4765	0.70616	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2559586	DNA Damage/Telomere Stress Induced Senescence	26	48	1	0	0	1	1	1	1	0	0	15	48	4829	0.86233	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425397	Transport of vitamins, nucleosides, and related molecules	20	23	1	1	0	1	1	1	1	0	0	15	23	4854	0.93166	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-383280	Nuclear Receptor transcription pathway	33	37	1	1	1	1	1	1	1	1	1	14	36	4841	0.99451	0.10778	0.10778	2.7	548604	nr4a3	ENSDARG00000055854		1.64844	1.64844	1.64844		1.64844		0.844806	0.844806	0.844806		0.844806		3.21655	3.21655	3.21655		3.21655						1.64844	0.844806	3.21655	1	0	1	548604	ENSDARG00000055854	1.64844	1.64844		0.844806	0.844806		3.21655	3.21655		1.64844	0.844806	3.21655	0															0						Linear,1(1)	2.113257646560669	2.113257646560669	2.113257646560669	2.113257646560669	0.0	2.113257646560669	1.64844	1.64844	0.844806	0.844806	3.21655	3.21655	UP	1.0	0.0	0.0	
R-DRE-8856825	Cargo recognition for clathrin-mediated endocytosis	57	58	1	1	1	1	1	1	1	1	1	14	57	4820	0.98686	0.16403	0.16403	1.72	556854	tor1l2	ENSDARG00000090741		1.21825	1.21825	1.21825		1.21825		0.717203	0.717203	0.717203		0.717203		2.06934	2.06934	2.06934		2.06934						1.21825	0.717203	2.06934	1	0	1	556854	ENSDARG00000090741	1.21825	1.21825		0.717203	0.717203		2.06934	2.06934		1.21825	0.717203	2.06934	0															0						Linear,1(1)	2.5472424030303955	2.5472424030303955	2.5472424030303955	2.5472424030303955	0.0	2.5472424030303955	1.21825	1.21825	0.717203	0.717203	2.06934	2.06934	UP	1.0	0.0	0.0	
R-DRE-9033658	Blood group systems biosynthesis	8	10	1	1	1	1	1	1	1	1	1	14	9	4868	0.99961	0.03027	0.03027	10.0	566487	gbgt1l2	ENSDARG00000092718		1.75096	1.75096	1.75096		1.75096		0.869732	0.869732	0.869732		0.869732		3.52507	3.52507	3.52507		3.52507		0.0	1.75096	0.0	1.75096	1.75096	0.869732	3.52507	1	0	1	566487	ENSDARG00000092718	1.75096	1.75096		0.869732	0.869732		3.52507	3.52507		1.75096	0.869732	3.52507	0															0						Linear,1(1)	2.454136610031128	2.454136610031128	2.454136610031128	2.454136610031128	0.0	2.454136610031128	1.75096	1.75096	0.869732	0.869732	3.52507	3.52507	UP	1.0	0.0	0.0	
R-DRE-9033807	ABO blood group biosynthesis	1	2	1	1	1	1	1	1	1	1	1	14	1	4876	0.99999	0.0061237	0.0061237	50.0	566487	gbgt1l2	ENSDARG00000092718		1.75096	1.75096	1.75096		1.75096		0.869732	0.869732	0.869732		0.869732		3.52507	3.52507	3.52507		3.52507		0.0	1.75096	0.0	1.75096	1.75096	0.869732	3.52507	1	0	1	566487	ENSDARG00000092718	1.75096	1.75096		0.869732	0.869732		3.52507	3.52507		1.75096	0.869732	3.52507	0															0						Linear,1(1)	2.454136610031128	2.454136610031128	2.454136610031128	2.454136610031128	0.0	2.454136610031128	1.75096	1.75096	0.869732	0.869732	3.52507	3.52507	UP	1.0	0.0	0.0	
R-DRE-1852241	Organelle biogenesis and maintenance	119	121	2	2	2	2	2	2	2	2	2	13	119	4758	0.9946	0.051643	0.051643	1.65	553389;393269	haus1;bbs5	ENSDARG00000058968;ENSDARG00000039827		1.55942	1.55942	1.5156	0.06197083830319025	1.547205618803792	0.0595147257742729	0.821125	0.821125	0.808683	0.017595645143051106	0.8176569185111087	0.016898270608943673	2.962045	2.962045	2.84049	0.17190472957427347	2.9281627748447034	0.165091567583124					1.5156;1.60324	0.808683;0.833567	2.84049;3.0836	0	2	0															2	553389;393269	ENSDARG00000058968;ENSDARG00000039827	1.55942	1.55942	0.06197083830319025	0.821125	0.821125	0.017595645143051106	2.962045	2.962045	0.17190472957427347	1.5156;1.60324	0.808683;0.833567	2.84049;3.0836	0						Linear,2(1)	1.6414276633434979	3.288517475128174	1.54781174659729	1.7407057285308838	0.13639664267531953	1.644258737564087	1.4735328	1.6453072	0.7967386800000001	0.8455113199999998	2.7237971999999995	3.2002928	DOWN	0.0	1.0	0.0	
