R-DRE-5576886	Phase 4 - resting membrane potential	11	12	1	1	1	1	1	1	1	1	1	9	11	4871	0.99975	0.024283	0.024283	8.33	101882139	kcnk17	ENSDARG00000105453		1.04613	1.04613	1.04613		1.04613		0.645144	0.645144	0.645144		0.645144		1.69636	1.69636	1.69636		1.69636		0.0	1.04613			1.04613	0.645144	1.69636	1	0	1	101882139	ENSDARG00000105453	1.04613	1.04613		0.645144	0.645144		1.69636	1.69636		1.04613	0.645144	1.69636	0															0						Linear,1(1)	2.6318411827087402	2.6318411827087402	2.6318411827087402	2.6318411827087402	0.0	2.6318411827087402	1.04613	1.04613	0.645144	0.645144	1.69636	1.69636	UP	1.0	0.0	0.0	
R-DRE-5576891	Cardiac conduction	60	61	1	1	1	1	1	1	1	1	1	9	60	4822	0.99355	0.11803	0.11803	1.64	101882139	kcnk17	ENSDARG00000105453		1.04613	1.04613	1.04613		1.04613		0.645144	0.645144	0.645144		0.645144		1.69636	1.69636	1.69636		1.69636						1.04613	0.645144	1.69636	1	0	1	101882139	ENSDARG00000105453	1.04613	1.04613		0.645144	0.645144		1.69636	1.69636		1.04613	0.645144	1.69636	0															0						Linear,1(1)	2.6318411827087402	2.6318411827087402	2.6318411827087402	2.6318411827087402	0.0	2.6318411827087402	1.04613	1.04613	0.645144	0.645144	1.69636	1.69636	UP	1.0	0.0	0.0	
R-DRE-1236974	ER-Phagosome pathway	19	21	1	1	1	1	1	0	1	0	0	10	21	4861	0.95785	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236975	Antigen processing-Cross presentation	62	65	1	1	1	1	1	0	1	0	0	10	65	4817	0.87469	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1236977	Endosomal/Vacuolar pathway	10	12	1	1	1	1	1	0	1	0	0	10	12	4870	0.97572	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-382551	Transport of small molecules	358	372	2	1	1	1	1	0	2	0	0	10	372	4510	0.4531	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-917937	Iron uptake and transport	43	45	1	1	1	1	1	0	1	0	0	10	45	4837	0.91165	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-917977	Transferrin endocytosis and recycling	25	27	1	1	1	1	1	0	1	0	0	10	27	4855	0.94611	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	21	23	1	1	1	1	1	0	1	0	0	10	23	4859	0.95393	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-141424	Amplification of signal from the kinetochores	61	61	1	1	1	0	0	0	1	0	0	10	61	4821	0.88197	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-141444	Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	61	61	1	1	1	0	0	0	1	0	0	10	61	4821	0.88197	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-194315	Signaling by Rho GTPases	380	394	1	1	1	0	0	0	1	0	0	10	394	4488	0.4315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-195258	RHO GTPase Effectors	165	179	1	1	1	0	0	0	1	0	0	10	179	4703	0.68859	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2467813	Separation of Sister Chromatids	128	129	1	1	1	0	0	0	1	0	0	10	129	4753	0.7653	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2500257	Resolution of Sister Chromatid Cohesion	78	78	1	1	1	0	0	0	1	0	0	10	78	4804	0.8514	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2555396	Mitotic Metaphase and Anaphase	155	156	1	1	1	0	0	0	1	0	0	10	156	4726	0.72297	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5663220	RHO GTPases Activate Formins	79	79	1	1	1	0	0	0	1	0	0	10	79	4803	0.84963	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68877	Mitotic Prometaphase	119	119	1	1	1	0	0	0	1	0	0	10	119	4763	0.78154	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68882	Mitotic Anaphase	154	155	1	1	1	0	0	0	1	0	0	10	155	4727	0.7245	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-68886	M Phase	237	252	1	1	1	0	0	0	1	0	0	10	252	4630	0.58898	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69618	Mitotic Spindle Checkpoint	75	75	1	1	1	0	0	0	1	0	0	10	75	4807	0.85672	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69620	Cell Cycle Checkpoints	176	187	2	1	1	0	0	0	2	0	0	10	187	4695	0.67698	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9648025	EML4 and NUDC in mitotic spindle formation	69	69	1	1	1	0	0	0	1	0	0	10	69	4813	0.86746	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9716542	Signaling by Rho GTPases, Miro GTPases and RHOBTB3	389	403	1	1	1	0	0	0	1	0	0	10	403	4479	0.42293	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-391903	Eicosanoid ligand-binding receptors	8	9	1	1	1	1	1	1	1	1	1	9	8	4874	0.99987	0.018262	0.018262	11.11	100329657	ltb4r	ENSDARG00000032631		1.7283	1.7283	1.7283		1.7283		0.861613	0.861613	0.861613		0.861613		3.46679	3.46679	3.46679		3.4667899999999996		0.0	1.7283	0.0	1.7283	1.7283	0.861613	3.46679	1	0	1	100329657	ENSDARG00000032631	1.7283	1.7283		0.861613	0.861613		3.46679	3.46679		1.7283	0.861613	3.46679	0															0						Linear,1(1)	1.575417160987854	1.575417160987854	1.575417160987854	1.575417160987854	0.0	1.575417160987854	1.7283	1.7283	0.861613	0.861613	3.46679	3.46679	UP	1.0	0.0	0.0	
R-DRE-196854	Metabolism of vitamins and cofactors	89	90	1	1	1	1	1	1	1	1	1	9	89	4793	0.98632	0.16961	0.16961	1.11	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-168898	Toll-like Receptor Cascades	59	60	1	0	0	0	0	0	1	0	0	10	60	4822	0.8838	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693532	DNA Double-Strand Break Repair	80	90	1	0	0	0	0	0	1	0	0	10	90	4792	0.83039	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693538	Homology Directed Repair	64	74	1	0	0	0	0	0	1	0	0	10	74	4808	0.8585	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	59	69	1	0	0	0	0	0	1	0	0	10	69	4813	0.86746	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693607	Processing of DNA double-strand break ends	40	50	1	0	0	0	0	0	1	0	0	10	50	4832	0.90228	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69481	G2/M Checkpoints	97	107	1	0	0	0	0	0	1	0	0	10	107	4775	0.80143	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73894	DNA Repair	166	177	2	1	1	0	0	0	2	0	0	10	177	4705	0.69152	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69231	Cyclin D associated events in G1	32	32	2	0	0	1	1	0	2	0	0	10	32	4850	0.93642	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69236	G1 Phase	32	32	2	0	0	1	1	0	2	0	0	10	32	4850	0.93642	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8878171	Transcriptional regulation by RUNX1	119	134	1	1	1	1	1	1	1	1	1	9	133	4749	0.97098	0.2427	0.2427	0.75	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-112315	Transmission across Chemical Synapses	130	133	1	0	0	0	0	0	1	0	0	10	133	4749	0.75889	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112316	Neuronal System	203	208	2	1	1	1	1	1	2	1	1	9	207	4675	0.93534	0.35267	0.35267	0.48	101882139	kcnk17	ENSDARG00000105453		1.04613	1.04613	1.04613		1.04613		0.645144	0.645144	0.645144		0.645144		1.69636	1.69636	1.69636		1.69636						1.04613	0.645144	1.69636	1	0	1	101882139	ENSDARG00000105453	1.04613	1.04613		0.645144	0.645144		1.69636	1.69636		1.04613	0.645144	1.69636	0															0						Linear,1(1)	2.6318411827087402	2.6318411827087402	2.6318411827087402	2.6318411827087402	0.0	2.6318411827087402	1.04613	1.04613	0.645144	0.645144	1.69636	1.69636	UP	1.0	0.0	0.0	
R-DRE-71291	Metabolism of amino acids and derivatives	151	156	1	0	0	0	0	0	1	0	0	10	156	4726	0.72297	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	334	343	2	2	1	1	1	1	2	1	1	9	342	4540	0.848	0.51695	0.51695	0.29	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-8978868	Fatty acid metabolism	92	94	1	1	1	1	1	1	1	1	1	9	93	4789	0.98513	0.17651	0.17651	1.06	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-1679131	Trafficking and processing of endosomal TLR	5	5	1	0	0	0	0	0	1	0	0	10	5	4877	0.98982	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1428517	The citric acid (TCA) cycle and respiratory electron transport	119	119	1	0	0	0	0	0	1	0	0	10	119	4763	0.78154	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	81	81	1	0	0	0	0	0	1	0	0	10	81	4801	0.8461	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2262752	Cellular responses to stress	306	336	4	1	1	2	2	0	4	0	0	10	336	4546	0.49054	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-611105	Respiratory electron transport	64	64	1	0	0	0	0	0	1	0	0	10	64	4818	0.87651	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8953897	Cellular responses to stimuli	306	336	4	1	1	2	2	0	4	0	0	10	336	4546	0.49054	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9707564	Cytoprotection by HMOX1	80	84	3	1	1	2	2	0	3	0	0	10	84	4798	0.84083	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9711123	Cellular response to chemical stress	97	101	3	1	1	2	2	0	3	0	0	10	101	4781	0.81155	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983231	Factors involved in megakaryocyte development and platelet production	76	82	1	1	1	1	1	0	1	0	0	10	82	4800	0.84434	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804756	Regulation of TP53 Activity through Phosphorylation	58	60	1	0	0	0	0	0	1	0	0	10	60	4822	0.8838	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8852135	Protein ubiquitination	45	48	1	1	1	0	0	0	1	0	0	10	48	4834	0.90602	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	24	24	1	1	1	0	0	0	1	0	0	10	24	4858	0.95197	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6783310	Fanconi Anemia Pathway	17	17	1	1	1	0	0	0	1	0	0	10	17	4865	0.96576	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5688426	Deubiquitination	145	156	1	0	0	1	1	0	1	0	0	10	156	4726	0.72297	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5689880	Ub-specific processing proteases	108	119	1	0	0	1	1	0	1	0	0	10	119	4763	0.78154	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-375281	Hormone ligand-binding receptors	4	8	1	1	1	1	1	0	1	0	0	10	8	4874	0.98375	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418555	G alpha (s) signalling events	67	102	1	1	1	1	1	1	1	1	1	9	101	4781	0.98263	0.19015	0.19015	0.98	795372	gpr45	ENSDARG00000063357		2.81697	2.81697	2.81697		2.81697		0.970476	0.970476	0.970476		0.970476		8.17674	8.17674	8.17674		8.17674						2.81697	0.970476	8.17674	0	1	0															1	795372	ENSDARG00000063357	2.81697	2.81697		0.970476	0.970476		8.17674	8.17674		2.81697	0.970476	8.17674	0						Linear,1(1)	1.5490632057189941	1.5490632057189941	1.5490632057189941	1.5490632057189941	0.0	1.5490632057189941	2.81697	2.81697	0.970476	0.970476	8.17674	8.17674	DOWN	0.0	1.0	0.0	
R-DRE-1296071	Potassium Channels	64	65	1	1	1	1	1	1	1	1	1	9	64	4818	0.9927	0.12531	0.12531	1.54	101882139	kcnk17	ENSDARG00000105453		1.04613	1.04613	1.04613		1.04613		0.645144	0.645144	0.645144		0.645144		1.69636	1.69636	1.69636		1.69636						1.04613	0.645144	1.69636	1	0	1	101882139	ENSDARG00000105453	1.04613	1.04613		0.645144	0.645144		1.69636	1.69636		1.04613	0.645144	1.69636	0															0						Linear,1(1)	2.6318411827087402	2.6318411827087402	2.6318411827087402	2.6318411827087402	0.0	2.6318411827087402	1.04613	1.04613	0.645144	0.645144	1.69636	1.69636	UP	1.0	0.0	0.0	
R-DRE-196849	Metabolism of water-soluble vitamins and cofactors	63	64	1	1	1	1	1	1	1	1	1	9	63	4819	0.99291	0.12349	0.12349	1.56	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-2142753	Arachidonic acid metabolism	29	30	1	1	1	1	1	1	1	1	1	9	29	4853	0.99841	0.059713	0.059713	3.33	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341						1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-5173105	O-linked glycosylation	51	52	1	1	1	1	1	1	1	1	1	9	51	4831	0.99528	0.10144	0.10144	1.92	555344	si:dkey-202e17.1	ENSDARG00000062278		1.71079	1.71079	1.71079		1.71079		0.858179	0.858179	0.858179		0.858179		3.41046	3.41046	3.41046		3.41046						1.71079	0.858179	3.41046	1	0	1	555344	ENSDARG00000062278	1.71079	1.71079		0.858179	0.858179		3.41046	3.41046		1.71079	0.858179	3.41046	0															0						Linear,1(1)	1.5275161266326904	1.5275161266326904	1.5275161266326904	1.5275161266326904	0.0	1.5275161266326904	1.71079	1.71079	0.858179	0.858179	3.41046	3.41046	UP	1.0	0.0	0.0	
R-DRE-913709	O-linked glycosylation of mucins	28	29	1	1	1	1	1	1	1	1	1	9	28	4854	0.99852	0.057776	0.057776	3.45	555344	si:dkey-202e17.1	ENSDARG00000062278		1.71079	1.71079	1.71079		1.71079		0.858179	0.858179	0.858179		0.858179		3.41046	3.41046	3.41046		3.41046						1.71079	0.858179	3.41046	1	0	1	555344	ENSDARG00000062278	1.71079	1.71079		0.858179	0.858179		3.41046	3.41046		1.71079	0.858179	3.41046	0															0						Linear,1(1)	1.5275161266326904	1.5275161266326904	1.5275161266326904	1.5275161266326904	0.0	1.5275161266326904	1.71079	1.71079	0.858179	0.858179	3.41046	3.41046	UP	1.0	0.0	0.0	
R-DRE-390522	Striated Muscle Contraction	25	25	1	1	1	1	1	1	1	1	1	9	24	4858	0.9989	0.049989	0.049989	4.0	353247	tnnc1a	ENSDARG00000011400		2.58672	2.58672	2.58672		2.58672		0.966664	0.966664	0.966664		0.966664		6.92188	6.92188	6.92188		6.92188						2.58672	0.966664	6.92188	1	0	1	353247	ENSDARG00000011400	2.58672	2.58672		0.966664	0.966664		6.92188	6.92188		2.58672	0.966664	6.92188	0															0						Linear,1(1)	1.9421584606170654	1.9421584606170654	1.9421584606170654	1.9421584606170654	0.0	1.9421584606170654	2.58672	2.58672	0.966664	0.966664	6.92188	6.92188	UP	1.0	0.0	0.0	
R-DRE-8848021	Signaling by PTK6	26	26	1	0	0	0	0	0	1	0	0	10	26	4856	0.94806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006927	Signaling by Non-Receptor Tyrosine Kinases	26	26	1	0	0	0	0	0	1	0	0	10	26	4856	0.94806	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112310	Neurotransmitter release cycle	38	41	1	0	0	0	0	0	1	0	0	10	41	4841	0.91921	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-352230	Amino acid transport across the plasma membrane	25	29	1	0	0	0	0	0	1	0	0	10	29	4853	0.94222	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425366	Transport of bile salts and organic acids, metal ions and amine compounds	35	39	1	0	0	0	0	0	1	0	0	10	39	4843	0.92301	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	58	62	1	0	0	0	0	0	1	0	0	10	62	4820	0.88015	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425407	SLC-mediated transmembrane transport	114	121	1	0	0	0	0	0	1	0	0	10	121	4761	0.77827	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-442660	Na+/Cl- dependent neurotransmitter transporters	10	14	1	0	0	0	0	0	1	0	0	10	14	4868	0.97172	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71288	Creatine metabolism	10	13	1	0	0	0	0	0	1	0	0	10	13	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-888590	GABA synthesis, release, reuptake and degradation	18	21	1	0	0	0	0	0	1	0	0	10	21	4861	0.95785	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-888593	Reuptake of GABA	6	9	1	0	0	0	0	0	1	0	0	10	9	4873	0.98174	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196807	Nicotinate metabolism	16	16	1	1	1	1	1	1	1	1	1	9	15	4867	0.99956	0.032259	0.032259	6.25	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341		0.0	1.45656			1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-197264	Nicotinamide salvaging	9	9	1	1	1	1	1	1	1	1	1	9	8	4874	0.99987	0.018262	0.018262	11.11	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341		0.0	1.45656	0.0	1.45656	1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
R-DRE-499943	Interconversion of nucleotide di- and triphosphates	14	14	1	1	1	0	0	0	1	0	0	10	14	4868	0.97172	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8951664	Neddylation	142	144	1	0	0	1	1	0	1	0	0	10	144	4738	0.74152	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9707587	Regulation of HMOX1 expression and activity	44	45	2	1	1	2	2	0	2	0	0	10	45	4837	0.91165	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-157579	Telomere Maintenance	36	45	1	0	0	0	0	0	1	0	0	10	45	4837	0.91165	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-171319	Telomere Extension By Telomerase	12	13	1	0	0	0	0	0	1	0	0	10	13	4869	0.97372	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-180786	Extension of Telomeres	27	28	1	0	0	0	0	0	1	0	0	10	28	4854	0.94417	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73886	Chromosome Maintenance	54	63	2	1	1	0	0	0	2	0	0	10	63	4819	0.87833	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6791312	TP53 Regulates Transcription of Cell Cycle Genes	26	27	2	1	1	1	1	1	2	1	1	9	26	4856	0.99872	0.05389	0.05389	3.7	30079	btg2	ENSDARG00000020298		1.51094	1.51094	1.51094		1.51094		0.80926	0.80926	0.80926		0.80926		2.82101	2.82101	2.82101		2.82101						1.51094	0.80926	2.82101	1	0	1	30079	ENSDARG00000020298	1.51094	1.51094		0.80926	0.80926		2.82101	2.82101		1.51094	0.80926	2.82101	0															0						Linear,1(1)	1.812074899673462	1.812074899673462	1.812074899673462	1.812074899673462	0.0	1.812074899673462	1.51094	1.51094	0.80926	0.80926	2.82101	2.82101	UP	1.0	0.0	0.0	
R-DRE-2559583	Cellular Senescence	87	112	1	0	0	0	0	0	1	0	0	10	112	4770	0.79309	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2559586	DNA Damage/Telomere Stress Induced Senescence	29	48	1	0	0	0	0	0	1	0	0	10	48	4834	0.90602	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2990846	SUMOylation	122	123	2	2	2	2	2	1	2	1	1	9	122	4760	0.97527	0.22499	0.22499	0.81	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-3108232	SUMO E3 ligases SUMOylate target proteins	116	117	2	2	2	2	2	1	2	1	1	9	116	4766	0.97749	0.21518	0.21518	0.85	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-383280	Nuclear Receptor transcription pathway	35	37	1	1	1	1	1	1	1	1	1	9	36	4846	0.99759	0.073176	0.073176	2.7	548604	nr4a3	ENSDARG00000055854		1.84797	1.84797	1.84797		1.84797		0.887112	0.887112	0.887112		0.8871120000000001		3.84956	3.84956	3.84956		3.8495599999999994						1.84797	0.887112	3.84956	1	0	1	548604	ENSDARG00000055854	1.84797	1.84797		0.887112	0.887112		3.84956	3.84956		1.84797	0.887112	3.84956	0															0						Linear,1(1)	2.046379566192627	2.046379566192627	2.046379566192627	2.046379566192627	0.0	2.046379566192627	1.84797	1.84797	0.887112	0.887112	3.84956	3.84956	UP	1.0	0.0	0.0	
R-DRE-3108214	SUMOylation of DNA damage response and repair proteins	52	52	2	2	2	2	2	1	2	1	1	9	51	4831	0.99528	0.10144	0.10144	1.92	561829	ftr66	ENSDARG00000005327		1.30731	1.30731	1.30731		1.3073100000000002		0.745359	0.745359	0.745359		0.745359		2.29295	2.29295	2.29295		2.29295						1.30731	0.745359	2.29295	1	0	1	561829	ENSDARG00000005327	1.30731	1.30731		0.745359	0.745359		2.29295	2.29295		1.30731	0.745359	2.29295	0															0						Linear,1(1)	2.6568965911865234	2.6568965911865234	2.6568965911865234	2.6568965911865234	0.0	2.6568965911865234	1.30731	1.30731	0.745359	0.745359	2.29295	2.29295	UP	1.0	0.0	0.0	
R-DRE-453274	Mitotic G2-G2/M phases	108	110	1	0	0	0	0	0	1	0	0	10	110	4772	0.79641	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69275	G2/M Transition	107	109	1	0	0	0	0	0	1	0	0	10	109	4773	0.79808	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9018677	Biosynthesis of DHA-derived SPMs	16	16	1	1	1	1	1	1	1	1	1	9	15	4867	0.99956	0.032259	0.032259	6.25	559020	ptgs2b	ENSDARG00000010276		1.45656	1.45656	1.45656		1.45656		0.793582	0.793582	0.793582		0.793582		2.67341	2.67341	2.67341		2.67341		0.0	1.45656			1.45656	0.793582	2.67341	1	0	1	559020	ENSDARG00000010276	1.45656	1.45656		0.793582	0.793582		2.67341	2.67341		1.45656	0.793582	2.67341	0															0						Linear,1(1)	2.949621438980103	2.9496214389801025	2.9496214389801025	2.9496214389801025	0.0	2.9496214389801025	1.45656	1.45656	0.793582	0.793582	2.67341	2.67341	UP	1.0	0.0	0.0	
