R-DRE-168179	Toll Like Receptor TLR1:TLR2 Cascade	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168181	Toll Like Receptor 7/8 (TLR7/8) Cascade	25	47	1	1	0	1	1	1	1	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168188	Toll Like Receptor TLR6:TLR2 Cascade	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168898	Toll-like Receptor Cascades	28	60	1	1	0	1	1	1	1	0	0	13	60	4819	0.85161	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-181438	Toll Like Receptor 2 (TLR2) Cascade	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-187037	Signaling by NTRK1 (TRKA)	29	43	1	1	0	1	1	1	1	0	0	13	43	4836	0.89144	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-198725	Nuclear Events (kinase and transcription factor activation)	11	18	1	1	0	1	1	1	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-198753	ERK/MAPK targets	7	11	1	1	0	1	1	1	1	0	0	13	11	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-202670	ERKs are inactivated	7	9	1	1	0	1	1	1	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-448424	Interleukin-17 signaling	20	33	1	1	0	1	1	1	1	0	0	13	33	4846	0.91567	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-449147	Signaling by Interleukins	47	122	2	1	0	2	2	2	2	0	0	13	122	4757	0.71984	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-450282	MAPK targets/ Nuclear events mediated by MAP kinases	10	18	1	1	0	1	1	1	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-450294	MAP kinase activation	20	33	1	1	0	1	1	1	1	0	0	13	33	4846	0.91567	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-937061	TRIF(TICAM1)-mediated TLR4 signaling 	24	45	1	1	0	1	1	1	1	0	0	13	45	4834	0.88667	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975138	TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975155	MyD88 dependent cascade initiated on endosome	25	47	1	1	0	1	1	1	1	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-975871	MyD88 cascade initiated on plasma membrane	25	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693532	DNA Double-Strand Break Repair	35	90	2	1	1	1	1	1	2	1	1	12	89	4790	0.97711	0.2147	0.2147	1.11	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5693538	Homology Directed Repair	29	74	2	1	1	1	1	1	2	1	1	12	73	4806	0.98419	0.17995	0.17995	1.35	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	22	42	1	0	0	0	0	0	1	0	0	13	42	4837	0.89384	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	26	69	2	1	1	1	1	1	2	1	1	12	68	4811	0.98617	0.16881	0.16881	1.45	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5693606	DNA Double Strand Break Response	22	42	1	0	0	0	0	0	1	0	0	13	42	4837	0.89384	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5693607	Processing of DNA double-strand break ends	20	50	1	0	0	0	0	0	1	0	0	13	50	4829	0.87484	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-69481	G2/M Checkpoints	57	107	4	3	3	2	2	1	4	1	1	12	106	4773	0.96841	0.25013	0.25013	0.93	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-73894	DNA Repair	81	177	2	1	1	1	1	1	2	1	1	12	176	4703	0.92183	0.38102	0.38102	0.56	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-2029480	Fcgamma receptor (FCGR) dependent phagocytosis	30	46	1	1	0	1	1	1	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2029482	Regulation of actin dynamics for phagocytic cup formation	26	39	1	1	0	1	1	1	1	0	0	13	39	4840	0.90106	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-376176	Signaling by ROBO receptors	14	18	1	1	1	0	0	0	1	0	0	13	18	4861	0.95315	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-422475	Axon guidance	81	145	6	3	2	2	2	1	6	0	0	13	145	4734	0.67595	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5663213	RHO GTPases Activate WASPs and WAVEs	21	25	1	1	0	1	1	1	1	0	0	13	25	4854	0.93549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8878171	Transcriptional regulation by RUNX1	73	134	5	3	3	2	2	1	5	1	1	12	133	4746	0.95232	0.30338	0.30338	0.75	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	36	54	4	3	3	2	2	1	4	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9675108	Nervous system development	81	146	6	3	2	2	2	1	6	0	0	13	146	4733	0.6741	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112315	Transmission across Chemical Synapses	62	133	1	1	0	1	1	1	1	0	0	13	133	4746	0.69853	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112316	Neuronal System	76	208	3	2	0	3	3	2	3	0	0	13	208	4671	0.56805	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71291	Metabolism of amino acids and derivatives	100	156	5	4	4	3	3	2	5	2	2	11	154	4725	0.99281	0.062606	0.062606	1.28	321947;266799	psmc3;gatm	ENSDARG00000007141;ENSDARG00000036239		463.56499999999994	463.56499999999994	396.638	94.64907108894444	443.15626529041594	90.14107694668198	262.952	262.952	240.261	32.08991994380757	256.03260126264183	30.561524900221475	820.0070000000001	820.0070000000001	654.795	233.64505106678348	769.6272148783031	222.51688562934584					530.492;396.638	285.643;240.261	985.219;654.795	2	0	2	321947;266799	ENSDARG00000007141;ENSDARG00000036239	463.56499999999994	463.56499999999994	94.64907108894444	262.952	262.952	32.08991994380757	820.0070000000001	820.0070000000001	233.64505106678348	530.492;396.638	285.643;240.261	985.219;654.795	0															0						Linear,2(1)	Infinity	Infinity	3.033358335494995	Infinity	NaN	Infinity	332.38807999999995	594.7419199999999	218.47764	307.42636	496.19148	1143.8225200000002	UP	1.0	0.0	0.0	
R-DRE-191859	snRNP Assembly	17	26	1	1	1	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-194441	Metabolism of non-coding RNA	17	26	1	1	1	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-556833	Metabolism of lipids	163	343	7	3	2	3	3	3	7	1	1	12	342	4537	0.76973	0.6118	0.6118	0.29	415166	fabp6	ENSDARG00000044566		445.962	445.962	445.962		445.962		258.251	258.251	258.251		258.251		770.113	770.113	770.113		770.113						445.962	258.251	770.113	1	0	1	415166	ENSDARG00000044566	445.962	445.962		258.251	258.251		770.113	770.113		445.962	258.251	770.113	0															0						Linear,1(1)	1.6338356733322144	1.6338356733322144	1.6338356733322144	1.6338356733322144	0.0	1.6338356733322144	445.962	445.962	258.251	258.251	770.113	770.113	UP	1.0	0.0	0.0	
R-DRE-8978868	Fatty acid metabolism	54	94	1	0	0	1	1	1	1	0	0	13	94	4785	0.77683	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9609507	Protein localization	38	75	2	2	1	2	2	1	2	0	0	13	75	4804	0.81783	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022377	Metabolism of Angiotensinogen to Angiotensins	9	13	1	1	1	1	1	1	1	1	1	12	12	4867	0.9995	0.034042	0.034042	7.69	492331	ace2	ENSDARG00000016918		477.476	477.476	477.476		477.476		268.452	268.452	268.452		268.452		849.251	849.251	849.251		849.251		0.0	477.476			477.476	268.452	849.251	1	0	1	492331	ENSDARG00000016918	477.476	477.476		268.452	268.452		849.251	849.251		477.476	268.452	849.251	0															0						Linear,1(1)	1.763182282447815	1.763182282447815	1.763182282447815	1.763182282447815	0.0	1.763182282447815	477.476	477.476	268.452	268.452	849.251	849.251	UP	1.0	0.0	0.0	
R-DRE-2980736	Peptide hormone metabolism	21	40	2	1	1	1	1	1	2	1	1	12	39	4840	0.9952	0.10135	0.10135	2.5	492331	ace2	ENSDARG00000016918		477.476	477.476	477.476		477.476		268.452	268.452	268.452		268.452		849.251	849.251	849.251		849.251						477.476	268.452	849.251	1	0	1	492331	ENSDARG00000016918	477.476	477.476		268.452	268.452		849.251	849.251		477.476	268.452	849.251	0															0						Linear,1(1)	1.763182282447815	1.763182282447815	1.763182282447815	1.763182282447815	0.0	1.763182282447815	477.476	477.476	268.452	268.452	849.251	849.251	UP	1.0	0.0	0.0	
R-DRE-1428517	The citric acid (TCA) cycle and respiratory electron transport	100	119	7	6	5	3	3	1	7	0	0	13	119	4760	0.72576	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	71	81	6	5	4	3	3	1	6	0	0	13	81	4798	0.80467	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2262752	Cellular responses to stress	193	336	7	5	5	3	3	2	7	1	1	12	335	4544	0.77677	0.60395	0.60395	0.3	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-611105	Respiratory electron transport	54	64	5	4	3	2	2	1	5	0	0	13	64	4815	0.84248	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8953897	Cellular responses to stimuli	193	336	7	5	5	3	3	2	7	1	1	12	335	4544	0.77677	0.60395	0.60395	0.3	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9707564	Cytoprotection by HMOX1	56	84	4	3	3	2	2	1	4	1	1	12	83	4796	0.9799	0.20183	0.20183	1.19	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9711123	Cellular response to chemical stress	66	101	5	4	4	2	2	1	5	1	1	12	100	4779	0.97161	0.2378	0.2378	0.99	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9013148	CDC42 GTPase cycle	38	85	2	0	0	1	1	1	2	0	0	13	85	4794	0.79601	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9013149	RAC1 GTPase cycle	33	91	1	1	0	1	1	1	1	0	0	13	91	4788	0.78317	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-983231	Factors involved in megakaryocyte development and platelet production	34	82	1	1	0	1	1	1	1	0	0	13	82	4797	0.8025	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1474244	Extracellular matrix organization	58	129	2	1	1	0	0	0	2	0	0	13	129	4750	0.70621	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6799198	Complex I biogenesis	31	35	5	4	3	2	2	1	5	0	0	13	35	4844	0.91078	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6804756	Regulation of TP53 Activity through Phosphorylation	32	60	4	3	3	2	2	2	4	2	2	11	58	4821	0.99954	0.010579	0.010579	3.33	58013;556710	noc2l;taf10	ENSDARG00000001754;ENSDARG00000068641		378.42026	378.42026	1.01952	533.7252449576423	158.39883329733257	433.64015114901514	162.1787095	162.1787095	0.450419	228.71834184451575	67.89248946239896	185.82867732981083	882.9888450000001	882.9888450000001	2.30769	1245.4712335274019	369.5592099832457	1011.9182839129811					755.821;1.01952	323.907;0.450419	1763.67;2.30769	1	1	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	1	58013	ENSDARG00000001754	755.821	755.821		323.907	323.907		1763.67	1763.67		755.821	323.907	1763.67	0						Hill,1(0.5);Linear,1(0.5)	4.084827631846464	8.17165756225586	3.99538516998291	4.176272392272949	0.12790658151128503	4.08582878112793	-361.28519040000003	1118.1257104000001	-154.80873987999993	479.1661588799999	-843.1462187999996	2609.1239087999998	CONFLICT	0.5	0.5	0.0	
R-DRE-5205647	Mitophagy	16	19	1	0	0	0	0	0	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9663891	Selective autophagy	32	46	1	0	0	0	0	0	1	0	0	13	46	4833	0.88429	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8852135	Protein ubiquitination	31	48	2	1	1	2	2	2	2	1	1	12	47	4832	0.99314	0.12045	0.12045	2.08	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-8866652	Synthesis of active ubiquitin: roles of E1 and E2 enzymes	17	24	1	0	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696395	Formation of Incision Complex in GG-NER	22	34	1	0	0	0	0	0	1	0	0	13	34	4845	0.91322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5696398	Nucleotide Excision Repair	52	74	2	1	1	1	1	1	2	1	1	12	73	4806	0.98419	0.17995	0.17995	1.35	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	37	54	2	1	1	1	1	1	2	1	1	12	53	4826	0.99137	0.13452	0.13452	1.85	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5696400	Dual Incision in GG-NER	14	24	1	1	1	1	1	1	1	1	1	12	23	4856	0.99826	0.062007	0.062007	4.17	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	33	50	1	1	1	1	1	1	1	1	1	12	49	4830	0.99257	0.12516	0.12516	2.0	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-6782135	Dual incision in TC-NER	27	43	1	1	1	1	1	1	1	1	1	12	42	4837	0.99446	0.10856	0.10856	2.33	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-5688426	Deubiquitination	99	156	5	4	4	3	3	2	5	2	2	11	154	4725	0.99281	0.062606	0.062606	1.28	556710;321947	taf10;psmc3	ENSDARG00000068641;ENSDARG00000007141		265.75576	265.75576	1.01952	374.3935810596586	84.65767114198383	273.0888462801499	143.0467095	143.0467095	0.450419	201.66160796919368	45.50088166852333	147.09529929288902	493.763345	493.763345	2.30769	695.0232526059528	157.57333233318667	506.9614111834685					1.01952;530.492	0.450419;285.643	2.30769;985.219	2	0	2	556710;321947	ENSDARG00000068641;ENSDARG00000007141	265.75576	265.75576	374.3935810596586	143.0467095	143.0467095	201.66160796919368	493.763345	493.763345	695.0232526059528	1.01952;530.492	0.450419;285.643	2.30769;985.219	0															0						Hill,1(0.5);Linear,1(0.5)	Infinity	Infinity	4.176272392272949	Infinity	NaN	Infinity	-253.1272704	784.6387903999998	-136.44201987999995	422.5354388799999	-469.4897388	1457.0164288	UP	1.0	0.0	0.0	
R-DRE-5689880	Ub-specific processing proteases	76	119	5	4	4	3	3	2	5	2	2	11	117	4762	0.99664	0.03842	0.03842	1.68	556710;321947	taf10;psmc3	ENSDARG00000068641;ENSDARG00000007141		265.75576	265.75576	1.01952	374.3935810596586	84.65767114198383	273.0888462801499	143.0467095	143.0467095	0.450419	201.66160796919368	45.50088166852333	147.09529929288902	493.763345	493.763345	2.30769	695.0232526059528	157.57333233318667	506.9614111834685					1.01952;530.492	0.450419;285.643	2.30769;985.219	2	0	2	556710;321947	ENSDARG00000068641;ENSDARG00000007141	265.75576	265.75576	374.3935810596586	143.0467095	143.0467095	201.66160796919368	493.763345	493.763345	695.0232526059528	1.01952;530.492	0.450419;285.643	2.30769;985.219	0															0						Hill,1(0.5);Linear,1(0.5)	Infinity	Infinity	4.176272392272949	Infinity	NaN	Infinity	-253.1272704	784.6387903999998	-136.44201987999995	422.5354388799999	-469.4897388	1457.0164288	UP	1.0	0.0	0.0	
R-DRE-111885	Opioid Signalling	28	49	2	2	1	1	1	1	2	0	0	13	49	4830	0.87719	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112040	G-protein mediated events	11	23	1	1	0	1	1	1	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-112314	Neurotransmitter receptors and postsynaptic signal transmission	39	81	1	1	0	1	1	1	1	0	0	13	81	4798	0.80467	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483249	Inositol phosphate metabolism	13	21	1	1	1	0	0	0	1	0	0	13	21	4858	0.94554	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-163685	Integration of energy metabolism	27	52	1	1	0	1	1	1	1	0	0	13	52	4827	0.87014	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-195721	Signaling by WNT	117	199	7	5	4	3	3	2	7	1	1	12	198	4681	0.90431	0.41758	0.41758	0.5	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-3858494	Beta-catenin independent WNT signaling	63	92	6	5	4	3	3	2	6	1	1	12	91	4788	0.97615	0.21895	0.21895	1.09	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-422356	Regulation of insulin secretion	21	41	1	1	0	1	1	1	1	0	0	13	41	4838	0.89624	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483191	Synthesis of PC	7	16	2	1	0	1	1	1	2	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483206	Glycerophospholipid biosynthesis	26	68	3	1	0	1	1	1	3	0	0	13	68	4811	0.83344	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1483257	Phospholipid metabolism	45	108	3	1	0	1	1	1	3	0	0	13	108	4771	0.74783	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-418555	G alpha (s) signalling events	18	102	1	1	1	0	0	0	1	0	0	13	102	4777	0.76013	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5357905	Regulation of TNFR1 signaling	13	27	1	0	0	1	1	0	1	0	0	13	27	4852	0.9305	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-73887	Death Receptor Signalling	30	78	3	1	0	2	2	1	3	0	0	13	78	4801	0.81123	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-75893	TNF signaling	13	31	1	0	0	1	1	0	1	0	0	13	31	4848	0.92059	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71336	Pentose phosphate pathway	7	9	1	1	1	0	0	0	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296071	Potassium Channels	12	65	1	1	0	1	1	1	1	0	0	13	65	4814	0.84021	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1296072	Voltage gated Potassium channels	2	22	1	1	0	1	1	1	1	0	0	13	22	4857	0.94302	1.0	1.0	0.0																														0	0	0															0															0																							
