Identifier,DES-100ug/L-B
ENSDARG00000045886,7
ENSDARG00000045885,2
ENSDARG00000007413,4
ENSDARG00000097341,0
ENSDARG00000045880,0
ENSDARG00000009657,3
ENSDARG00000093658,0
ENSDARG00000026839,9
ENSDARG00000016979,12
ENSDARG00000070477,0
ENSDARG00000045878,0
ENSDARG00000045877,7
ENSDARG00000079391,27
ENSDARG00000015921,8
ENSDARG00000099520,0
ENSDARG00000061544,3
ENSDARG00000020812,0
ENSDARG00000094007,0
ENSDARG00000093685,0
ENSDARG00000059196,0
ENSDARG00000009262,1
ENSDARG00000018618,19
ENSDARG00000045874,3
ENSDARG00000057468,0
ENSDARG00000045873,0
ENSDARG00000079143,0
ENSDARG00000057714,9
ENSDARG00000045224,0
ENSDARG00000011246,5
ENSDARG00000053709,0
ENSDARG00000099129,5
ENSDARG00000101813,25
ENSDARG00000039724,0
ENSDARG00000070441,0
ENSDARG00000011961,11
ENSDARG00000008986,1
ENSDARG00000008235,1
ENSDARG00000107595,0
ENSDARG00000004592,1
ENSDARG00000006567,3
ENSDARG00000016231,3
ENSDARG00000016749,0
ENSDARG00000004227,0
ENSDARG00000006038,4
ENSDARG00000045870,2
ENSDARG00000098551,0
ENSDARG00000060248,0
ENSDARG00000017757,5
ENSDARG00000030598,0
ENSDARG00000077356,0
ENSDARG00000097907,0
ENSDARG00000089860,0
ENSDARG00000097073,0
ENSDARG00000039843,2
ENSDARG00000077654,0
ENSDARG00000112842,0
ENSDARG00000070414,0
ENSDARG00000033296,2
ENSDARG00000006283,7
ENSDARG00000045864,1
ENSDARG00000045863,0
ENSDARG00000093470,0
ENSDARG00000105162,1
ENSDARG00000107526,4
ENSDARG00000016691,22
ENSDARG00000101363,1
ENSDARG00000095042,0
ENSDARG00000100963,1
ENSDARG00000115613,3
ENSDARG00000059043,2
ENSDARG00000075281,0
ENSDARG00000023766,2
ENSDARG00000097286,0
ENSDARG00000039356,0
ENSDARG00000059064,0
ENSDARG00000099725,0
ENSDARG00000090401,0
ENSDARG00000063578,0
ENSDARG00000106466,0
ENSDARG00000063563,9
ENSDARG00000039350,7
ENSDARG00000073963,0
ENSDARG00000069607,4
ENSDARG00000059053,4
ENSDARG00000092677,16
ENSDARG00000020871,7
ENSDARG00000039346,35
ENSDARG00000101565,6
ENSDARG00000097044,2
ENSDARG00000059003,1
ENSDARG00000039343,13
ENSDARG00000039340,0
ENSDARG00000070408,0
ENSDARG00000045858,3
ENSDARG00000045856,0
ENSDARG00000045854,0
ENSDARG00000045853,0
ENSDARG00000045851,1
ENSDARG00000095324,0
ENSDARG00000015623,0
ENSDARG00000030694,41
ENSDARG00000096037,0
ENSDARG00000045850,2
ENSDARG00000015931,7
ENSDARG00000063481,2
ENSDARG00000045847,9
ENSDARG00000045846,2
ENSDARG00000045843,4
ENSDARG00000045842,1
ENSDARG00000095332,2
ENSDARG00000014395,2
ENSDARG00000045837,0
ENSDARG00000094254,0
ENSDARG00000097507,1
ENSDARG00000095186,5
ENSDARG00000096986,0
ENSDARG00000097353,1
ENSDARG00000110143,0
ENSDARG00000045836,0
ENSDARG00000006409,0
ENSDARG00000045835,64
ENSDARG00000045834,2
ENSDARG00000034700,4
ENSDARG00000024465,4
ENSDARG00000017355,1
ENSDARG00000031956,1
ENSDARG00000070220,1
ENSDARG00000075956,1
ENSDARG00000009607,2
ENSDARG00000054321,8
ENSDARG00000024654,6
ENSDARG00000040610,2
ENSDARG00000003200,0
ENSDARG00000100253,0
ENSDARG00000091640,3
ENSDARG00000073858,1
ENSDARG00000088078,0
ENSDARG00000099560,5
ENSDARG00000087120,0
ENSDARG00000099280,2
ENSDARG00000101680,10
ENSDARG00000098745,0
ENSDARG00000074223,3
ENSDARG00000093020,0
ENSDARG00000091974,0
ENSDARG00000005453,0
ENSDARG00000090468,0
ENSDARG00000099281,8
ENSDARG00000068701,1
ENSDARG00000097967,0
ENSDARG00000068705,0
ENSDARG00000068708,12
ENSDARG00000024874,1
ENSDARG00000096138,0
ENSDARG00000084778,0
ENSDARG00000107521,0
ENSDARG00000110906,0
ENSDARG00000113211,0
ENSDARG00000102702,0
ENSDARG00000102461,0
ENSDARG00000101296,0
ENSDARG00000099870,3
ENSDARG00000070314,17
ENSDARG00000045822,33
ENSDARG00000105079,0
ENSDARG00000101254,0
ENSDARG00000006029,11
ENSDARG00000018688,0
ENSDARG00000112117,0
ENSDARG00000079470,1
ENSDARG00000105096,0
ENSDARG00000104976,0
ENSDARG00000086740,15
ENSDARG00000027799,2
ENSDARG00000045815,0
ENSDARG00000078073,7
ENSDARG00000075025,2
ENSDARG00000074905,2
ENSDARG00000026052,0
ENSDARG00000002663,2
ENSDARG00000074547,0
ENSDARG00000076313,0
ENSDARG00000074613,19
ENSDARG00000039393,15
ENSDARG00000039392,10
ENSDARG00000108662,0
ENSDARG00000081119,0
ENSDARG00000079824,0
ENSDARG00000076014,2
ENSDARG00000031930,1
ENSDARG00000109986,0
ENSDARG00000102464,4
ENSDARG00000081240,0
ENSDARG00000045801,6
ENSDARG00000096855,0
ENSDARG00000101849,29
ENSDARG00000093557,0
ENSDARG00000103537,1
ENSDARG00000102020,4
ENSDARG00000101967,3
ENSDARG00000088181,1
ENSDARG00000063097,3
ENSDARG00000039681,10
ENSDARG00000070230,0
ENSDARG00000077926,2
ENSDARG00000073881,1
ENSDARG00000034375,0
ENSDARG00000039185,9
ENSDARG00000058127,0
ENSDARG00000045788,3
ENSDARG00000045789,0
ENSDARG00000045790,1
ENSDARG00000058159,1
ENSDARG00000063149,2
ENSDARG00000016538,2
ENSDARG00000025859,6
ENSDARG00000058042,0
ENSDARG00000088044,1
ENSDARG00000091656,15
ENSDARG00000099821,0
ENSDARG00000063054,0
ENSDARG00000075501,5
ENSDARG00000058030,3
ENSDARG00000045704,2
ENSDARG00000045705,9
ENSDARG00000033179,1
ENSDARG00000109844,0
ENSDARG00000110426,0
ENSDARG00000096009,0
ENSDARG00000025824,2
ENSDARG00000004386,2
ENSDARG00000114963,0
ENSDARG00000045706,1
ENSDARG00000094732,0
ENSDARG00000057983,1
ENSDARG00000063008,0
ENSDARG00000057974,2
ENSDARG00000086650,0
ENSDARG00000003570,40
ENSDARG00000057942,3
ENSDARG00000062983,2
ENSDARG00000045708,0
ENSDARG00000070126,0
ENSDARG00000062968,2
ENSDARG00000057929,4
ENSDARG00000057921,0
ENSDARG00000018820,1
ENSDARG00000032799,0
ENSDARG00000032389,2
ENSDARG00000034326,5
ENSDARG00000045747,0
ENSDARG00000106389,0
ENSDARG00000094973,0
ENSDARG00000045748,3
ENSDARG00000094597,0
ENSDARG00000116855,0
ENSDARG00000097175,0
ENSDARG00000111380,0
ENSDARG00000095446,0
ENSDARG00000093014,0
ENSDARG00000096967,2
ENSDARG00000045749,2
ENSDARG00000095994,0
ENSDARG00000045750,1
ENSDARG00000095981,0
ENSDARG00000045752,0
ENSDARG00000092989,0
ENSDARG00000045753,2
ENSDARG00000045754,1
ENSDARG00000045755,3
ENSDARG00000096083,0
ENSDARG00000096010,0
ENSDARG00000096184,0
ENSDARG00000096047,0
ENSDARG00000094603,0
ENSDARG00000096156,0
ENSDARG00000096187,0
ENSDARG00000096039,0
ENSDARG00000096153,0
ENSDARG00000045758,1
ENSDARG00000045760,0
ENSDARG00000001781,0
ENSDARG00000096114,0
ENSDARG00000096218,0
ENSDARG00000096131,0
ENSDARG00000094545,0
ENSDARG00000019235,2
ENSDARG00000063299,12
ENSDARG00000070015,0
ENSDARG00000003822,2
ENSDARG00000005451,52
ENSDARG00000079698,1
ENSDARG00000045765,0
ENSDARG00000112657,0
ENSDARG00000032765,17
ENSDARG00000081841,0
ENSDARG00000081284,0
ENSDARG00000096147,2
ENSDARG00000025576,0
ENSDARG00000031228,17
ENSDARG00000096099,0
ENSDARG00000093427,1
ENSDARG00000092083,0
ENSDARG00000117743,0
ENSDARG00000094299,0
ENSDARG00000005891,8
ENSDARG00000063255,0
ENSDARG00000094457,0
ENSDARG00000045768,13
ENSDARG00000032242,5
ENSDARG00000058366,6
ENSDARG00000017661,3
ENSDARG00000020015,9
ENSDARG00000006747,3
ENSDARG00000094980,0
ENSDARG00000007639,2
ENSDARG00000041665,10
ENSDARG00000087319,0
ENSDARG00000058244,0
ENSDARG00000103365,0
ENSDARG00000095461,0
ENSDARG00000074873,0
ENSDARG00000104625,0
ENSDARG00000103215,0
ENSDARG00000019396,0
ENSDARG00000013476,1
ENSDARG00000085437,0
ENSDARG00000008720,2
ENSDARG00000110404,0
ENSDARG00000032618,3
ENSDARG00000022165,44
ENSDARG00000005897,2
ENSDARG00000053127,1
ENSDARG00000053131,0
ENSDARG00000053136,0
ENSDARG00000069912,2
ENSDARG00000117577,0
ENSDARG00000045658,9
ENSDARG00000015824,0
ENSDARG00000005541,4
ENSDARG00000078613,0
ENSDARG00000014361,13
ENSDARG00000110543,0
ENSDARG00000094001,0
ENSDARG00000097457,1
ENSDARG00000096135,0
ENSDARG00000015053,0
ENSDARG00000117423,0
ENSDARG00000017841,17
ENSDARG00000045669,0
ENSDARG00000094646,9
ENSDARG00000092714,0
ENSDARG00000024211,0
ENSDARG00000045671,0
ENSDARG00000045672,0
ENSDARG00000045673,0
ENSDARG00000045675,2
ENSDARG00000045676,12
ENSDARG00000045677,295
ENSDARG00000081977,0
ENSDARG00000045680,1
ENSDARG00000045681,3
ENSDARG00000045683,0
ENSDARG00000078745,3
ENSDARG00000105458,0
ENSDARG00000006396,3
ENSDARG00000112990,0
ENSDARG00000045685,0
ENSDARG00000045687,0
ENSDARG00000022550,2
ENSDARG00000045692,17
ENSDARG00000015966,12
ENSDARG00000045691,7
ENSDARG00000045694,6
ENSDARG00000095980,0
ENSDARG00000096149,0
ENSDARG00000109403,0
ENSDARG00000113738,0
ENSDARG00000097023,0
ENSDARG00000097419,0
ENSDARG00000093588,0
ENSDARG00000069780,2
ENSDARG00000011661,8
ENSDARG00000062797,6
ENSDARG00000018744,0
ENSDARG00000020086,0
ENSDARG00000096496,0
ENSDARG00000092161,0
ENSDARG00000003811,7
ENSDARG00000094799,0
ENSDARG00000077090,0
ENSDARG00000079892,0
ENSDARG00000015985,0
ENSDARG00000112970,0
ENSDARG00000045589,0
ENSDARG00000112858,0
ENSDARG00000057334,8
ENSDARG00000113699,0
ENSDARG00000106193,0
ENSDARG00000045594,0
ENSDARG00000045595,0
ENSDARG00000006215,31
ENSDARG00000045598,8
ENSDARG00000017366,0
ENSDARG00000020101,18
ENSDARG00000022424,2
ENSDARG00000004497,3
ENSDARG00000002952,13
ENSDARG00000045601,0
ENSDARG00000007764,1
ENSDARG00000096823,0
ENSDARG00000062651,2
ENSDARG00000000019,13
ENSDARG00000080467,0
ENSDARG00000083126,0
ENSDARG00000081095,0
ENSDARG00000000018,4
ENSDARG00000092341,2
ENSDARG00000093247,0
ENSDARG00000019328,4
ENSDARG00000032919,8
ENSDARG00000004336,0
ENSDARG00000094584,0
ENSDARG00000069698,0
ENSDARG00000069692,0
ENSDARG00000093135,0
ENSDARG00000092944,0
ENSDARG00000092064,0
ENSDARG00000089640,0
ENSDARG00000087241,0
ENSDARG00000034823,14
ENSDARG00000032319,4
ENSDARG00000097754,0
ENSDARG00000095103,0
ENSDARG00000093168,0
ENSDARG00000093983,0
ENSDARG00000092097,0
ENSDARG00000113342,0
ENSDARG00000116640,0
ENSDARG00000113663,0
ENSDARG00000112642,0
ENSDARG00000012684,17
ENSDARG00000117071,0
ENSDARG00000056954,0
ENSDARG00000056950,47
ENSDARG00000111690,0
ENSDARG00000056938,6
ENSDARG00000045580,22
ENSDARG00000012066,29
ENSDARG00000088002,0
ENSDARG00000027249,57
ENSDARG00000020749,0
ENSDARG00000032653,3
ENSDARG00000003789,3
ENSDARG00000023026,1
ENSDARG00000027316,11
ENSDARG00000095159,0
ENSDARG00000093371,0
ENSDARG00000004904,0
ENSDARG00000093058,12
ENSDARG00000022795,3
ENSDARG00000056859,0
ENSDARG00000077985,0
ENSDARG00000019644,102
ENSDARG00000027424,8
ENSDARG00000007315,2
ENSDARG00000007405,7
ENSDARG00000019420,10
ENSDARG00000011582,4
ENSDARG00000085074,0
ENSDARG00000117277,0
ENSDARG00000091957,0
ENSDARG00000016815,0
ENSDARG00000045574,1
ENSDARG00000045568,3
ENSDARG00000094132,1
ENSDARG00000094191,5
ENSDARG00000073959,1
ENSDARG00000029944,0
ENSDARG00000093287,1
ENSDARG00000038384,0
ENSDARG00000020143,8
ENSDARG00000038386,1
ENSDARG00000007175,0
ENSDARG00000002174,1
ENSDARG00000079985,0
ENSDARG00000006011,1
ENSDARG00000002128,1
ENSDARG00000115392,0
ENSDARG00000045563,2
ENSDARG00000045561,0
ENSDARG00000030153,4
ENSDARG00000014572,31
ENSDARG00000045560,7
ENSDARG00000094593,0
ENSDARG00000097601,0
ENSDARG00000087438,0
ENSDARG00000012435,0
ENSDARG00000016886,1
ENSDARG00000076690,0
ENSDARG00000021239,2
ENSDARG00000003512,3
ENSDARG00000111346,0
ENSDARG00000004055,3
ENSDARG00000015278,2
ENSDARG00000028192,0
ENSDARG00000097434,0
ENSDARG00000045557,0
ENSDARG00000033757,1
ENSDARG00000045555,5
ENSDARG00000117252,0
ENSDARG00000073965,0
ENSDARG00000045552,0
ENSDARG00000005547,1
ENSDARG00000097195,0
ENSDARG00000029018,2
ENSDARG00000095705,13
ENSDARG00000031777,0
ENSDARG00000081807,0
ENSDARG00000082287,0
ENSDARG00000022858,0
ENSDARG00000008439,0
ENSDARG00000034717,0
ENSDARG00000069431,0
ENSDARG00000003615,8
ENSDARG00000007371,0
ENSDARG00000015222,2
ENSDARG00000096473,1
ENSDARG00000045549,2
ENSDARG00000016613,1
ENSDARG00000008867,30
ENSDARG00000115618,0
ENSDARG00000094428,1
ENSDARG00000029524,8
ENSDARG00000099812,3
ENSDARG00000045548,0
ENSDARG00000082824,0
ENSDARG00000083992,0
ENSDARG00000094118,0
ENSDARG00000006766,39
ENSDARG00000069402,3
ENSDARG00000021336,0
ENSDARG00000045544,0
ENSDARG00000014804,2
ENSDARG00000111326,1
ENSDARG00000001912,1
ENSDARG00000106138,4
ENSDARG00000104301,4
ENSDARG00000045543,7
ENSDARG00000045542,11
ENSDARG00000045541,1
ENSDARG00000011605,0
ENSDARG00000045540,9
ENSDARG00000056152,2
ENSDARG00000056145,0
ENSDARG00000101236,2
ENSDARG00000037960,10
ENSDARG00000017163,0
ENSDARG00000004794,0
ENSDARG00000019861,2
ENSDARG00000045481,0
ENSDARG00000045482,4
ENSDARG00000103810,0
ENSDARG00000045483,0
ENSDARG00000026855,0
ENSDARG00000045484,0
ENSDARG00000008398,0
ENSDARG00000082618,0
ENSDARG00000009252,2
ENSDARG00000011764,5
ENSDARG00000045485,1
ENSDARG00000117503,0
ENSDARG00000055245,0
ENSDARG00000114678,0
ENSDARG00000090038,0
ENSDARG00000090277,0
ENSDARG00000005476,4
ENSDARG00000030614,20
ENSDARG00000045486,4
ENSDARG00000010784,12
ENSDARG00000117468,0
ENSDARG00000045487,270
ENSDARG00000092717,0
ENSDARG00000097427,0
ENSDARG00000029830,0
ENSDARG00000007277,1
ENSDARG00000098436,0
ENSDARG00000013414,4
ENSDARG00000106953,0
ENSDARG00000032218,2
ENSDARG00000013000,0
ENSDARG00000096999,0
ENSDARG00000095571,0
ENSDARG00000055360,17
ENSDARG00000012729,10
ENSDARG00000061951,30
ENSDARG00000010454,0
ENSDARG00000021579,1
ENSDARG00000021595,6
ENSDARG00000007523,4
ENSDARG00000045490,52
ENSDARG00000018111,2
ENSDARG00000117573,0
ENSDARG00000034300,0
ENSDARG00000032639,45
ENSDARG00000021647,12
ENSDARG00000016010,3
ENSDARG00000021590,1
ENSDARG00000045493,0
ENSDARG00000094023,0
ENSDARG00000033443,4
ENSDARG00000109358,1
ENSDARG00000108552,0
ENSDARG00000108019,0
ENSDARG00000084043,0
ENSDARG00000111837,2
ENSDARG00000084741,0
ENSDARG00000011769,1
ENSDARG00000022187,4
ENSDARG00000002131,5
ENSDARG00000016526,5
ENSDARG00000045513,6
ENSDARG00000045514,279
ENSDARG00000045515,3
ENSDARG00000045516,32
ENSDARG00000045517,0
ENSDARG00000045518,2
ENSDARG00000045519,0
ENSDARG00000034173,0
ENSDARG00000001953,2
ENSDARG00000031346,8
ENSDARG00000069311,0
ENSDARG00000089159,0
ENSDARG00000045522,3
ENSDARG00000069292,5
ENSDARG00000088524,1
ENSDARG00000033413,5
ENSDARG00000045524,2
ENSDARG00000045525,6
ENSDARG00000042469,44
ENSDARG00000045527,2
ENSDARG00000107892,0
ENSDARG00000045528,1
ENSDARG00000075215,0
ENSDARG00000069261,1
ENSDARG00000097579,0
ENSDARG00000089861,4
ENSDARG00000089908,1
ENSDARG00000032627,1
ENSDARG00000069244,0
ENSDARG00000045530,1
ENSDARG00000097326,0
ENSDARG00000098221,1
ENSDARG00000073766,13
ENSDARG00000078749,0
ENSDARG00000083413,0
ENSDARG00000116145,0
ENSDARG00000099850,4
ENSDARG00000107462,0
ENSDARG00000041205,1
ENSDARG00000114833,0
ENSDARG00000029071,0
ENSDARG00000041199,3
ENSDARG00000024306,6
ENSDARG00000013596,5
ENSDARG00000084471,0
ENSDARG00000069160,5
ENSDARG00000045510,1
ENSDARG00000069169,0
ENSDARG00000069171,0
ENSDARG00000109808,0
ENSDARG00000069185,4
ENSDARG00000043734,0
ENSDARG00000096207,0
ENSDARG00000096045,4
ENSDARG00000014941,1
ENSDARG00000053917,0
ENSDARG00000076272,1
ENSDARG00000111124,0
ENSDARG00000112874,1
ENSDARG00000096034,3
ENSDARG00000077488,2
ENSDARG00000106572,0
ENSDARG00000115901,0
ENSDARG00000115871,0
ENSDARG00000116477,0
ENSDARG00000116592,0
ENSDARG00000111340,0
ENSDARG00000109889,0
ENSDARG00000115466,0
ENSDARG00000112296,0
ENSDARG00000111749,0
ENSDARG00000111325,0
ENSDARG00000110605,0
ENSDARG00000114347,0
ENSDARG00000114485,0
ENSDARG00000109380,0
ENSDARG00000111403,0
ENSDARG00000114836,0
ENSDARG00000116261,0
ENSDARG00000113618,0
ENSDARG00000114213,0
ENSDARG00000115035,0
ENSDARG00000110116,0
ENSDARG00000113089,0
ENSDARG00000110445,0
ENSDARG00000116403,0
ENSDARG00000111541,0
ENSDARG00000116481,0
ENSDARG00000113073,0
ENSDARG00000111943,0
ENSDARG00000116749,0
ENSDARG00000109709,0
ENSDARG00000114599,0
ENSDARG00000112802,0
ENSDARG00000111975,0
ENSDARG00000114183,0
ENSDARG00000109941,0
ENSDARG00000115654,0
ENSDARG00000114311,0
ENSDARG00000115251,0
ENSDARG00000113362,0
ENSDARG00000109967,0
ENSDARG00000113279,0
ENSDARG00000115317,0
ENSDARG00000116475,0
ENSDARG00000110007,0
ENSDARG00000110957,0
ENSDARG00000113472,0
ENSDARG00000115532,0
ENSDARG00000114255,0
ENSDARG00000112506,0
ENSDARG00000113369,0
ENSDARG00000109546,0
ENSDARG00000110053,0
ENSDARG00000116026,0
ENSDARG00000114956,0
ENSDARG00000074009,2
ENSDARG00000079222,1
ENSDARG00000088214,0
ENSDARG00000070203,0
ENSDARG00000023036,0
ENSDARG00000097728,0
ENSDARG00000104041,0
ENSDARG00000094824,0
ENSDARG00000096684,1
ENSDARG00000115593,0
ENSDARG00000109327,0
ENSDARG00000088082,6
ENSDARG00000112449,0
ENSDARG00000091381,0
ENSDARG00000096063,0
ENSDARG00000116181,0
ENSDARG00000099173,0
ENSDARG00000092140,0
ENSDARG00000094903,0
ENSDARG00000093831,1
ENSDARG00000110852,1
ENSDARG00000092968,1
ENSDARG00000043792,1
ENSDARG00000117382,0
ENSDARG00000088870,0
ENSDARG00000089582,0
ENSDARG00000099440,0
ENSDARG00000114558,0
ENSDARG00000111979,0
ENSDARG00000101497,0
ENSDARG00000100142,0
ENSDARG00000099837,0
ENSDARG00000104239,0
ENSDARG00000103202,0
ENSDARG00000117163,0
ENSDARG00000098876,0
ENSDARG00000103471,1
ENSDARG00000104074,0
ENSDARG00000102559,1
ENSDARG00000113016,0
ENSDARG00000101775,0
ENSDARG00000098115,0
ENSDARG00000101374,0
ENSDARG00000110594,0
ENSDARG00000082790,0
ENSDARG00000110759,0
ENSDARG00000115818,0
ENSDARG00000109664,0
ENSDARG00000115389,0
ENSDARG00000115944,0
ENSDARG00000111938,0
ENSDARG00000114277,0
ENSDARG00000110891,0
ENSDARG00000098340,0
ENSDARG00000113005,0
ENSDARG00000099699,0
ENSDARG00000117318,0
ENSDARG00000112206,0
ENSDARG00000110785,0
ENSDARG00000117046,0
ENSDARG00000114548,0
ENSDARG00000116138,0
ENSDARG00000115815,0
ENSDARG00000114802,0
ENSDARG00000109445,0
ENSDARG00000114362,0
ENSDARG00000116626,0
ENSDARG00000111726,0
ENSDARG00000114561,0
ENSDARG00000113830,0
ENSDARG00000116681,0
ENSDARG00000110373,0
ENSDARG00000116826,0
ENSDARG00000080902,0
ENSDARG00000109780,0
ENSDARG00000100479,0
ENSDARG00000110062,0
ENSDARG00000116390,0
ENSDARG00000110989,0
ENSDARG00000098143,0
ENSDARG00000104064,0
ENSDARG00000110696,0
ENSDARG00000114172,0
ENSDARG00000103229,0
ENSDARG00000103143,0
ENSDARG00000104211,0
ENSDARG00000100061,0
ENSDARG00000116510,1
ENSDARG00000104412,0
ENSDARG00000100632,0
ENSDARG00000101475,0
ENSDARG00000110031,0
ENSDARG00000100793,0
ENSDARG00000102008,1
ENSDARG00000111875,0
ENSDARG00000113581,0
ENSDARG00000111217,0
ENSDARG00000116396,0
ENSDARG00000111322,0
ENSDARG00000112824,0
ENSDARG00000114517,0
ENSDARG00000110846,0
ENSDARG00000114778,0
ENSDARG00000109305,0
ENSDARG00000114244,0
ENSDARG00000111750,0
ENSDARG00000110138,0
ENSDARG00000113937,0
ENSDARG00000116916,0
ENSDARG00000113483,0
ENSDARG00000110847,0
ENSDARG00000113058,0
ENSDARG00000111830,0
ENSDARG00000116472,0
ENSDARG00000110566,0
ENSDARG00000113950,0
ENSDARG00000117208,0
ENSDARG00000114925,0
ENSDARG00000075731,0
ENSDARG00000091746,0
ENSDARG00000095293,0
ENSDARG00000073915,0
ENSDARG00000107177,0
ENSDARG00000089814,3
ENSDARG00000096499,0
ENSDARG00000088245,1
ENSDARG00000109802,0
ENSDARG00000096458,0
ENSDARG00000096437,0
ENSDARG00000089304,0
ENSDARG00000095997,0
ENSDARG00000095596,0
ENSDARG00000094484,0
ENSDARG00000094308,0
ENSDARG00000096186,0
ENSDARG00000088378,0
ENSDARG00000086449,0
ENSDARG00000096011,0
ENSDARG00000095521,0
ENSDARG00000082253,0
ENSDARG00000112409,0
ENSDARG00000104584,0
ENSDARG00000090366,0
ENSDARG00000076252,0
ENSDARG00000096188,0
ENSDARG00000096005,1
ENSDARG00000091013,0
ENSDARG00000103872,2
ENSDARG00000087293,1
ENSDARG00000090461,0
ENSDARG00000117785,0
ENSDARG00000109604,0
ENSDARG00000098177,1
ENSDARG00000110665,0
ENSDARG00000100840,0
ENSDARG00000110101,0
ENSDARG00000116594,0
ENSDARG00000101948,0
ENSDARG00000117764,0
ENSDARG00000099330,0
ENSDARG00000105246,0
ENSDARG00000099432,0
ENSDARG00000114938,0
ENSDARG00000102904,3
ENSDARG00000102515,0
ENSDARG00000105063,0
ENSDARG00000099899,1
ENSDARG00000090355,0
ENSDARG00000112634,0
ENSDARG00000102561,0
ENSDARG00000103992,0
ENSDARG00000099785,0
ENSDARG00000098615,0
ENSDARG00000114783,0
ENSDARG00000117809,0
ENSDARG00000101459,0
ENSDARG00000095275,0
ENSDARG00000113431,0
ENSDARG00000109260,0
ENSDARG00000077266,0
ENSDARG00000116675,0
ENSDARG00000099493,3
ENSDARG00000116197,2
ENSDARG00000111444,0
ENSDARG00000100961,0
ENSDARG00000103348,0
ENSDARG00000114908,0
ENSDARG00000098167,7
ENSDARG00000098677,0
ENSDARG00000098758,0
ENSDARG00000104038,0
ENSDARG00000101463,0
ENSDARG00000115564,0
ENSDARG00000101623,0
ENSDARG00000111046,0
ENSDARG00000099152,1
ENSDARG00000100099,0
ENSDARG00000110802,0
ENSDARG00000104407,1
ENSDARG00000098452,0
ENSDARG00000103473,1
ENSDARG00000104681,0
ENSDARG00000098335,0
ENSDARG00000092436,0
ENSDARG00000108175,0
ENSDARG00000100959,0
ENSDARG00000100896,1
ENSDARG00000117327,0
ENSDARG00000091327,0
ENSDARG00000098179,0
ENSDARG00000098530,0
ENSDARG00000103405,0
ENSDARG00000098958,0
ENSDARG00000102475,0
ENSDARG00000113769,0
ENSDARG00000114124,0
ENSDARG00000116088,0
ENSDARG00000115719,0
ENSDARG00000101688,1
ENSDARG00000104704,3
ENSDARG00000112648,5
ENSDARG00000114030,0
ENSDARG00000116992,1
ENSDARG00000116234,0
ENSDARG00000115662,0
ENSDARG00000113548,0
ENSDARG00000098621,0
ENSDARG00000100653,0
ENSDARG00000101760,0
ENSDARG00000098987,0
ENSDARG00000101223,0
ENSDARG00000114761,0
ENSDARG00000115329,0
ENSDARG00000111955,0
ENSDARG00000110824,0
ENSDARG00000112536,0
ENSDARG00000113170,0
ENSDARG00000112541,0
ENSDARG00000098357,0
ENSDARG00000102273,0
ENSDARG00000113527,0
ENSDARG00000110670,0
ENSDARG00000110745,0
ENSDARG00000101977,0
ENSDARG00000099382,0
ENSDARG00000098127,0
ENSDARG00000110372,0
ENSDARG00000092304,0
ENSDARG00000034095,0
ENSDARG00000116177,0
ENSDARG00000110433,0
ENSDARG00000092926,0
ENSDARG00000093747,0
ENSDARG00000087070,0
ENSDARG00000115506,0
ENSDARG00000111831,0
ENSDARG00000087788,0
ENSDARG00000112386,0
ENSDARG00000113753,0
ENSDARG00000115323,0
ENSDARG00000101301,0
ENSDARG00000102927,0
ENSDARG00000102358,0
ENSDARG00000103045,0
ENSDARG00000110256,0
ENSDARG00000110611,0
ENSDARG00000104423,0
ENSDARG00000100699,0
ENSDARG00000108525,0
ENSDARG00000103755,0
ENSDARG00000100165,0
ENSDARG00000109211,0
ENSDARG00000104850,0
ENSDARG00000091062,0
ENSDARG00000101731,0
ENSDARG00000101817,0
ENSDARG00000105161,0
ENSDARG00000109864,0
ENSDARG00000096467,0
ENSDARG00000110787,0
ENSDARG00000112725,0
ENSDARG00000091026,0
ENSDARG00000096497,0
ENSDARG00000095777,1
ENSDARG00000096434,0
ENSDARG00000096493,2
ENSDARG00000096486,0
ENSDARG00000096478,0
ENSDARG00000093846,0
ENSDARG00000098236,0
ENSDARG00000089831,0
ENSDARG00000096472,0
ENSDARG00000076160,0
ENSDARG00000096435,0
ENSDARG00000093665,0
ENSDARG00000098144,0
ENSDARG00000098510,0
ENSDARG00000113523,0
ENSDARG00000115210,0
ENSDARG00000111674,0
ENSDARG00000115261,0
ENSDARG00000112939,0
ENSDARG00000116425,0
ENSDARG00000113996,0
ENSDARG00000113283,0
ENSDARG00000112814,0
ENSDARG00000113435,0
ENSDARG00000110692,0
ENSDARG00000114896,0
ENSDARG00000113861,0
ENSDARG00000112430,0
ENSDARG00000112871,0
ENSDARG00000090116,0
ENSDARG00000096462,2
ENSDARG00000096463,0
ENSDARG00000102062,0
ENSDARG00000112103,0
ENSDARG00000095149,0
ENSDARG00000096491,0
ENSDARG00000096461,0
ENSDARG00000096484,1
ENSDARG00000092583,1
ENSDARG00000114521,0
ENSDARG00000096481,0
ENSDARG00000080512,0
ENSDARG00000082646,0
ENSDARG00000117166,0
ENSDARG00000109330,0
ENSDARG00000112577,0
ENSDARG00000080787,0
ENSDARG00000110271,0
ENSDARG00000111055,0
ENSDARG00000084431,0
ENSDARG00000116546,0
ENSDARG00000099595,0
ENSDARG00000092596,1
ENSDARG00000101960,0
ENSDARG00000102370,0
