Identifier,DES-1ug/L-C
ENSDARG00000058839,0
ENSDARG00000117709,0
ENSDARG00000117438,0
ENSDARG00000101067,0
ENSDARG00000042041,0
ENSDARG00000113218,0
ENSDARG00000093043,2
ENSDARG00000110614,0
ENSDARG00000109611,0
ENSDARG00000116986,10
ENSDARG00000091624,1
ENSDARG00000090654,5
ENSDARG00000069958,0
ENSDARG00000067546,0
ENSDARG00000103830,0
ENSDARG00000099411,0
ENSDARG00000091169,0
ENSDARG00000073808,0
ENSDARG00000078938,0
ENSDARG00000106357,0
ENSDARG00000063288,3
ENSDARG00000095464,5
ENSDARG00000025820,1
ENSDARG00000075416,1
ENSDARG00000068915,0
ENSDARG00000095118,0
ENSDARG00000095661,0
ENSDARG00000117296,0
ENSDARG00000094523,0
ENSDARG00000094855,0
ENSDARG00000092211,0
ENSDARG00000097106,0
ENSDARG00000097376,0
ENSDARG00000096919,0
ENSDARG00000090035,2
ENSDARG00000086512,1
ENSDARG00000117617,0
ENSDARG00000114825,3
ENSDARG00000010602,2
ENSDARG00000078272,0
ENSDARG00000020204,0
ENSDARG00000076611,1
ENSDARG00000028346,1
ENSDARG00000114054,0
ENSDARG00000079089,2
ENSDARG00000090789,0
ENSDARG00000053019,2
ENSDARG00000078315,1
ENSDARG00000100948,0
ENSDARG00000079588,3
ENSDARG00000107096,0
ENSDARG00000005320,2
ENSDARG00000098365,0
ENSDARG00000068910,2
ENSDARG00000113708,0
ENSDARG00000093726,0
ENSDARG00000094526,0
ENSDARG00000107029,0
ENSDARG00000094172,1
ENSDARG00000078551,7
ENSDARG00000035634,8
ENSDARG00000058608,0
ENSDARG00000058605,3
ENSDARG00000068863,0
ENSDARG00000083432,0
ENSDARG00000062780,0
ENSDARG00000076137,0
ENSDARG00000015905,6
ENSDARG00000058533,2
ENSDARG00000002300,2
ENSDARG00000018902,21
ENSDARG00000062711,4
ENSDARG00000002016,2
ENSDARG00000107236,0
ENSDARG00000035630,0
ENSDARG00000027552,3
ENSDARG00000005786,0
ENSDARG00000027586,1
ENSDARG00000111436,0
ENSDARG00000083224,0
ENSDARG00000082169,0
ENSDARG00000081232,0
ENSDARG00000080347,0
ENSDARG00000062655,0
ENSDARG00000035631,8
ENSDARG00000027141,18
ENSDARG00000058389,4
ENSDARG00000035632,0
ENSDARG00000035633,0
ENSDARG00000059729,9
ENSDARG00000074309,0
ENSDARG00000103737,0
ENSDARG00000114308,0
ENSDARG00000100573,2
ENSDARG00000068011,0
ENSDARG00000117407,0
ENSDARG00000068822,40
ENSDARG00000068820,17
ENSDARG00000012281,2
ENSDARG00000032039,1
ENSDARG00000035625,24
ENSDARG00000074581,7
ENSDARG00000087166,0
ENSDARG00000101482,5
ENSDARG00000062631,0
ENSDARG00000104556,0
ENSDARG00000062646,9
ENSDARG00000104490,0
ENSDARG00000016128,6
ENSDARG00000018907,4
ENSDARG00000068759,2
ENSDARG00000079611,1
ENSDARG00000083583,0
ENSDARG00000097882,0
ENSDARG00000097046,1
ENSDARG00000031891,6
ENSDARG00000036293,0
ENSDARG00000094470,4
ENSDARG00000075923,0
ENSDARG00000042069,7
ENSDARG00000060751,2
ENSDARG00000073737,10
ENSDARG00000114460,0
ENSDARG00000086327,3
ENSDARG00000068742,0
ENSDARG00000084148,0
ENSDARG00000116633,0
ENSDARG00000058365,9
ENSDARG00000105422,1
ENSDARG00000035622,67
ENSDARG00000062573,0
ENSDARG00000035618,3
ENSDARG00000062579,3
ENSDARG00000101452,0
ENSDARG00000102387,0
ENSDARG00000062601,0
ENSDARG00000114637,0
ENSDARG00000095272,0
ENSDARG00000023267,0
ENSDARG00000006832,1
ENSDARG00000102093,0
ENSDARG00000113726,0
ENSDARG00000095235,0
ENSDARG00000092687,1
ENSDARG00000058232,12
ENSDARG00000075347,1
ENSDARG00000093201,0
ENSDARG00000018508,1
ENSDARG00000013058,3
ENSDARG00000059424,0
ENSDARG00000013434,5
ENSDARG00000062538,0
ENSDARG00000012468,3
ENSDARG00000010108,0
ENSDARG00000029250,2
ENSDARG00000035608,5
ENSDARG00000035607,1
ENSDARG00000062511,3
ENSDARG00000014817,48
ENSDARG00000086007,0
ENSDARG00000068650,3
ENSDARG00000017391,0
ENSDARG00000062040,0
ENSDARG00000095288,6
ENSDARG00000092739,0
ENSDARG00000061994,6
ENSDARG00000010591,6
ENSDARG00000061968,0
ENSDARG00000017115,6
ENSDARG00000061960,0
ENSDARG00000035606,0
ENSDARG00000068344,1
ENSDARG00000004130,4
ENSDARG00000090797,0
ENSDARG00000061941,0
ENSDARG00000061921,0
ENSDARG00000035605,5
ENSDARG00000061915,0
ENSDARG00000061901,0
ENSDARG00000095754,1
ENSDARG00000057017,0
ENSDARG00000028857,0
ENSDARG00000107888,0
ENSDARG00000056855,5
ENSDARG00000086374,1
ENSDARG00000003144,6
ENSDARG00000056842,0
ENSDARG00000056833,0
ENSDARG00000035603,2
ENSDARG00000035602,1
ENSDARG00000035601,0
ENSDARG00000056780,0
ENSDARG00000035598,17
ENSDARG00000115014,0
ENSDARG00000105023,0
ENSDARG00000095259,0
ENSDARG00000092834,0
ENSDARG00000035596,19
ENSDARG00000008032,3
ENSDARG00000035595,1
ENSDARG00000095509,0
ENSDARG00000090890,1
ENSDARG00000110362,0
ENSDARG00000109654,0
ENSDARG00000061819,2
ENSDARG00000083427,0
ENSDARG00000068279,0
ENSDARG00000002405,2
ENSDARG00000005104,5
ENSDARG00000003281,6
ENSDARG00000093563,0
ENSDARG00000035579,1
ENSDARG00000011065,12
ENSDARG00000061806,0
ENSDARG00000094417,0
ENSDARG00000035578,1
ENSDARG00000035577,5
ENSDARG00000061784,0
ENSDARG00000061769,0
ENSDARG00000078002,1
ENSDARG00000093719,0
ENSDARG00000093599,0
ENSDARG00000092793,0
ENSDARG00000095348,0
ENSDARG00000109082,0
ENSDARG00000003403,0
ENSDARG00000091976,0
ENSDARG00000012776,4
ENSDARG00000093081,0
ENSDARG00000076998,0
ENSDARG00000061746,2
ENSDARG00000079624,1
ENSDARG00000017086,2
ENSDARG00000008592,6
ENSDARG00000034138,1
ENSDARG00000015314,14
ENSDARG00000094151,0
ENSDARG00000062463,1
ENSDARG00000062457,1
ENSDARG00000058128,38
ENSDARG00000038956,0
ENSDARG00000080589,0
ENSDARG00000093708,0
ENSDARG00000058120,0
ENSDARG00000094418,0
ENSDARG00000092228,1
ENSDARG00000093947,0
ENSDARG00000092602,0
ENSDARG00000068624,1
ENSDARG00000058105,235
ENSDARG00000058103,1
ENSDARG00000058088,11
ENSDARG00000058068,1
ENSDARG00000091926,0
ENSDARG00000020482,18
ENSDARG00000035610,3
ENSDARG00000035609,0
ENSDARG00000093945,12
ENSDARG00000016536,1
ENSDARG00000010331,0
ENSDARG00000039374,2
ENSDARG00000075491,0
ENSDARG00000094025,0
ENSDARG00000062326,112
ENSDARG00000035540,1
ENSDARG00000099624,23
ENSDARG00000100436,0
ENSDARG00000099449,1
ENSDARG00000101039,0
ENSDARG00000035549,4
ENSDARG00000089271,2
ENSDARG00000015524,10
ENSDARG00000092060,0
ENSDARG00000095150,0
ENSDARG00000093383,0
ENSDARG00000035550,0
ENSDARG00000035551,1
ENSDARG00000062362,1
ENSDARG00000080223,0
ENSDARG00000035552,1
ENSDARG00000094760,4
ENSDARG00000011929,6
ENSDARG00000062376,0
ENSDARG00000094576,0
ENSDARG00000032737,0
ENSDARG00000092464,0
ENSDARG00000093389,0
ENSDARG00000094279,0
ENSDARG00000011783,6
ENSDARG00000010752,16
ENSDARG00000110136,0
ENSDARG00000013382,15
ENSDARG00000012432,2
ENSDARG00000004587,4
ENSDARG00000004616,0
ENSDARG00000035553,0
ENSDARG00000110179,0
ENSDARG00000004082,2
ENSDARG00000062192,1
ENSDARG00000108746,0
ENSDARG00000016867,18
ENSDARG00000025275,0
ENSDARG00000011283,0
ENSDARG00000092718,0
ENSDARG00000091944,0
ENSDARG00000068503,6
ENSDARG00000093509,0
ENSDARG00000091936,1
ENSDARG00000035555,0
ENSDARG00000091969,0
ENSDARG00000062221,1
ENSDARG00000112232,0
ENSDARG00000002479,0
ENSDARG00000068480,8
ENSDARG00000112810,0
ENSDARG00000029003,10
ENSDARG00000035556,6
ENSDARG00000012387,37
ENSDARG00000016519,2
ENSDARG00000035557,17
ENSDARG00000035558,3
ENSDARG00000035559,5
ENSDARG00000092931,0
ENSDARG00000035560,0
ENSDARG00000028542,15
ENSDARG00000057855,13
ENSDARG00000062271,1
ENSDARG00000057706,9
ENSDARG00000035562,0
ENSDARG00000010770,1
ENSDARG00000096970,0
ENSDARG00000003032,96
ENSDARG00000095538,1
ENSDARG00000093078,2
ENSDARG00000030887,1
ENSDARG00000034534,20
ENSDARG00000094852,0
ENSDARG00000094537,0
ENSDARG00000029039,0
ENSDARG00000097282,0
ENSDARG00000011701,0
ENSDARG00000035563,5
ENSDARG00000085740,0
ENSDARG00000026476,19
ENSDARG00000035564,6
ENSDARG00000081904,0
ENSDARG00000002830,4
ENSDARG00000035565,1
ENSDARG00000022772,0
ENSDARG00000093639,0
ENSDARG00000062314,0
ENSDARG00000020621,8
ENSDARG00000078803,4
ENSDARG00000020465,19
ENSDARG00000079816,0
ENSDARG00000076119,3
ENSDARG00000019207,0
ENSDARG00000040002,7
ENSDARG00000002264,5
ENSDARG00000062083,3
ENSDARG00000078807,4
ENSDARG00000013500,0
ENSDARG00000102865,2
ENSDARG00000105278,1
ENSDARG00000103454,1
ENSDARG00000033498,0
ENSDARG00000081470,0
ENSDARG00000093253,3
ENSDARG00000026726,59
ENSDARG00000092460,0
ENSDARG00000095684,0
ENSDARG00000094540,0
ENSDARG00000035569,5
ENSDARG00000030311,0
ENSDARG00000056386,0
ENSDARG00000018898,15
ENSDARG00000002986,14
ENSDARG00000035570,2
ENSDARG00000035571,4
ENSDARG00000061600,2
ENSDARG00000039181,0
ENSDARG00000092641,0
ENSDARG00000081105,0
ENSDARG00000068194,17
ENSDARG00000094696,0
ENSDARG00000013813,1
ENSDARG00000094488,2
ENSDARG00000007276,231
ENSDARG00000027620,0
ENSDARG00000092556,0
ENSDARG00000004251,10
ENSDARG00000061641,0
ENSDARG00000020024,0
ENSDARG00000056477,1
ENSDARG00000018918,1
ENSDARG00000035573,11
ENSDARG00000061651,4
ENSDARG00000003091,12
ENSDARG00000016514,2
ENSDARG00000021859,0
ENSDARG00000020952,2
ENSDARG00000061688,8
ENSDARG00000056550,7
ENSDARG00000068227,1
ENSDARG00000023958,5
ENSDARG00000093823,0
ENSDARG00000091872,2
ENSDARG00000036481,22
ENSDARG00000077653,15
ENSDARG00000079387,0
ENSDARG00000054540,8
ENSDARG00000054533,10
ENSDARG00000068233,1
ENSDARG00000088663,6
ENSDARG00000096925,0
ENSDARG00000061509,0
ENSDARG00000035515,3
ENSDARG00000005943,4
ENSDARG00000097723,0
ENSDARG00000094173,0
ENSDARG00000116547,0
ENSDARG00000061541,0
ENSDARG00000004392,1
ENSDARG00000115201,0
ENSDARG00000056281,1
ENSDARG00000061547,18
ENSDARG00000035519,64
ENSDARG00000044074,7
ENSDARG00000056284,0
ENSDARG00000035521,7
ENSDARG00000092987,1
ENSDARG00000079497,3
ENSDARG00000035514,0
ENSDARG00000014962,1
ENSDARG00000039319,0
ENSDARG00000056200,1
ENSDARG00000056204,1
ENSDARG00000056211,0
ENSDARG00000002771,0
ENSDARG00000035532,2
ENSDARG00000035533,0
ENSDARG00000061468,1
ENSDARG00000024116,9
ENSDARG00000097931,1
ENSDARG00000068262,13
ENSDARG00000061486,0
ENSDARG00000101234,0
ENSDARG00000114540,0
ENSDARG00000056245,0
ENSDARG00000097795,2
ENSDARG00000021948,24
ENSDARG00000030173,1
ENSDARG00000075123,1
ENSDARG00000077960,7
ENSDARG00000087143,8
ENSDARG00000091136,6
ENSDARG00000074712,3
ENSDARG00000056156,2
ENSDARG00000008026,13
ENSDARG00000056036,4
ENSDARG00000068166,0
ENSDARG00000056047,0
ENSDARG00000027750,5
ENSDARG00000076592,4
ENSDARG00000092567,0
ENSDARG00000112913,0
ENSDARG00000117557,0
ENSDARG00000021735,1
ENSDARG00000068157,3
ENSDARG00000068148,1
ENSDARG00000100923,0
ENSDARG00000035505,2
ENSDARG00000033953,0
ENSDARG00000035506,3
ENSDARG00000025728,8
ENSDARG00000026048,3
ENSDARG00000068130,0
ENSDARG00000030961,0
ENSDARG00000035507,1
ENSDARG00000035508,2
ENSDARG00000068122,0
ENSDARG00000095308,0
ENSDARG00000110885,0
ENSDARG00000035018,14
ENSDARG00000014463,3
ENSDARG00000068114,3
ENSDARG00000017320,13
ENSDARG00000061243,0
ENSDARG00000081453,0
ENSDARG00000082755,0
ENSDARG00000080032,0
ENSDARG00000055722,1
ENSDARG00000055712,1
ENSDARG00000055708,17
ENSDARG00000061110,0
ENSDARG00000007709,0
ENSDARG00000111283,0
ENSDARG00000029124,3
ENSDARG00000061101,0
ENSDARG00000086903,1
ENSDARG00000013051,0
ENSDARG00000094323,0
ENSDARG00000061095,0
ENSDARG00000068096,0
ENSDARG00000061093,2
ENSDARG00000002792,2
ENSDARG00000008840,5
ENSDARG00000029406,10
ENSDARG00000061066,0
ENSDARG00000061061,0
ENSDARG00000004851,2
ENSDARG00000094286,0
ENSDARG00000091996,53
ENSDARG00000068088,43
ENSDARG00000061047,0
ENSDARG00000055656,1
ENSDARG00000011841,237
ENSDARG00000020822,1
ENSDARG00000055647,7
ENSDARG00000093921,0
ENSDARG00000025403,8
ENSDARG00000055639,3
ENSDARG00000093741,0
ENSDARG00000061017,3
ENSDARG00000092633,0
ENSDARG00000035459,1
ENSDARG00000015292,8
ENSDARG00000061013,3
ENSDARG00000061006,2
ENSDARG00000094380,8
ENSDARG00000060978,11
ENSDARG00000035452,0
ENSDARG00000016695,2
ENSDARG00000035471,1
ENSDARG00000094368,0
ENSDARG00000094693,0
ENSDARG00000035470,6
ENSDARG00000060946,0
ENSDARG00000095623,11
ENSDARG00000016866,2
ENSDARG00000035468,0
ENSDARG00000013082,3
ENSDARG00000052787,1
ENSDARG00000079585,0
ENSDARG00000026582,4
ENSDARG00000068036,8
ENSDARG00000021193,4
ENSDARG00000010031,0
ENSDARG00000014951,0
ENSDARG00000094922,0
ENSDARG00000105923,0
ENSDARG00000078603,1
ENSDARG00000002949,13
ENSDARG00000060865,0
ENSDARG00000035433,2
ENSDARG00000035434,5
ENSDARG00000060846,0
ENSDARG00000092315,0
ENSDARG00000092962,0
ENSDARG00000030839,3
ENSDARG00000035435,0
ENSDARG00000094052,0
ENSDARG00000106217,0
ENSDARG00000012944,668
ENSDARG00000035438,24
ENSDARG00000095930,30
ENSDARG00000095885,1
ENSDARG00000067997,203
ENSDARG00000067995,380
ENSDARG00000067990,856
ENSDARG00000078411,0
ENSDARG00000031761,13
ENSDARG00000097932,1
ENSDARG00000016319,38
ENSDARG00000067984,2
ENSDARG00000009745,6
ENSDARG00000055229,0
ENSDARG00000103200,2
ENSDARG00000007429,0
ENSDARG00000022399,3
ENSDARG00000117769,0
ENSDARG00000090214,0
ENSDARG00000054906,11
ENSDARG00000031985,7
ENSDARG00000040248,4
ENSDARG00000095142,0
ENSDARG00000060683,0
ENSDARG00000006691,436
ENSDARG00000083894,0
ENSDARG00000085713,0
ENSDARG00000083937,1
ENSDARG00000008551,7
ENSDARG00000035422,0
ENSDARG00000013853,2
ENSDARG00000101092,0
ENSDARG00000041723,3
ENSDARG00000041724,3
ENSDARG00000060702,0
ENSDARG00000060578,0
ENSDARG00000060584,0
ENSDARG00000060596,12
ENSDARG00000093303,37
ENSDARG00000023645,7
ENSDARG00000035427,14
ENSDARG00000003592,13
ENSDARG00000019230,568
ENSDARG00000082739,0
ENSDARG00000080936,0
ENSDARG00000109264,0
ENSDARG00000116248,0
ENSDARG00000014148,0
ENSDARG00000002220,8
ENSDARG00000027501,3
ENSDARG00000097904,0
ENSDARG00000020136,0
ENSDARG00000060631,0
ENSDARG00000093512,0
ENSDARG00000028659,0
ENSDARG00000092593,0
ENSDARG00000094643,0
ENSDARG00000022085,0
ENSDARG00000060374,0
ENSDARG00000075110,8
ENSDARG00000095064,0
ENSDARG00000093985,1
ENSDARG00000054288,2
ENSDARG00000060393,0
ENSDARG00000107423,0
ENSDARG00000093572,8
ENSDARG00000009336,9
ENSDARG00000005561,2
ENSDARG00000034368,19
ENSDARG00000035398,6
ENSDARG00000060415,3
ENSDARG00000108823,0
ENSDARG00000093407,0
ENSDARG00000091914,0
ENSDARG00000035399,3
ENSDARG00000035400,239
ENSDARG00000029179,1
ENSDARG00000035388,0
ENSDARG00000097856,0
ENSDARG00000035389,9
ENSDARG00000035390,2
ENSDARG00000035391,0
ENSDARG00000060434,6
ENSDARG00000035415,0
ENSDARG00000035406,1
ENSDARG00000020364,97
ENSDARG00000095968,0
ENSDARG00000086523,7
ENSDARG00000093818,0
ENSDARG00000079403,0
ENSDARG00000067976,1
ENSDARG00000035420,4
ENSDARG00000054433,4
ENSDARG00000014003,5
ENSDARG00000083770,0
ENSDARG00000068731,0
ENSDARG00000067981,6
ENSDARG00000007723,0
ENSDARG00000060152,0
ENSDARG00000074591,0
ENSDARG00000094666,0
ENSDARG00000004256,0
ENSDARG00000002184,6
ENSDARG00000067806,2
ENSDARG00000035330,3
ENSDARG00000028401,2
ENSDARG00000009939,19
ENSDARG00000020178,3
ENSDARG00000116148,0
ENSDARG00000077253,0
ENSDARG00000035329,67
ENSDARG00000053716,2
ENSDARG00000004232,4
ENSDARG00000011239,4
ENSDARG00000008414,0
ENSDARG00000023914,0
ENSDARG00000035327,1543
ENSDARG00000035326,18
ENSDARG00000008912,0
ENSDARG00000035325,16
ENSDARG00000035324,14
ENSDARG00000015937,1
ENSDARG00000011989,7
ENSDARG00000097813,0
ENSDARG00000033009,102
ENSDARG00000111977,1
ENSDARG00000030087,15
ENSDARG00000035339,0
ENSDARG00000101155,0
ENSDARG00000102918,0
ENSDARG00000035338,0
ENSDARG00000100476,10
ENSDARG00000033466,34
ENSDARG00000039436,2
ENSDARG00000075580,0
ENSDARG00000104190,0
ENSDARG00000103956,1
ENSDARG00000078911,0
ENSDARG00000060249,3
ENSDARG00000086463,1
ENSDARG00000103786,1
ENSDARG00000116863,0
ENSDARG00000104485,0
ENSDARG00000035682,4
ENSDARG00000053956,4
ENSDARG00000053959,1
ENSDARG00000012219,1
ENSDARG00000020924,4
ENSDARG00000099693,0
ENSDARG00000103498,86
ENSDARG00000014910,0
ENSDARG00000035350,6
ENSDARG00000060297,4
ENSDARG00000094561,13
ENSDARG00000077573,0
ENSDARG00000012860,0
ENSDARG00000060319,1
ENSDARG00000027345,7
ENSDARG00000035352,0
ENSDARG00000012076,464
ENSDARG00000092018,1
ENSDARG00000094018,1
ENSDARG00000095363,0
ENSDARG00000094849,0
ENSDARG00000093036,0
ENSDARG00000093547,0
ENSDARG00000093960,1
ENSDARG00000060330,0
ENSDARG00000094725,1
ENSDARG00000097952,0
ENSDARG00000092354,1
ENSDARG00000026820,1
ENSDARG00000093943,0
ENSDARG00000094492,0
ENSDARG00000091997,0
ENSDARG00000093013,0
ENSDARG00000093214,0
ENSDARG00000031336,3
ENSDARG00000060366,3
ENSDARG00000096962,1
ENSDARG00000035357,7
ENSDARG00000035360,7
ENSDARG00000034262,0
ENSDARG00000112376,0
ENSDARG00000034307,8
ENSDARG00000067889,1
ENSDARG00000034424,6
ENSDARG00000103123,0
ENSDARG00000003635,0
ENSDARG00000054574,5
ENSDARG00000092667,0
ENSDARG00000092222,0
ENSDARG00000093763,0
ENSDARG00000095735,0
ENSDARG00000095026,0
ENSDARG00000095532,0
ENSDARG00000092680,0
ENSDARG00000094935,1
ENSDARG00000094284,0
ENSDARG00000103480,0
ENSDARG00000093326,0
ENSDARG00000093350,0
ENSDARG00000091972,1
ENSDARG00000110321,0
ENSDARG00000094489,0
ENSDARG00000095747,0
ENSDARG00000094820,1
ENSDARG00000095112,0
ENSDARG00000054597,5
ENSDARG00000113685,0
ENSDARG00000054606,1
ENSDARG00000054619,2
ENSDARG00000085297,0
ENSDARG00000115447,0
ENSDARG00000009196,8
ENSDARG00000020009,1
ENSDARG00000094754,0
ENSDARG00000017703,2
ENSDARG00000116840,0
ENSDARG00000109133,0
ENSDARG00000104118,3
ENSDARG00000054683,3
ENSDARG00000035377,0
ENSDARG00000088753,0
ENSDARG00000060526,0
ENSDARG00000054741,0
ENSDARG00000033614,8
ENSDARG00000095562,0
ENSDARG00000092697,0
ENSDARG00000076376,0
ENSDARG00000019549,0
ENSDARG00000078890,0
ENSDARG00000093687,3
ENSDARG00000076735,4
ENSDARG00000067713,4
ENSDARG00000076040,2
ENSDARG00000067714,1
ENSDARG00000113635,0
ENSDARG00000052840,60
ENSDARG00000052846,12
ENSDARG00000097618,0
ENSDARG00000092131,0
ENSDARG00000093270,0
ENSDARG00000004023,8
ENSDARG00000067718,0
ENSDARG00000059789,0
ENSDARG00000059801,0
ENSDARG00000112671,0
ENSDARG00000052851,8
ENSDARG00000059817,2
ENSDARG00000027109,18
ENSDARG00000007720,19
ENSDARG00000113536,0
ENSDARG00000113550,0
ENSDARG00000093616,0
ENSDARG00000035253,0
ENSDARG00000067729,3
ENSDARG00000092979,0
ENSDARG00000035256,42
ENSDARG00000024967,1
ENSDARG00000020008,43
ENSDARG00000035257,6
ENSDARG00000052881,0
ENSDARG00000059846,0
ENSDARG00000035264,8
ENSDARG00000052897,4
ENSDARG00000059855,0
ENSDARG00000052907,14
ENSDARG00000059856,0
ENSDARG00000076830,13
ENSDARG00000095720,0
ENSDARG00000094458,0
ENSDARG00000092311,0
ENSDARG00000035285,13
ENSDARG00000067752,0
ENSDARG00000092285,0
ENSDARG00000002369,22
ENSDARG00000093779,1
ENSDARG00000094706,0
ENSDARG00000092423,0
ENSDARG00000093313,36
ENSDARG00000004455,0
ENSDARG00000035282,10
ENSDARG00000002355,0
ENSDARG00000059883,0
ENSDARG00000059886,2
ENSDARG00000109874,0
ENSDARG00000095587,0
ENSDARG00000059887,1
ENSDARG00000095304,3
ENSDARG00000082898,0
ENSDARG00000081589,0
ENSDARG00000006939,0
ENSDARG00000092561,0
ENSDARG00000093054,0
ENSDARG00000092457,0
ENSDARG00000117679,0
ENSDARG00000091918,0
ENSDARG00000101827,0
ENSDARG00000115498,0
ENSDARG00000109867,0
ENSDARG00000113134,0
ENSDARG00000116053,0
ENSDARG00000110818,0
ENSDARG00000113044,0
ENSDARG00000114222,0
ENSDARG00000114691,0
ENSDARG00000110432,0
ENSDARG00000099531,0
ENSDARG00000110228,0
ENSDARG00000115114,0
ENSDARG00000111841,0
ENSDARG00000114519,0
ENSDARG00000111022,0
ENSDARG00000116823,0
ENSDARG00000103715,0
ENSDARG00000115410,0
ENSDARG00000114752,0
ENSDARG00000109704,0
ENSDARG00000110197,0
ENSDARG00000004830,18
ENSDARG00000101138,0
ENSDARG00000102514,0
ENSDARG00000100662,0
ENSDARG00000075163,1
ENSDARG00000029692,1
ENSDARG00000053021,3
ENSDARG00000009169,3
ENSDARG00000003808,47
ENSDARG00000103167,0
ENSDARG00000010248,1
ENSDARG00000109845,0
ENSDARG00000116155,0
ENSDARG00000116708,0
ENSDARG00000112652,0
ENSDARG00000116013,0
ENSDARG00000112834,0
ENSDARG00000113272,0
ENSDARG00000111903,0
ENSDARG00000114770,0
ENSDARG00000081445,0
ENSDARG00000016868,0
ENSDARG00000115914,0
ENSDARG00000032482,6
ENSDARG00000031345,0
ENSDARG00000085610,0
ENSDARG00000026925,0
ENSDARG00000018494,1
ENSDARG00000067777,1
ENSDARG00000017571,10
ENSDARG00000117211,0
ENSDARG00000102375,0
ENSDARG00000053091,11
ENSDARG00000095369,0
ENSDARG00000075126,1
ENSDARG00000094625,0
ENSDARG00000094268,0
ENSDARG00000013250,14
ENSDARG00000095282,1
ENSDARG00000077298,10
ENSDARG00000060093,1
ENSDARG00000007836,164
ENSDARG00000097040,0
ENSDARG00000012366,23
ENSDARG00000021366,26
ENSDARG00000060102,8
ENSDARG00000007349,0
ENSDARG00000035290,0
ENSDARG00000015072,5
ENSDARG00000008904,9
ENSDARG00000110955,0
ENSDARG00000060127,1
ENSDARG00000033635,0
ENSDARG00000089310,21
ENSDARG00000013730,14
ENSDARG00000067795,9
ENSDARG00000059963,1
ENSDARG00000025866,2
ENSDARG00000059982,0
ENSDARG00000059997,0
ENSDARG00000112029,0
ENSDARG00000060010,5
ENSDARG00000090524,0
ENSDARG00000060012,1
ENSDARG00000057395,0
ENSDARG00000053159,4
ENSDARG00000095136,0
ENSDARG00000098013,3
ENSDARG00000103515,0
ENSDARG00000089769,23
ENSDARG00000109901,0
ENSDARG00000106121,0
ENSDARG00000093413,6
ENSDARG00000113236,0
ENSDARG00000117391,0
ENSDARG00000104376,0
ENSDARG00000104537,335
ENSDARG00000098516,0
ENSDARG00000035535,4
ENSDARG00000007657,4
ENSDARG00000067658,1
ENSDARG00000091977,0
ENSDARG00000055989,1
ENSDARG00000095715,8
ENSDARG00000081362,0
ENSDARG00000009418,12
ENSDARG00000081238,0
ENSDARG00000059689,0
ENSDARG00000024687,0
ENSDARG00000024693,3
ENSDARG00000021137,0
ENSDARG00000052690,6
ENSDARG00000067664,1
ENSDARG00000052693,4
ENSDARG00000094128,0
ENSDARG00000052695,7
ENSDARG00000098045,2
ENSDARG00000052697,7
ENSDARG00000077072,0
ENSDARG00000102118,3
ENSDARG00000076404,1
ENSDARG00000106072,0
ENSDARG00000114659,0
ENSDARG00000079697,0
ENSDARG00000035193,0
ENSDARG00000074314,0
ENSDARG00000059711,5
ENSDARG00000059714,1
ENSDARG00000024325,5
ENSDARG00000052734,6
ENSDARG00000052731,0
ENSDARG00000035198,5
ENSDARG00000059719,7
ENSDARG00000078250,23
ENSDARG00000067670,2
ENSDARG00000032372,0
ENSDARG00000067672,0
ENSDARG00000067673,1
ENSDARG00000095515,1
ENSDARG00000059722,5
ENSDARG00000063276,0
ENSDARG00000002816,0
ENSDARG00000104979,0
ENSDARG00000104987,0
ENSDARG00000039929,59
ENSDARG00000058379,1
ENSDARG00000098153,2
ENSDARG00000101759,4
ENSDARG00000108024,0
ENSDARG00000099679,0
ENSDARG00000061379,5
ENSDARG00000090195,3
ENSDARG00000102777,4
ENSDARG00000008153,10
ENSDARG00000051916,5
ENSDARG00000094622,0
ENSDARG00000093799,3
ENSDARG00000092975,0
ENSDARG00000051914,0
ENSDARG00000100394,5
ENSDARG00000098198,0
ENSDARG00000098618,0
ENSDARG00000079323,4
ENSDARG00000117511,0
ENSDARG00000104634,0
ENSDARG00000104260,0
ENSDARG00000098345,0
ENSDARG00000102338,0
ENSDARG00000103848,0
ENSDARG00000099946,0
ENSDARG00000101703,0
ENSDARG00000098312,21
ENSDARG00000104980,0
ENSDARG00000117643,0
ENSDARG00000103453,1
ENSDARG00000104111,18
ENSDARG00000100938,6
ENSDARG00000078927,0
ENSDARG00000102998,3
ENSDARG00000100423,0
ENSDARG00000090863,0
ENSDARG00000104221,4
ENSDARG00000099122,14
ENSDARG00000099676,0
ENSDARG00000099433,0
ENSDARG00000101109,0
ENSDARG00000099019,0
ENSDARG00000101470,0
ENSDARG00000100138,0
ENSDARG00000099160,0
ENSDARG00000102227,0
ENSDARG00000100688,0
ENSDARG00000100293,0
ENSDARG00000099248,0
ENSDARG00000104685,7
ENSDARG00000098786,4
ENSDARG00000102783,0
ENSDARG00000101963,5
ENSDARG00000098373,0
ENSDARG00000100773,2
ENSDARG00000104875,0
ENSDARG00000104733,1
ENSDARG00000101036,0
ENSDARG00000099139,3
ENSDARG00000100372,5
ENSDARG00000104996,10
ENSDARG00000101102,0
ENSDARG00000101300,3
ENSDARG00000105035,1
ENSDARG00000104393,0
ENSDARG00000103843,0
ENSDARG00000076978,3
