Identifier,TGSH-1ug/L-B
ENSDARG00000099821,0
ENSDARG00000063054,7
ENSDARG00000075501,7
ENSDARG00000058030,11
ENSDARG00000045704,2
ENSDARG00000045705,6
ENSDARG00000033179,4
ENSDARG00000109844,16
ENSDARG00000110426,5
ENSDARG00000096009,1
ENSDARG00000025824,8
ENSDARG00000004386,10
ENSDARG00000114963,0
ENSDARG00000045706,5
ENSDARG00000094732,11
ENSDARG00000057983,4
ENSDARG00000063008,40
ENSDARG00000057974,10
ENSDARG00000086650,0
ENSDARG00000003570,53
ENSDARG00000057942,1
ENSDARG00000062983,8
ENSDARG00000045708,0
ENSDARG00000070126,8
ENSDARG00000062968,25
ENSDARG00000057929,3
ENSDARG00000057921,2
ENSDARG00000018820,0
ENSDARG00000032799,22
ENSDARG00000032389,2
ENSDARG00000034326,18
ENSDARG00000045747,0
ENSDARG00000106389,0
ENSDARG00000094973,3
ENSDARG00000045748,4
ENSDARG00000094597,0
ENSDARG00000116855,0
ENSDARG00000097175,0
ENSDARG00000111380,0
ENSDARG00000095446,0
ENSDARG00000093014,0
ENSDARG00000096967,0
ENSDARG00000045749,5
ENSDARG00000095994,0
ENSDARG00000045750,6
ENSDARG00000095981,0
ENSDARG00000045752,0
ENSDARG00000092989,0
ENSDARG00000045753,3
ENSDARG00000045754,3
ENSDARG00000045755,16
ENSDARG00000096083,0
ENSDARG00000096010,0
ENSDARG00000096184,0
ENSDARG00000096047,0
ENSDARG00000094603,0
ENSDARG00000096156,0
ENSDARG00000096187,0
ENSDARG00000096039,0
ENSDARG00000096153,0
ENSDARG00000045758,7
ENSDARG00000045760,8
ENSDARG00000001781,0
ENSDARG00000096114,0
ENSDARG00000096218,0
ENSDARG00000096131,0
ENSDARG00000094545,0
ENSDARG00000019235,26
ENSDARG00000063299,149
ENSDARG00000070015,0
ENSDARG00000003822,4
ENSDARG00000005451,136
ENSDARG00000079698,6
ENSDARG00000045765,0
ENSDARG00000112657,0
ENSDARG00000032765,28
ENSDARG00000081841,0
ENSDARG00000081284,0
ENSDARG00000096147,2
ENSDARG00000025576,7
ENSDARG00000031228,31
ENSDARG00000096099,0
ENSDARG00000093427,0
ENSDARG00000092083,1
ENSDARG00000117743,0
ENSDARG00000094299,0
ENSDARG00000005891,10
ENSDARG00000063255,7
ENSDARG00000094457,0
ENSDARG00000045768,55
ENSDARG00000032242,2
ENSDARG00000058366,7
ENSDARG00000017661,16
ENSDARG00000020015,19
ENSDARG00000006747,94
ENSDARG00000094980,0
ENSDARG00000007639,8
ENSDARG00000041665,80
ENSDARG00000087319,2
ENSDARG00000058244,3
ENSDARG00000103365,0
ENSDARG00000095461,0
ENSDARG00000074873,0
ENSDARG00000104625,0
ENSDARG00000103215,0
ENSDARG00000019396,14
ENSDARG00000013476,2
ENSDARG00000085437,0
ENSDARG00000008720,49
ENSDARG00000110404,0
ENSDARG00000032618,8
ENSDARG00000022165,30
ENSDARG00000005897,11
ENSDARG00000053127,3
ENSDARG00000053131,0
ENSDARG00000053136,2
ENSDARG00000069912,8
ENSDARG00000117577,2
ENSDARG00000045658,15
ENSDARG00000015824,2
ENSDARG00000005541,11
ENSDARG00000078613,4
ENSDARG00000014361,28
ENSDARG00000110543,0
ENSDARG00000094001,0
ENSDARG00000097457,1
ENSDARG00000096135,1
ENSDARG00000015053,11
ENSDARG00000117423,1
ENSDARG00000017841,47
ENSDARG00000045669,0
ENSDARG00000094646,27
ENSDARG00000092714,0
ENSDARG00000024211,0
ENSDARG00000045671,0
ENSDARG00000045672,0
ENSDARG00000045673,0
ENSDARG00000045675,6
ENSDARG00000045676,18
ENSDARG00000045677,2874
ENSDARG00000081977,0
ENSDARG00000045680,8
ENSDARG00000045681,1
ENSDARG00000045683,0
ENSDARG00000078745,7
ENSDARG00000105458,0
ENSDARG00000006396,8
ENSDARG00000112990,0
ENSDARG00000045685,21
ENSDARG00000045687,1
ENSDARG00000022550,0
ENSDARG00000045692,19
ENSDARG00000015966,27
ENSDARG00000045691,6
ENSDARG00000045694,15
ENSDARG00000095980,0
ENSDARG00000096149,1
ENSDARG00000109403,0
ENSDARG00000113738,0
ENSDARG00000097023,0
ENSDARG00000097419,1
ENSDARG00000093588,0
ENSDARG00000069780,4
ENSDARG00000011661,16
ENSDARG00000062797,67
ENSDARG00000018744,0
ENSDARG00000020086,2
ENSDARG00000096496,0
ENSDARG00000092161,0
ENSDARG00000003811,26
ENSDARG00000094799,1
ENSDARG00000077090,0
ENSDARG00000079892,1
ENSDARG00000015985,2
ENSDARG00000112970,0
ENSDARG00000045589,0
ENSDARG00000112858,0
ENSDARG00000057334,14
ENSDARG00000113699,0
ENSDARG00000106193,0
ENSDARG00000045594,0
ENSDARG00000045595,1
ENSDARG00000006215,33
ENSDARG00000045598,16
ENSDARG00000017366,2
ENSDARG00000020101,21
ENSDARG00000022424,4
ENSDARG00000004497,6
ENSDARG00000002952,36
ENSDARG00000045601,1
ENSDARG00000007764,5
ENSDARG00000096823,0
ENSDARG00000062651,7
ENSDARG00000000019,66
ENSDARG00000080467,0
ENSDARG00000083126,1
ENSDARG00000081095,0
ENSDARG00000000018,17
ENSDARG00000092341,1
ENSDARG00000093247,0
ENSDARG00000019328,83
ENSDARG00000032919,17
ENSDARG00000004336,1
ENSDARG00000094584,0
ENSDARG00000069698,1
ENSDARG00000069692,2
ENSDARG00000093135,0
ENSDARG00000092944,0
ENSDARG00000092064,1
ENSDARG00000089640,0
ENSDARG00000087241,1
ENSDARG00000034823,45
ENSDARG00000032319,5
ENSDARG00000097754,0
ENSDARG00000095103,0
ENSDARG00000093168,0
ENSDARG00000093983,0
ENSDARG00000092097,0
ENSDARG00000113342,0
ENSDARG00000116640,0
ENSDARG00000113663,0
ENSDARG00000112642,0
ENSDARG00000012684,72
ENSDARG00000117071,0
ENSDARG00000056954,4
ENSDARG00000056950,94
ENSDARG00000111690,0
ENSDARG00000056938,20
ENSDARG00000045580,39
ENSDARG00000012066,39
ENSDARG00000088002,0
ENSDARG00000027249,304
ENSDARG00000020749,0
ENSDARG00000032653,17
ENSDARG00000003789,15
ENSDARG00000023026,0
ENSDARG00000027316,22
ENSDARG00000095159,0
ENSDARG00000093371,0
ENSDARG00000004904,0
ENSDARG00000093058,37
ENSDARG00000022795,5
ENSDARG00000056859,2
ENSDARG00000077985,2
ENSDARG00000019644,286
ENSDARG00000027424,55
ENSDARG00000007315,9
ENSDARG00000007405,19
ENSDARG00000019420,63
ENSDARG00000011582,13
ENSDARG00000085074,0
ENSDARG00000117277,0
ENSDARG00000091957,0
ENSDARG00000016815,1
ENSDARG00000045574,7
ENSDARG00000045568,15
ENSDARG00000094132,5
ENSDARG00000094191,4
ENSDARG00000073959,2
ENSDARG00000029944,0
ENSDARG00000093287,0
ENSDARG00000038384,1
ENSDARG00000020143,28
ENSDARG00000038386,7
ENSDARG00000007175,4
ENSDARG00000002174,4
ENSDARG00000079985,4
ENSDARG00000006011,3
ENSDARG00000002128,8
ENSDARG00000115392,0
ENSDARG00000045563,11
ENSDARG00000045561,0
ENSDARG00000030153,14
ENSDARG00000014572,40
ENSDARG00000045560,24
ENSDARG00000094593,0
ENSDARG00000097601,0
ENSDARG00000087438,0
ENSDARG00000012435,0
ENSDARG00000016886,0
ENSDARG00000076690,0
ENSDARG00000021239,5
ENSDARG00000003512,59
ENSDARG00000111346,0
ENSDARG00000004055,15
ENSDARG00000015278,2
ENSDARG00000028192,2
ENSDARG00000097434,0
ENSDARG00000045557,3
ENSDARG00000033757,5
ENSDARG00000045555,0
ENSDARG00000117252,0
ENSDARG00000073965,0
ENSDARG00000045552,0
ENSDARG00000005547,5
ENSDARG00000097195,0
ENSDARG00000029018,10
ENSDARG00000095705,15
ENSDARG00000031777,0
ENSDARG00000081807,0
ENSDARG00000082287,0
ENSDARG00000022858,0
ENSDARG00000008439,0
ENSDARG00000034717,2
ENSDARG00000069431,0
ENSDARG00000003615,5
ENSDARG00000007371,0
ENSDARG00000015222,6
ENSDARG00000096473,0
ENSDARG00000045549,5
ENSDARG00000016613,2
ENSDARG00000008867,56
ENSDARG00000115618,0
ENSDARG00000094428,2
ENSDARG00000029524,27
ENSDARG00000099812,9
ENSDARG00000045548,0
ENSDARG00000082824,0
ENSDARG00000083992,0
ENSDARG00000094118,0
ENSDARG00000006766,112
ENSDARG00000069402,42
ENSDARG00000021336,0
ENSDARG00000045544,0
ENSDARG00000014804,5
ENSDARG00000111326,0
ENSDARG00000001912,5
ENSDARG00000106138,0
ENSDARG00000104301,3
ENSDARG00000045543,19
ENSDARG00000045542,12
ENSDARG00000045541,2
ENSDARG00000011605,4
ENSDARG00000045540,32
ENSDARG00000056152,12
ENSDARG00000056145,0
ENSDARG00000101236,3
ENSDARG00000037960,10
ENSDARG00000017163,0
ENSDARG00000004794,1
ENSDARG00000019861,1
ENSDARG00000045481,1
ENSDARG00000045482,9
ENSDARG00000103810,2
ENSDARG00000045483,1
ENSDARG00000026855,4
ENSDARG00000045484,1
ENSDARG00000008398,7
ENSDARG00000082618,0
ENSDARG00000009252,3
ENSDARG00000011764,3
ENSDARG00000045485,7
ENSDARG00000117503,0
ENSDARG00000055245,0
ENSDARG00000114678,0
ENSDARG00000090038,0
ENSDARG00000090277,0
ENSDARG00000005476,22
ENSDARG00000030614,297
ENSDARG00000045486,5
ENSDARG00000010784,42
ENSDARG00000117468,0
ENSDARG00000045487,730
ENSDARG00000092717,0
ENSDARG00000097427,0
ENSDARG00000029830,0
ENSDARG00000007277,0
ENSDARG00000098436,0
ENSDARG00000013414,51
ENSDARG00000106953,0
ENSDARG00000032218,0
ENSDARG00000013000,4
ENSDARG00000096999,0
ENSDARG00000095571,0
ENSDARG00000055360,21
ENSDARG00000012729,8
ENSDARG00000061951,107
ENSDARG00000010454,0
ENSDARG00000021579,3
ENSDARG00000021595,70
ENSDARG00000007523,36
ENSDARG00000045490,104
ENSDARG00000018111,9
ENSDARG00000117573,0
ENSDARG00000034300,0
ENSDARG00000032639,21
ENSDARG00000021647,39
ENSDARG00000016010,10
ENSDARG00000021590,8
ENSDARG00000045493,0
ENSDARG00000094023,0
ENSDARG00000033443,10
ENSDARG00000109358,2
ENSDARG00000108552,0
ENSDARG00000108019,0
ENSDARG00000084043,0
ENSDARG00000111837,5
ENSDARG00000084741,0
ENSDARG00000011769,10
ENSDARG00000022187,19
ENSDARG00000002131,85
ENSDARG00000016526,30
ENSDARG00000045513,42
ENSDARG00000045514,338
ENSDARG00000045515,4
ENSDARG00000045516,39
ENSDARG00000045517,0
ENSDARG00000045518,2
ENSDARG00000045519,0
ENSDARG00000034173,2
ENSDARG00000001953,8
ENSDARG00000031346,11
ENSDARG00000069311,0
ENSDARG00000089159,5
ENSDARG00000045522,19
ENSDARG00000069292,1
ENSDARG00000088524,0
ENSDARG00000033413,12
ENSDARG00000045524,9
ENSDARG00000045525,17
ENSDARG00000042469,52
ENSDARG00000045527,6
ENSDARG00000107892,0
ENSDARG00000045528,4
ENSDARG00000075215,1
ENSDARG00000069261,9
ENSDARG00000097579,0
ENSDARG00000089861,5
ENSDARG00000089908,2
ENSDARG00000032627,9
ENSDARG00000069244,1
ENSDARG00000045530,2
ENSDARG00000097326,0
ENSDARG00000098221,10
ENSDARG00000073766,16
ENSDARG00000078749,4
ENSDARG00000083413,0
ENSDARG00000116145,0
ENSDARG00000099850,27
ENSDARG00000107462,0
ENSDARG00000041205,2
ENSDARG00000114833,0
ENSDARG00000029071,2
ENSDARG00000041199,0
ENSDARG00000024306,13
ENSDARG00000013596,21
ENSDARG00000084471,0
ENSDARG00000069160,17
ENSDARG00000045510,5
ENSDARG00000069169,0
ENSDARG00000069171,8
ENSDARG00000109808,0
ENSDARG00000069185,17
ENSDARG00000043734,4
ENSDARG00000096207,0
ENSDARG00000096045,5
ENSDARG00000014941,10
ENSDARG00000053917,0
ENSDARG00000076272,3
ENSDARG00000111124,0
ENSDARG00000112874,0
ENSDARG00000096034,3
ENSDARG00000077488,0
ENSDARG00000106572,0
ENSDARG00000115901,0
ENSDARG00000115871,0
ENSDARG00000116477,0
ENSDARG00000116592,0
ENSDARG00000111340,0
ENSDARG00000109889,0
ENSDARG00000115466,0
ENSDARG00000112296,0
ENSDARG00000111749,0
ENSDARG00000111325,0
ENSDARG00000110605,0
ENSDARG00000114347,0
ENSDARG00000114485,0
ENSDARG00000109380,0
ENSDARG00000111403,0
ENSDARG00000114836,0
ENSDARG00000116261,0
ENSDARG00000113618,0
ENSDARG00000114213,0
ENSDARG00000115035,0
ENSDARG00000110116,0
ENSDARG00000113089,0
ENSDARG00000110445,0
ENSDARG00000116403,0
ENSDARG00000111541,0
ENSDARG00000116481,0
ENSDARG00000113073,0
ENSDARG00000111943,0
ENSDARG00000116749,0
ENSDARG00000109709,0
ENSDARG00000114599,0
ENSDARG00000112802,0
ENSDARG00000111975,0
ENSDARG00000114183,0
ENSDARG00000109941,0
ENSDARG00000115654,0
ENSDARG00000114311,0
ENSDARG00000115251,0
ENSDARG00000113362,0
ENSDARG00000109967,0
ENSDARG00000113279,0
ENSDARG00000115317,0
ENSDARG00000116475,0
ENSDARG00000110007,0
ENSDARG00000110957,0
ENSDARG00000113472,0
ENSDARG00000115532,0
ENSDARG00000114255,0
ENSDARG00000112506,0
ENSDARG00000113369,0
ENSDARG00000109546,0
ENSDARG00000110053,0
ENSDARG00000116026,0
ENSDARG00000114956,0
ENSDARG00000074009,2
ENSDARG00000079222,2
ENSDARG00000088214,0
ENSDARG00000070203,0
ENSDARG00000023036,1
ENSDARG00000097728,0
ENSDARG00000104041,2
ENSDARG00000094824,1
ENSDARG00000096684,3
ENSDARG00000115593,0
ENSDARG00000109327,0
ENSDARG00000088082,4
ENSDARG00000112449,0
ENSDARG00000091381,5
ENSDARG00000096063,0
ENSDARG00000116181,1
ENSDARG00000099173,0
ENSDARG00000092140,0
ENSDARG00000094903,0
ENSDARG00000093831,1
ENSDARG00000110852,0
ENSDARG00000092968,2
ENSDARG00000043792,2
ENSDARG00000117382,0
ENSDARG00000088870,2
ENSDARG00000089582,2
ENSDARG00000099440,0
ENSDARG00000114558,0
ENSDARG00000111979,0
ENSDARG00000101497,1
ENSDARG00000100142,1
ENSDARG00000099837,0
ENSDARG00000104239,1
ENSDARG00000103202,0
ENSDARG00000117163,0
ENSDARG00000098876,1
ENSDARG00000103471,3
ENSDARG00000104074,0
ENSDARG00000102559,0
ENSDARG00000113016,0
ENSDARG00000101775,0
ENSDARG00000098115,3
ENSDARG00000101374,1
ENSDARG00000110594,0
ENSDARG00000082790,0
ENSDARG00000110759,0
ENSDARG00000115818,0
ENSDARG00000109664,0
ENSDARG00000115389,0
ENSDARG00000115944,0
ENSDARG00000111938,0
ENSDARG00000114277,0
ENSDARG00000110891,0
ENSDARG00000098340,0
ENSDARG00000113005,0
ENSDARG00000099699,3
ENSDARG00000117318,0
ENSDARG00000112206,0
ENSDARG00000110785,0
ENSDARG00000117046,0
ENSDARG00000114548,0
ENSDARG00000116138,0
ENSDARG00000115815,0
ENSDARG00000114802,0
ENSDARG00000109445,0
ENSDARG00000114362,0
ENSDARG00000116626,0
ENSDARG00000111726,0
ENSDARG00000114561,0
ENSDARG00000113830,0
ENSDARG00000116681,0
ENSDARG00000110373,0
ENSDARG00000116826,0
ENSDARG00000080902,0
ENSDARG00000109780,0
ENSDARG00000100479,1
ENSDARG00000110062,0
ENSDARG00000116390,0
ENSDARG00000110989,0
ENSDARG00000098143,2
ENSDARG00000104064,0
ENSDARG00000110696,0
ENSDARG00000114172,1
ENSDARG00000103229,0
ENSDARG00000103143,0
ENSDARG00000104211,0
ENSDARG00000100061,0
ENSDARG00000116510,1
ENSDARG00000104412,1
ENSDARG00000100632,0
ENSDARG00000101475,0
ENSDARG00000110031,0
ENSDARG00000100793,0
ENSDARG00000102008,0
ENSDARG00000111875,0
ENSDARG00000113581,0
ENSDARG00000111217,0
ENSDARG00000116396,0
ENSDARG00000111322,0
ENSDARG00000112824,0
ENSDARG00000114517,0
ENSDARG00000110846,0
ENSDARG00000114778,0
ENSDARG00000109305,0
ENSDARG00000114244,0
ENSDARG00000111750,0
ENSDARG00000110138,0
ENSDARG00000113937,0
ENSDARG00000116916,0
ENSDARG00000113483,0
ENSDARG00000110847,0
ENSDARG00000113058,0
ENSDARG00000111830,0
ENSDARG00000116472,0
ENSDARG00000110566,0
ENSDARG00000113950,0
ENSDARG00000117208,0
ENSDARG00000114925,0
ENSDARG00000075731,0
ENSDARG00000091746,1
ENSDARG00000095293,1
ENSDARG00000073915,2
ENSDARG00000107177,0
ENSDARG00000089814,0
ENSDARG00000096499,2
ENSDARG00000088245,0
ENSDARG00000109802,0
ENSDARG00000096458,0
ENSDARG00000096437,0
ENSDARG00000089304,0
ENSDARG00000095997,0
ENSDARG00000095596,0
ENSDARG00000094484,0
ENSDARG00000094308,1
ENSDARG00000096186,0
ENSDARG00000088378,0
ENSDARG00000086449,0
ENSDARG00000096011,0
ENSDARG00000095521,0
ENSDARG00000082253,0
ENSDARG00000112409,0
ENSDARG00000104584,0
ENSDARG00000090366,1
ENSDARG00000076252,0
ENSDARG00000096188,0
ENSDARG00000096005,1
ENSDARG00000091013,1
ENSDARG00000103872,2
ENSDARG00000087293,3
ENSDARG00000090461,3
ENSDARG00000117785,0
ENSDARG00000109604,0
ENSDARG00000098177,0
ENSDARG00000110665,0
ENSDARG00000100840,0
ENSDARG00000110101,0
ENSDARG00000116594,0
ENSDARG00000101948,0
ENSDARG00000117764,0
ENSDARG00000099330,0
ENSDARG00000105246,1
ENSDARG00000099432,2
ENSDARG00000114938,0
ENSDARG00000102904,2
ENSDARG00000102515,0
ENSDARG00000105063,0
ENSDARG00000099899,1
ENSDARG00000090355,0
ENSDARG00000112634,0
ENSDARG00000102561,0
ENSDARG00000103992,1
ENSDARG00000099785,0
ENSDARG00000098615,0
ENSDARG00000114783,0
ENSDARG00000117809,0
ENSDARG00000101459,2
ENSDARG00000095275,0
ENSDARG00000113431,0
ENSDARG00000109260,0
ENSDARG00000077266,0
ENSDARG00000116675,0
ENSDARG00000099493,6
ENSDARG00000116197,7
ENSDARG00000111444,0
ENSDARG00000100961,0
ENSDARG00000103348,0
ENSDARG00000114908,0
ENSDARG00000098167,15
ENSDARG00000098677,0
ENSDARG00000098758,0
ENSDARG00000104038,0
ENSDARG00000101463,0
ENSDARG00000115564,0
ENSDARG00000101623,0
ENSDARG00000111046,0
ENSDARG00000099152,4
ENSDARG00000100099,0
ENSDARG00000110802,0
ENSDARG00000104407,0
ENSDARG00000098452,0
ENSDARG00000103473,3
ENSDARG00000104681,0
ENSDARG00000098335,0
ENSDARG00000092436,0
ENSDARG00000108175,0
ENSDARG00000100959,0
ENSDARG00000100896,0
ENSDARG00000117327,0
ENSDARG00000091327,0
ENSDARG00000098179,0
ENSDARG00000098530,0
ENSDARG00000103405,0
ENSDARG00000098958,0
ENSDARG00000102475,0
ENSDARG00000113769,0
ENSDARG00000114124,0
ENSDARG00000116088,0
ENSDARG00000115719,0
ENSDARG00000101688,0
ENSDARG00000104704,3
ENSDARG00000112648,7
ENSDARG00000114030,1
ENSDARG00000116992,0
ENSDARG00000116234,0
ENSDARG00000115662,0
ENSDARG00000113548,0
ENSDARG00000098621,0
ENSDARG00000100653,0
ENSDARG00000101760,2
ENSDARG00000098987,0
ENSDARG00000101223,0
ENSDARG00000114761,0
ENSDARG00000115329,0
ENSDARG00000111955,0
ENSDARG00000110824,0
ENSDARG00000112536,0
ENSDARG00000113170,0
ENSDARG00000112541,1
ENSDARG00000098357,5
ENSDARG00000102273,0
ENSDARG00000113527,4
ENSDARG00000110670,0
ENSDARG00000110745,0
ENSDARG00000101977,0
ENSDARG00000099382,1
ENSDARG00000098127,0
ENSDARG00000110372,0
ENSDARG00000092304,0
ENSDARG00000034095,0
ENSDARG00000116177,0
ENSDARG00000110433,0
ENSDARG00000092926,0
ENSDARG00000093747,0
ENSDARG00000087070,2
ENSDARG00000115506,0
ENSDARG00000111831,0
ENSDARG00000087788,1
ENSDARG00000112386,0
ENSDARG00000113753,0
ENSDARG00000115323,0
ENSDARG00000101301,0
ENSDARG00000102927,4
ENSDARG00000102358,0
ENSDARG00000103045,0
ENSDARG00000110256,0
ENSDARG00000110611,0
ENSDARG00000104423,1
ENSDARG00000100699,0
ENSDARG00000108525,2
ENSDARG00000103755,0
ENSDARG00000100165,0
ENSDARG00000109211,0
ENSDARG00000104850,1
ENSDARG00000091062,0
ENSDARG00000101731,0
ENSDARG00000101817,1
ENSDARG00000105161,0
ENSDARG00000109864,2
ENSDARG00000096467,0
ENSDARG00000110787,0
ENSDARG00000112725,2
ENSDARG00000091026,1
ENSDARG00000096497,0
ENSDARG00000095777,3
ENSDARG00000096434,0
ENSDARG00000096493,0
ENSDARG00000096486,0
ENSDARG00000096478,0
ENSDARG00000093846,0
ENSDARG00000098236,0
ENSDARG00000089831,2
ENSDARG00000096472,0
ENSDARG00000076160,0
ENSDARG00000096435,0
ENSDARG00000093665,0
ENSDARG00000098144,0
ENSDARG00000098510,0
ENSDARG00000113523,0
ENSDARG00000115210,0
ENSDARG00000111674,0
ENSDARG00000115261,0
ENSDARG00000112939,0
ENSDARG00000116425,0
ENSDARG00000113996,0
ENSDARG00000113283,0
ENSDARG00000112814,0
ENSDARG00000113435,0
ENSDARG00000110692,0
ENSDARG00000114896,0
ENSDARG00000113861,0
ENSDARG00000112430,0
ENSDARG00000112871,0
ENSDARG00000090116,1
ENSDARG00000096462,1
ENSDARG00000096463,0
ENSDARG00000102062,0
ENSDARG00000112103,0
ENSDARG00000095149,0
ENSDARG00000096491,1
ENSDARG00000096461,0
ENSDARG00000096484,0
ENSDARG00000092583,0
ENSDARG00000114521,0
ENSDARG00000096481,0
ENSDARG00000080512,0
ENSDARG00000082646,0
ENSDARG00000117166,0
ENSDARG00000109330,0
ENSDARG00000112577,0
ENSDARG00000080787,0
ENSDARG00000110271,0
ENSDARG00000111055,0
ENSDARG00000084431,0
ENSDARG00000116546,0
ENSDARG00000099595,0
ENSDARG00000092596,0
ENSDARG00000101960,0
ENSDARG00000102370,2
ENSDARG00000117713,0
ENSDARG00000101916,2
ENSDARG00000113626,0
ENSDARG00000099561,0
ENSDARG00000099475,0
ENSDARG00000098071,0
ENSDARG00000102316,0
ENSDARG00000098281,0
ENSDARG00000102542,0
ENSDARG00000102357,0
ENSDARG00000101489,0
ENSDARG00000109432,0
ENSDARG00000115510,0
ENSDARG00000102098,0
ENSDARG00000102837,0
ENSDARG00000104852,0
ENSDARG00000103346,0
ENSDARG00000110658,0
ENSDARG00000103441,0
ENSDARG00000103675,1
ENSDARG00000103689,2
ENSDARG00000105173,0
ENSDARG00000098390,3
ENSDARG00000109251,0
ENSDARG00000100112,0
ENSDARG00000101447,0
ENSDARG00000099145,0
ENSDARG00000113510,2
ENSDARG00000098514,0
ENSDARG00000098515,2
ENSDARG00000115391,0
ENSDARG00000111930,0
ENSDARG00000115765,0
ENSDARG00000113981,0
ENSDARG00000109917,0
ENSDARG00000099467,0
ENSDARG00000110188,0
ENSDARG00000108420,0
ENSDARG00000114743,0
ENSDARG00000102220,0
ENSDARG00000117184,0
ENSDARG00000098270,0
ENSDARG00000115426,0
ENSDARG00000111248,0
ENSDARG00000116816,0
ENSDARG00000117022,0
ENSDARG00000113020,0
ENSDARG00000114570,0
ENSDARG00000111695,0
ENSDARG00000111111,0
ENSDARG00000115879,0
ENSDARG00000117062,0
ENSDARG00000113335,0
ENSDARG00000115874,0
ENSDARG00000111857,0
ENSDARG00000117206,0
ENSDARG00000109323,0
ENSDARG00000109421,0
ENSDARG00000115512,0
ENSDARG00000105282,0
ENSDARG00000117802,2
ENSDARG00000098279,0
ENSDARG00000096189,0
ENSDARG00000096226,0
ENSDARG00000094017,0
ENSDARG00000082273,0
ENSDARG00000109385,0
ENSDARG00000093165,0
ENSDARG00000088836,1
ENSDARG00000090947,0
ENSDARG00000094558,2
ENSDARG00000096000,0
ENSDARG00000096091,2
ENSDARG00000114317,2
ENSDARG00000096072,3
ENSDARG00000095993,0
ENSDARG00000095440,2
ENSDARG00000114935,1
ENSDARG00000112905,0
ENSDARG00000068161,0
ENSDARG00000113192,1
ENSDARG00000113896,3
ENSDARG00000089875,0
ENSDARG00000087714,0
ENSDARG00000087518,1
ENSDARG00000094305,0
ENSDARG00000111465,1
ENSDARG00000091235,5
ENSDARG00000112719,0
ENSDARG00000096064,0
ENSDARG00000078167,0
ENSDARG00000096067,0
ENSDARG00000112106,0
ENSDARG00000096109,0
ENSDARG00000092471,1
ENSDARG00000097091,0
ENSDARG00000088640,1
ENSDARG00000117156,0
ENSDARG00000097393,0
ENSDARG00000090192,0
ENSDARG00000109466,1
ENSDARG00000113564,0
ENSDARG00000086296,0
ENSDARG00000096046,0
ENSDARG00000116587,0
ENSDARG00000096208,0
ENSDARG00000089852,2
ENSDARG00000095132,2
ENSDARG00000116763,0
ENSDARG00000095099,0
ENSDARG00000096078,3
ENSDARG00000087597,0
ENSDARG00000090769,2
ENSDARG00000116216,0
ENSDARG00000096074,0
ENSDARG00000096217,5
ENSDARG00000096107,0
ENSDARG00000088861,2
ENSDARG00000096012,2
ENSDARG00000111835,0
ENSDARG00000117096,0
ENSDARG00000096041,2
ENSDARG00000100214,0
ENSDARG00000111716,0
ENSDARG00000090033,0
ENSDARG00000087168,0
ENSDARG00000096194,0
ENSDARG00000109749,0
ENSDARG00000087699,0
ENSDARG00000096084,0
ENSDARG00000093713,1
ENSDARG00000117248,0
ENSDARG00000096098,0
ENSDARG00000111191,0
ENSDARG00000116359,0
ENSDARG00000111421,0
ENSDARG00000117036,0
ENSDARG00000114584,0
ENSDARG00000115258,0
ENSDARG00000110446,0
ENSDARG00000111663,0
ENSDARG00000116029,0
ENSDARG00000115223,0
ENSDARG00000116559,0
ENSDARG00000115734,0
ENSDARG00000116063,0
ENSDARG00000113958,0
ENSDARG00000114421,0
ENSDARG00000114375,0
ENSDARG00000114545,0
ENSDARG00000109457,0
ENSDARG00000111036,0
ENSDARG00000114893,0
ENSDARG00000112860,0
ENSDARG00000114915,0
ENSDARG00000115366,0
ENSDARG00000117148,0
ENSDARG00000114058,0
ENSDARG00000111679,0
ENSDARG00000114904,0
ENSDARG00000114998,0
ENSDARG00000112696,0
ENSDARG00000112901,0
ENSDARG00000112695,0
ENSDARG00000111026,0
ENSDARG00000102644,0
ENSDARG00000110229,0
ENSDARG00000098878,0
ENSDARG00000116657,0
ENSDARG00000101689,0
ENSDARG00000102848,0
ENSDARG00000098569,3
ENSDARG00000101450,0
ENSDARG00000101695,0
ENSDARG00000101598,0
ENSDARG00000101312,2
ENSDARG00000114645,0
ENSDARG00000099926,0
ENSDARG00000104925,1
ENSDARG00000111577,0
ENSDARG00000114223,0
ENSDARG00000115833,0
ENSDARG00000110195,0
ENSDARG00000109515,0
ENSDARG00000116333,0
ENSDARG00000113929,0
ENSDARG00000112740,0
ENSDARG00000112949,0
ENSDARG00000110133,0
ENSDARG00000110956,0
ENSDARG00000098427,0
ENSDARG00000105570,0
ENSDARG00000117402,0
ENSDARG00000104932,0
ENSDARG00000099444,0
ENSDARG00000103946,2
ENSDARG00000114711,1
ENSDARG00000098986,0
ENSDARG00000113660,5
ENSDARG00000117006,0
ENSDARG00000100341,1
ENSDARG00000098928,1
ENSDARG00000110640,0
ENSDARG00000115028,0
ENSDARG00000111578,0
ENSDARG00000110822,0
ENSDARG00000101971,0
ENSDARG00000110813,0
ENSDARG00000114576,0
ENSDARG00000112457,0
ENSDARG00000111220,0
ENSDARG00000111520,0
ENSDARG00000114265,0
ENSDARG00000115134,0
ENSDARG00000116579,0
ENSDARG00000116910,0
ENSDARG00000102390,0
ENSDARG00000111887,0
ENSDARG00000112987,0
