1337	Integrins in angiogenesis	60	73	23	22	3	23	20	20	23	3	3	385	70	8529	0.61247	0.6163	1.0	4.11	12837;12834;12831	col8a1;col6a2;col5a1	Col8a1_29457;Col6a2_29638,Col6a2_78378;Col5a1_64844	12837(0.001817);12834(0.01233)	9.284005	10.467845	5.09717	3.7382511574832673	7.848289987453824	3.6499467873910776	6.769883333333333	8.13885	3.72749	2.6391839399582118	5.899653387467765	2.833708306835898	13.37104	15.1288	7.70762	5.020867771092961	11.462270460723497	4.959568344038517					12.287;10.467845;5.09717	8.13885;8.44331;3.72749	17.2767;15.1288;7.70762	0	4	0															3	12837;12834;12831	Col8a1_29457;Col6a2_29638,Col6a2_78378;Col5a1_64844	9.284005	10.467845	3.7382511574832673	6.769883333333333	8.13885	2.6391839399582118	13.37104	15.1288	5.020867771092961	12.287;10.467845;5.09717	8.13885;8.44331;3.72749	17.2767;15.1288;7.70762	0						Hill,2(0.5);Linear,2(0.5)	11.102215455064199	75.70895576477051	3.0170841217041016	39.38203048706055	18.08222258125031	16.65492057800293	5.053775588340065	13.514234411659936	3.7833655593087467	9.75640110735792	7.6893932559561655	19.052686744043836	DOWN	0.0	1.0	0.0	
1339	RXR/VDR pathway	22	26	11	10	3	10	10	9	11	3	3	385	23	8576	0.97591	0.099833	0.099833	11.54	67544;21833;19401	fam120b;thra;rara	Fam120b_60024;Thra_73986;Rara_56919	21833(0.1844)	10.353156666666667	13.4941	2.69207	6.670437380384687	11.694839341620627	5.536054776915489	7.507834	9.46001	0.846992	5.93082383752443	8.442867315837939	4.84101209627695	20.8829	24.4035	13.6686	6.2483665281415774	22.365106721915286	5.305281245717467	0.5	8.093085	1.5	14.1837	2.69207;13.4941;14.8733	0.846992;9.46001;12.2165	13.6686;24.5766;24.4035	2	1	2	67544;19401	Fam120b_60024;Rara_56919	8.782685	8.782685	8.613430336193009	6.531746	6.531746	8.039456205554702	19.03605	19.03605	7.590720585359476	2.69207;14.8733	0.846992;12.2165	13.6686;24.4035	1	21833	Thra_73986	13.4941	13.4941		9.46001	9.46001		24.5766	24.5766		13.4941	9.46001	24.5766	0						Hill,3(1)	5.72862893547891	19.725053310394287	2.5491909980773926	8.656153678894043	3.487135674382153	8.519708633422852	2.804846184998489	17.90146714833484	0.7964750313424815	14.21919296865752	13.812207649844748	27.95359235015525	UP	0.6666666666666666	0.3333333333333333	0.0	
1340	ERBB1 downstream pathway	95	103	39	36	10	38	31	30	39	10	10	378	93	8506	0.99526	0.013247	0.013247	9.71	66713;68089;69993;19060;18176;19252;13649;54401;12048;23938	actr2;arpc4;chn2;ppp5c;nras;dusp1;egfr;ywhab;bcl2l1;map2k5	Actr2_56080;Arpc4_54670;Chn2_31966;Ppp5c_74050;Nras_31874;Dusp1_69860;Egfr_72327;Ywhab_60393;Bcl2l1_29914;Map2k5_68611	69993(0.3499);18176(-0.6864);13649(-0.2211);12048(-0.007109);23938(-0.4283)	14.024079	13.5654	6.03994	5.17809452977626	14.19406506842943	4.209963523530962	9.574209999999999	9.209705	3.71428	3.4255562623187363	10.01861577279961	3.1338413697664405	19.59319	18.36575	13.3611	5.844123472049126	19.43109762516832	5.487780874493406	4.5	13.5654			15.6404;13.149;13.8945;6.03994;25.1437;13.148;17.9069;8.18755;13.2517;13.8791	13.1602;6.80816;11.5745;3.71428;13.5966;9.28417;13.5607;5.80768;9.10057;9.13524	23.595;14.7755;21.956;14.3312;26.9108;14.4501;23.9233;13.3611;14.5552;28.0737	4	6	4	18176;19252;12048;23938	Nras_31874;Dusp1_69860;Bcl2l1_29914;Map2k5_68611	16.355625	13.5654	5.867612996426518	10.279145	9.209705	2.2130703112267627	20.99745	20.732999999999997	7.514683390314365	25.1437;13.148;13.2517;13.8791	13.5966;9.28417;9.10057;9.13524	26.9108;14.4501;14.5552;28.0737	6	66713;68089;69993;19060;13649;54401	Actr2_56080;Arpc4_54670;Chn2_31966;Ppp5c_74050;Egfr_72327;Ywhab_60393	12.469714999999999	13.52175	4.511908867403025	9.104253333333332	9.19133	4.185785272116417	18.657016666666667	18.36575	4.9965249001347605	15.6404;13.149;13.8945;6.03994;17.9069;8.18755	13.1602;6.80816;11.5745;3.71428;13.5607;5.80768	23.595;14.7755;21.956;14.3312;23.9233;13.3611	0						Hill,7(0.7);Linear,2(0.2);Poly 2,1(0.1)	4.439995086681308	82.4730623960495	1.9558578729629517	50.075904846191406	14.754302097895739	3.3563315868377686	10.814662759864692	17.23349524013531	7.451028231771835	11.697391768228163	15.970964744610383	23.215415255389615	DOWN	0.4	0.6	0.0	
1341	Syndecan 4 pathway	25	32	12	12	1	12	12	12	12	1	1	387	31	8568	0.5951	0.75702	1.0	3.12	53378	sdcbp	Sdcbp_77206		15.8972	15.8972	15.8972		15.8972		12.9633	12.9633	12.9633		12.9633		24.7083	24.7083	24.7083		24.7083						15.8972	12.9633	24.7083	0	1	0															1	53378	Sdcbp_77206	15.8972	15.8972		12.9633	12.9633		24.7083	24.7083		15.8972	12.9633	24.7083	0						Hill,1(1)	3.3714034557342525	3.371403455734253	3.371403455734253	3.371403455734253	0.0	3.371403455734253	15.8972	15.8972	12.9633	12.9633	24.7083	24.7083	DOWN	0.0	1.0	0.0	
1342	ATF2 transcription factor network	49	57	15	14	4	15	13	13	15	4	4	384	53	8546	0.90147	0.23111	0.31127	7.02	13198;19252;13197;12048	ddit3;dusp1;gadd45a;bcl2l1	Ddit3_29142;Dusp1_69860;Gadd45a_31917;Bcl2l1_29914	13197(-0.317);12048(-0.007109)	13.47165	13.4058	13.148	0.35036124690571124	13.423808471301214	0.2384707445092241	9.4034725	9.19237	8.30325	1.100644970502154	9.854319500680688	1.1114637694513343	18.727075	18.613500000000002	14.4501	4.883477364457289	18.656333410917394	4.7393732635061205	1.5	13.4058			13.5599;13.148;13.927;13.2517	10.9259;9.28417;8.30325;9.10057	22.6718;14.4501;23.2312;14.5552	4	0	4	13198;19252;13197;12048	Ddit3_29142;Dusp1_69860;Gadd45a_31917;Bcl2l1_29914	13.47165	13.4058	0.35036124690571124	9.4034725	9.19237	1.100644970502154	18.727075	18.613500000000002	4.883477364457289	13.5599;13.148;13.927;13.2517	10.9259;9.28417;8.30325;9.10057	22.6718;14.4501;23.2312;14.5552	0															0						Hill,4(1)	12.358205888420738	92.33128786087036	3.5579895973205566	44.2344856262207	22.549078364875843	22.26940631866455	13.12829597803239	13.81500402196761	8.324840428907898	10.482104571092101	13.941267182831863	23.51288281716814	UP	1.0	0.0	0.0	
1343	AP-1 transcription factor network	56	78	19	19	6	19	19	19	19	6	6	382	72	8527	0.94926	0.11995	0.15146	7.69	382056;21416;17134;19252;15251;12387	crtc1;tcf7l2;mafg;dusp1;hif1a;ctnnb1	Crtc1_66877;Tcf7l2_63599;Mafg_62943;Dusp1_69860;Hif1a_30830;Ctnnb1_31871	21416(-0.8115)	15.185900000000002	14.353100000000001	13.1088	2.426253028849208	14.703565315443909	1.9963508655656292	10.671216666666666	10.662749999999999	9.28417	1.3279040838956295	10.343635091146366	1.0265229982135848	22.088083333333334	24.67115	14.4501	4.786986980310955	21.67869409485747	4.333856919278571	2.5	14.353100000000001			14.394;16.8787;13.1088;13.148;14.3122;19.2737	11.0766;10.8691;9.41773;9.28417;10.4564;12.9233	24.6539;25.357;17.6965;14.4501;24.6884;25.6826	2	4	2	17134;19252	Mafg_62943;Dusp1_69860	13.1284	13.1284	0.027718585823901316	9.350950000000001	9.350950000000001	0.09444118169521595	16.0733	16.0733	2.295551454444034	13.1088;13.148	9.41773;9.28417	17.6965;14.4501	4	382056;21416;15251;12387	Crtc1_66877;Tcf7l2_63599;Hif1a_30830;Ctnnb1_31871	16.214650000000002	15.63635	2.3616965462706263	11.331349999999999	10.97285	1.0921561136882718	25.095475	25.0227	0.5078745342108812	14.394;16.8787;14.3122;19.2737	11.0766;10.8691;10.4564;12.9233	24.6539;25.357;24.6884;25.6826	0						Hill,6(1)	3.487127913112929	21.996702075004578	1.8578068017959595	5.250372409820557	1.1757612714030163	3.6846383810043335	13.244493243529494	17.127306756470507	9.608672105251943	11.73376122808139	18.257696001011283	25.918470665655384	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1344	Integrin beta-2 pathway	15	29	3	3	0	3	2	2	3	0	0	388	29	8570	0.27751	1.0	0.63569	0.0																														0	0	0															0															0																							
1345	FOXM1 transcription factor network	40	42	17	16	5	16	16	15	17	5	5	383	37	8562	0.99125	0.033495	0.033495	11.9	16775;12442;18817;434175;12447	lama4;ccnb2;plk1;ccnb1-ps;ccne1	Lama4_57064;Ccnb2_29477;Plk1_29780;Ccnb1_31338;Ccne1_80378	12447(-0.1638)	7.641571600000001	9.54994	0.601078	5.5162803918413	8.415601450653181	5.286832943357036	4.591917	5.99081	0.149395	3.305194316287623	5.17946800337126	3.311052150331594	12.202498	14.2946	3.24465	7.79045605853855	13.796347109987357	7.769920418165452	1.5	6.31879	3.5	12.4846	9.54994;13.1399;0.601078;11.8293;3.08764	6.6648;5.99081;0.149395;8.01296;2.14162	16.2648;14.2946;3.24465;21.9022;5.30624	0	5	0															5	16775;12442;18817;434175;12447	Lama4_57064;Ccnb2_29477;Plk1_29780;Ccnb1_31338;Ccne1_80378	7.641571600000001	9.54994	5.5162803918413	4.591917	5.99081	3.305194316287623	12.202498	14.2946	7.79045605853855	9.54994;13.1399;0.601078;11.8293;3.08764	6.6648;5.99081;0.149395;8.01296;2.14162	16.2648;14.2946;3.24465;21.9022;5.30624	0						Hill,2(0.4);Linear,2(0.4);Poly 2,1(0.2)	16.985954967322645	101.34937810897827	5.663845539093018	37.21827697753906	12.055756796658267	17.346290588378906	2.806338647870322	12.476804552129678	1.694786445334496	7.489047554665505	5.373862185534026	19.031133814465974	DOWN	0.0	1.0	0.0	
1346	Ephrin receptor A forward pathway	23	34	4	4	1	4	3	3	4	1	1	387	33	8566	0.56486	0.77762	1.0	2.94	18803	plcg1	Plcg1_66733	18803(-0.4784)	0.26027	0.26027	0.26027		0.26027		0.101611	0.101611	0.101611		0.101611		0.936398	0.936398	0.936398		0.9363980000000001						0.26027	0.101611	0.936398	1	0	1	18803	Plcg1_66733	0.26027	0.26027		0.101611	0.101611		0.936398	0.936398		0.26027	0.101611	0.936398	0															0						Hill,1(1)	4.593407154083252	4.593407154083252	4.593407154083252	4.593407154083252	0.0	4.593407154083252	0.26027	0.26027	0.101611	0.101611	0.936398	0.936398	UP	1.0	0.0	0.0	
1347	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	15	17	9	9	2	9	9	9	9	2	2	386	15	8584	0.96539	0.16541	0.16541	11.76	112406;15251	egln2;hif1a	Egln2_60710;Hif1a_30830		14.26605	14.26605	14.2199	0.06526595590388135	14.252744310458231	0.06249449777121108	9.715119999999999	9.715119999999999	8.97384	1.048328229515949	9.501398623108969	1.0038119459936388	24.4222	24.4222	24.156	0.3764636503038287	24.345450822188116	0.36047747143253905	0.0	14.2199	0.5	14.26605	14.2199;14.3122	8.97384;10.4564	24.156;24.6884	1	1	1	112406	Egln2_60710	14.2199	14.2199		8.97384	8.97384		24.156	24.156		14.2199	8.97384	24.156	1	15251	Hif1a_30830	14.3122	14.3122		10.4564	10.4564		24.6884	24.6884		14.3122	10.4564	24.6884	0						Hill,2(1)	6.851611503700615	18.547561168670654	3.024106502532959	15.523454666137695	8.838373846896529	9.273780584335327	14.175596	14.356504	8.262211199999998	11.1680288	23.900447999999997	24.943952000000003	CONFLICT	0.5	0.5	0.0	
1348	E-cadherin keratinocyte pathway	18	21	7	7	5	7	7	6	7	4	4	384	17	8582	0.99832	0.011418	0.011418	19.05	18720;13649;18803;12387	pip5k1a;egfr;plcg1;ctnnb1	Pip5k1a_61847;Egfr_72327;Plcg1_66733;Ctnnb1_31871	13649(-0.2211);18803(-0.4784)	12.6523425	15.537700000000001	0.26027	8.665691529891024	13.443045460464445	8.31493481743865	8.720032750000001	10.60891	0.101611	6.206388363652157	9.768216787238659	6.273055494295824	16.5083495	19.7072	0.936398	11.294081535887178	17.76823903204804	10.884315746765175	0.5	6.714385	1.5	15.537700000000001	13.1685;17.9069;0.26027;19.2737	8.29452;13.5607;0.101611;12.9233	15.4911;23.9233;0.936398;25.6826	2	2	2	18720;18803	Pip5k1a_61847;Plcg1_66733	6.714385	6.714385	9.127496966115627	4.1980655	4.1980655	5.793261511544296	8.213749	8.213749	10.291728482349406	13.1685;0.26027	8.29452;0.101611	15.4911;0.936398	2	13649;12387	Egfr_72327;Ctnnb1_31871	18.5903	18.5903	0.9664735485258313	13.242	13.242	0.45070986232822224	24.802950000000003	24.802950000000003	1.2440129601414391	17.9069;19.2737	13.5607;12.9233	23.9233;25.6826	0						Hill,4(1)	3.324264935799194	14.94622552394867	1.8578068017959595	6.179101467132568	2.020573811201514	3.454658627510071	4.159964800706799	21.144720199293204	2.637772153620886	14.802293346379116	5.440149594830567	27.576549405169438	CONFLICT	0.5	0.5	0.0	
1349	ALK1 pathway	22	26	7	7	2	7	5	5	7	2	2	386	24	8575	0.90017	0.31019	0.31019	7.69	14225;12389	fkbp1a;cav1	Fkbp1a_31755;Cav1_31411	12389(0.3037)	16.68495	16.68495	14.272	3.41242661532814	16.465036427468053	3.3982247492230995	12.93355	12.93355	11.8422	1.5434019712958613	12.834085577868276	1.5369786278475224	24.456699999999998	24.456699999999998	23.5164	1.3297850126995165	24.37100210644573	1.3242507021257037	0.5	16.68495			19.0979;14.272	14.0249;11.8422	25.397;23.5164	1	1	1	14225	Fkbp1a_31755	19.0979	19.0979		14.0249	14.0249		25.397	25.397		19.0979	14.0249	25.397	1	12389	Cav1_31411	14.272	14.272		11.8422	11.8422		23.5164	23.5164		14.272	11.8422	23.5164	0						Hill,2(1)	5.969114408065089	12.097216606140137	5.071195602416992	7.0260210037231445	1.3822702972992944	6.048608303070068	11.955568000000003	21.414331999999998	10.794504	15.072596	22.613712	26.299687999999996	CONFLICT	0.5	0.5	0.0	
135	IGF1 signaling pathway	20	21	6	6	0	6	5	5	6	0	0	388	21	8578	0.3954	1.0	1.0	0.0																														0	0	0															0															0																							
1350	T cell receptor/JNK pathway	10	13	1	1	0	1	1	1	1	0	0	388	13	8586	0.5632	1.0	1.0	0.0																														0	0	0															0															0																							
1351	C-Myb transcription factor network	73	85	24	24	4	24	22	20	24	4	4	384	81	8518	0.69486	0.50326	0.78619	4.71	21968;18674;18176;434175	tom1;slc25a3;nras;ccnb1-ps	Tom1_80152;Slc25a3_73638;Nras_31874;Ccnb1_31338	21968(-0.345);18674(0.4834);18176(-0.6864)	16.351074999999998	14.21565	11.8293	5.971688266241529	15.934553963448817	6.002436007365372	11.23704	11.6693	8.01296	2.3997798701269755	10.865298638860859	2.632392450586229	23.8126	23.2187	21.9022	2.162172543222842	23.62552380311694	2.207792928209422					13.985;14.4463;25.1437;11.8293	10.9834;12.3552;13.5966;8.01296	23.0302;23.4072;26.9108;21.9022	2	2	2	21968;18176	Tom1_80152;Nras_31874	19.564349999999997	19.564349999999997	7.8903924392263365	12.29	12.29	1.8478114405966917	24.9705	24.9705	2.743998575072506	13.985;25.1437	10.9834;13.5966	23.0302;26.9108	2	18674;434175	Slc25a3_73638;Ccnb1_31338	13.1378	13.1378	1.8504984463651997	10.18408	10.18408	3.0704273495394765	22.6547	22.6547	1.0641957056858962	14.4463;11.8293	12.3552;8.01296	23.4072;21.9022	0						Hill,3(0.75);Linear,1(0.25)	6.765731681347303	36.30683481693268	1.9558578729629517	17.346290588378906	6.851027400013357	8.50234317779541	10.498820499083312	22.20332950091669	8.88525572727556	13.588824272724441	21.693670907641625	25.931529092358367	CONFLICT	0.5	0.5	0.0	
1352	Syndecan 1 pathway	33	45	19	18	6	19	17	17	19	6	6	382	39	8560	0.9971	0.0122	0.0122	13.33	12361;53378;12837;12834;12831;12215	cask;sdcbp;col8a1;col6a2;col5a1;bsg	Cask_77912;Sdcbp_77206;Col8a1_29457;Col6a2_29638,Col6a2_78378;Col5a1_64844;Bsg_32071	12837(0.001817);12834(0.01233);12215(-0.8129)	13.358385833333331	13.218900000000001	5.09717	5.725214687498119	11.476006061946903	6.633691585414456	9.512274999999999	9.572005	3.72749	3.540802680324057	8.120607030740569	4.0693452064789	19.127486666666666	20.65005	7.70762	7.086371451643404	16.016824653004193	7.970460360952957	1.5	11.377422500000002	3.5	15.024000000000001	14.1508;15.8972;12.287;10.467845;5.09717;22.2503	10.7007;12.9633;8.13885;8.44331;3.72749;13.1	24.0234;24.7083;17.2767;15.1288;7.70762;25.9201	0	7	0															6	12361;53378;12837;12834;12831;12215	Cask_77912;Sdcbp_77206;Col8a1_29457;Col6a2_29638,Col6a2_78378;Col5a1_64844;Bsg_32071	13.358385833333331	13.218900000000001	5.725214687498119	9.512274999999999	9.572005	3.540802680324057	19.127486666666666	20.65005	7.086371451643404	14.1508;15.8972;12.287;10.467845;5.09717;22.2503	10.7007;12.9633;8.13885;8.44331;3.72749;13.1	24.0234;24.7083;17.2767;15.1288;7.70762;25.9201	0						Hill,5(0.72);Linear,2(0.29)	6.196120297960445	84.33809542655945	2.3725602626800537	39.38203048706055	15.400491549739616	3.371403455734253	8.777259980262311	17.93951168640436	6.679042783420169	12.345507216579833	13.457208566444992	24.797764766888342	DOWN	0.0	1.0	0.0	
1353	p38 MK2 pathway	20	21	9	9	1	9	9	9	9	1	1	387	20	8579	0.77094	0.6046	0.6046	4.76	54401	ywhab	Ywhab_60393		8.18755	8.18755	8.18755		8.18755		5.80768	5.80768	5.80768		5.80768		13.3611	13.3611	13.3611		13.361099999999999						8.18755	5.80768	13.3611	0	1	0															1	54401	Ywhab_60393	8.18755	8.18755		5.80768	5.80768		13.3611	13.3611		8.18755	5.80768	13.3611	0						Linear,1(1)	3.154673576354981	3.1546735763549805	3.1546735763549805	3.1546735763549805	0.0	3.1546735763549805	8.18755	8.18755	5.80768	5.80768	13.3611	13.3611	DOWN	0.0	1.0	0.0	
1354	Validated nuclear estrogen receptor alpha network	51	61	16	14	1	16	14	14	16	1	1	387	60	8539	0.25314	0.93289	0.52232	1.64	66949	trim59	Trim59_56037		4.97252	4.97252	4.97252		4.97252		3.18385	3.18385	3.18385		3.18385		10.8201	10.8201	10.8201		10.820099999999998						4.97252	3.18385	10.8201	0	1	0															1	66949	Trim59_56037	4.97252	4.97252		3.18385	3.18385		10.8201	10.8201		4.97252	3.18385	10.8201	0						Poly 2,1(1)	10.146496772766115	10.146496772766113	10.146496772766113	10.146496772766113	0.0	10.146496772766113	4.97252	4.97252	3.18385	3.18385	10.8201	10.8201	DOWN	0.0	1.0	0.0	
1355	ALK2 pathway	8	11	5	5	1	5	3	3	5	1	1	387	10	8589	0.92096	0.38476	0.38476	9.09	14225	fkbp1a	Fkbp1a_31755		19.0979	19.0979	19.0979		19.0979		14.0249	14.0249	14.0249		14.024899999999999		25.397	25.397	25.397		25.397		0.0	19.0979			19.0979	14.0249	25.397	1	0	1	14225	Fkbp1a_31755	19.0979	19.0979		14.0249	14.0249		25.397	25.397		19.0979	14.0249	25.397	0															0						Hill,1(1)	5.071195602416992	5.071195602416992	5.071195602416992	5.071195602416992	0.0	5.071195602416992	19.0979	19.0979	14.0249	14.0249	25.397	25.397	UP	1.0	0.0	0.0	
1357	p38 gamma/delta MAPK pathway	9	11	3	2	0	3	2	2	3	0	0	388	11	8588	0.61524	1.0	1.0	0.0																														0	0	0															0															0																							
1358	Integrin beta-5 pathway	11	16	3	3	0	3	3	3	3	0	0	388	16	8583	0.49325	1.0	1.0	0.0																														0	0	0															0															0																							
1359	VEGFR1 pathway	23	26	9	9	4	9	7	7	9	4	4	384	22	8577	0.99546	0.024088	0.024088	15.38	22340;15251;18803;12389	vegfb;hif1a;plcg1;cav1	Vegfb_60996;Hif1a_30830;Plcg1_66733;Cav1_31411	18803(-0.4784);12389(0.3037)	7.991785	8.697335	0.26027	7.36825061320302	6.397254945116278	6.670153881113779	6.14094525	6.309985	0.101611	5.871414579305138	4.942671077209302	5.485344339670604	13.630352	14.448305000000001	0.936398	12.236770840420386	10.858134971162789	10.983230158969022	0.5	1.6914699999999998	1.5	8.697335	3.12267;14.3122;0.26027;14.272	2.16357;10.4564;0.101611;11.8422	5.38021;24.6884;0.936398;23.5164	2	2	2	22340;18803	Vegfb_60996;Plcg1_66733	1.6914699999999998	1.6914699999999998	2.024022450468374	1.1325905	1.1325905	1.4580251914286322	3.158304	3.158304	3.1422495995181543	3.12267;0.26027	2.16357;0.101611	5.38021;0.936398	2	15251;12389	Hif1a_30830;Cav1_31411	14.292100000000001	14.292100000000001	0.028425692603090278	11.1493	11.1493	0.9799085773683266	24.102400000000003	24.102400000000003	0.8287291475504776	14.3122;14.272	10.4564;11.8422	24.6884;23.5164	0						Hill,3(0.75);Poly 2,1(0.25)	4.5206307106480565	18.922656536102295	3.024106502532959	7.0260210037231445	1.6736917277297831	4.436264514923096	0.7708993990610411	15.21267060093896	0.38695896228096593	11.894931537719033	1.6383165763880214	25.622387423611983	CONFLICT	0.5	0.5	0.0	
136	Interleukin-10 anti-inflammatory signaling pathway	11	16	5	5	2	5	5	5	5	2	2	386	14	8585	0.97058	0.15002	0.15002	12.5	15368;26408	hmox1;map3k5	Hmox1_31505,Hmox1_55177;Map3k5_71001	26408(-0.004897)	8.5755375	8.5755375	8.399455	0.24901825959664586	8.55929767053701	0.2479569105521051	6.094715000000001	6.094715000000001	6.0222500000000005	0.10248098579731692	6.088031659849585	0.1020441981636667	14.37434	14.37434	14.22168	0.21589384243164503	14.360260393191714	0.21497367407261744	0.0	8.399455	0.5	8.5755375	8.399455;8.75162	6.0222500000000005;6.16718	14.22168;14.527	2	1	1	15368	Hmox1_31505,Hmox1_55177	8.399455	8.399455		6.0222500000000005	6.0222500000000005		14.22168	14.22168		8.399455	6.0222500000000005	14.22168	1	26408	Map3k5_71001	8.75162	8.75162		6.16718	6.16718		14.527	14.527		8.75162	6.16718	14.527	0						Hill,1(0.34);Linear,1(0.34);Poly 2,1(0.34)	16.04586902151347	73.03998231887817	4.53502893447876	50.446624755859375	23.592922637633446	18.05832862854004	8.230415799999998	8.920659200000001	5.952683600000001	6.2367464	14.0751264	14.6735536	CONFLICT	0.5	0.5	0.0	
1360	p38 alpha/beta MAPK downstream pathway	36	38	7	7	1	7	7	7	7	1	1	387	37	8562	0.50701	0.81374	1.0	2.63	13198	ddit3	Ddit3_29142		13.5599	13.5599	13.5599		13.5599		10.9259	10.9259	10.9259		10.9259		22.6718	22.6718	22.6718		22.6718						13.5599	10.9259	22.6718	1	0	1	13198	Ddit3_29142	13.5599	13.5599		10.9259	10.9259		22.6718	22.6718		13.5599	10.9259	22.6718	0															0						Hill,1(1)	40.9167594909668	40.9167594909668	40.9167594909668	40.9167594909668	0.0	40.9167594909668	13.5599	13.5599	10.9259	10.9259	22.6718	22.6718	UP	1.0	0.0	0.0	
1361	Interleukin-2/STAT5 pathway	23	30	8	8	2	8	6	6	8	2	2	386	28	8571	0.86217	0.37392	0.37392	6.67	14389;12048	gab2;bcl2l1	Gab2_61042;Bcl2l1_29914	12048(-0.007109)	12.99655	12.99655	12.7414	0.3608365904395371	13.16207634858242	0.27459989229776965	8.811605	8.811605	8.52264	0.4086582220511528	8.999068536422179	0.3109925842752612	19.526699999999998	19.526699999999998	14.5552	7.030762725337858	16.30148251233587	5.350473700013003	0.5	12.99655			12.7414;13.2517	8.52264;9.10057	24.4982;14.5552	2	0	2	14389;12048	Gab2_61042;Bcl2l1_29914	12.99655	12.99655	0.3608365904395371	8.811605	8.811605	0.4086582220511528	19.526699999999998	19.526699999999998	7.030762725337858	12.7414;13.2517	8.52264;9.10057	24.4982;14.5552	0															0						Hill,1(0.5);Linear,1(0.5)	6.27598135284389	14.496532440185547	3.6220531463623047	10.874479293823242	5.128239708924257	7.248266220092773	12.496456	13.496643999999998	8.245233600000002	9.377976399999998	9.782559999999998	29.27084	UP	1.0	0.0	0.0	
1362	T cell receptor calcium pathway	21	27	4	4	1	4	4	4	4	1	1	387	26	8573	0.6737	0.6968	1.0	3.7	14225	fkbp1a	Fkbp1a_31755		19.0979	19.0979	19.0979		19.0979		14.0249	14.0249	14.0249		14.024899999999999		25.397	25.397	25.397		25.397						19.0979	14.0249	25.397	1	0	1	14225	Fkbp1a_31755	19.0979	19.0979		14.0249	14.0249		25.397	25.397		19.0979	14.0249	25.397	0															0						Hill,1(1)	5.071195602416992	5.071195602416992	5.071195602416992	5.071195602416992	0.0	5.071195602416992	19.0979	19.0979	14.0249	14.0249	25.397	25.397	UP	1.0	0.0	0.0	
1363	Delta Np63 pathway	33	46	13	13	4	13	12	12	13	4	4	384	42	8557	0.953	0.13579	0.13579	8.7	107568;12831;12442;226849	wwp1;col5a1;ccnb2;ppp2r5a	Wwp1_57205;Col5a1_64844;Ccnb2_29477;Ppp2r5a_74553,Ppp2r5a_79150	226849(-0.7203)	9.76262575	9.996066500000001	5.09717	4.444879841155692	8.481753153811201	4.4772941440446825	6.06593475	4.85915	3.206339	3.7174151944637894	5.629462771100761	3.707472015625607	13.3723425	11.506025000000001	7.70762	6.9021250850172935	12.17052994433716	7.065432675996094	1.5	9.996066500000001			13.9612;5.09717;13.1399;6.852233	11.3391;3.72749;5.99081;3.206339	22.7697;7.70762;14.2946;8.71745	0	5	0															4	107568;12831;12442;226849	Wwp1_57205;Col5a1_64844;Ccnb2_29477;Ppp2r5a_74553,Ppp2r5a_79150	9.76262575	9.996066500000001	4.444879841155692	6.06593475	4.85915	3.7174151944637894	13.3723425	11.506025000000001	6.9021250850172935	13.9612;5.09717;13.1399;6.852233	11.3391;3.72749;5.99081;3.206339	22.7697;7.70762;14.2946;8.71745	0						Hill,4(0.8);Linear,1(0.2)	4.116977973246866	26.95730233192444	1.9747283458709717	14.557799339294434	5.176716232687423	3.4175028800964355	5.406643505667422	14.118607994332578	2.422867859425487	9.709001640574513	6.60825991668305	20.136425083316947	DOWN	0.0	1.0	0.0	
1364	FOXA transcription factor networks	2	3	1	1	0	1	1	1	1	0	0	388	3	8596	0.87598	1.0	1.0	0.0																														0	0	0															0															0																							
1365	Syndecan 2 pathway	29	33	9	8	2	8	7	7	9	2	2	386	31	8568	0.83096	0.42012	0.65258	6.06	12361;53378	cask;sdcbp	Cask_77912;Sdcbp_77206		15.024000000000001	15.024000000000001	14.1508	1.2348912826641694	15.209691904218927	1.2066455624644339	11.832	11.832	10.7007	1.5998998031126754	12.072578620296465	1.5633052276866755	24.365850000000002	24.365850000000002	24.0234	0.4842974344345234	24.43867431584949	0.47322007886598155	0.5	15.024000000000001			14.1508;15.8972	10.7007;12.9633	24.0234;24.7083	0	2	0															2	12361;53378	Cask_77912;Sdcbp_77206	15.024000000000001	15.024000000000001	1.2348912826641694	11.832	11.832	1.5998998031126754	24.365850000000002	24.365850000000002	0.4842974344345234	14.1508;15.8972	10.7007;12.9633	24.0234;24.7083	0						Hill,2(1)	3.1188286496527144	6.256579399108887	2.885175943374634	3.371403455734253	0.34381477118895254	3.1282896995544434	13.312528000000002	16.735472	9.614652	14.049348000000002	23.694648	25.037052000000003	DOWN	0.0	1.0	0.0	
