1731	Irinotecan pathway	8	17	7	7	4	4	6	4	4	3	3	891	14	8079	0.91881	0.23566	0.23566	17.65	26357;17250;12780	abcg2;abcc1;abcc2	Abcg2_30082;Abcc1_30046;Abcc2_72357	26357(-0.1118);17250(0.3961)	7.020623333333333	5.84057	3.0284	4.694827948352668	7.137709017789839	4.310240255804797	4.8635600000000005	4.27707	2.06193	3.136276320048984	4.985654393939394	2.8499802082527657	12.358686666666665	8.85955	5.48311	9.141996189565676	12.317970959595959	8.590036303030496	0.0	3.0284	0.5	4.434485	3.0284;12.1929;5.84057	2.06193;8.25168;4.27707	5.48311;22.7334;8.85955	2	1	2	17250;12780	Abcc1_30046;Abcc2_72357	9.016735	9.016735	4.491775619334738	6.264375	6.264375	2.8104736835718644	15.796475000000001	15.796475000000001	9.810293416164978	12.1929;5.84057	8.25168;4.27707	22.7334;8.85955	1	26357	Abcg2_30082	3.0284	3.0284		2.06193	2.06193		5.48311	5.48311		3.0284	2.06193	5.48311	0						Linear,2(0.67);Poly 2,1(0.34)	4.355106642115641	17.929110527038574	2.2796642780303955	12.823875427246094	5.936391969563337	2.825570821762085	1.707925380963764	12.333321285702901	1.314529243838673	8.412590756161329	2.0135441031531656	22.70382923018017	UP	0.6666666666666666	0.3333333333333333	0.0	
1732	Adipogenesis	93	129	50	47	20	47	46	43	49	17	17	877	112	7981	0.91233	0.13946	0.23351	13.18	27217;116939;52637;14245;11450;16880;17319;12159;11520;20847;20602;20683;19883;20846;12912;19650;15251	mixl1;pnpla3;cisd1;lpin1;adipoq;lifr;mif;bmp4;plin2;stat2;ncor2;sp1;rora;stat1;creb1;rbl1;hif1a	Mixl1_61573;Pnpla3_59820;Cisd1_76056;Lpin1_31736;Adipoq_79998;Lifr_58010;Mif_30987,Mif_75683;Bmp4_29758;Plin2_31642,Plin2_66039;Stat2_70852;Ncor2_31924;Sp1_69023;Rora_75714;Stat1_32116;Creb1_64373;Rbl1_75918;Hif1a_30830	20602(-0.05561);20683(0.133);20846(0.3763);12912(-0.3088)	17.623047352941178	13.9895	3.70297	10.266293222279662	19.36294437114604	10.51197883748726	10.842381764705882	9.22217	1.40834	5.547761316127019	11.983835352087922	5.869533734903543	24.599517352941174	21.5807	11.4158	9.03538074718945	26.605365405044893	9.111675385198163	5.5	11.58	11.5	20.54295	24.1035;41.3322;3.70297;20.2236;11.6174;11.5382;18.9095;18.0832;11.768355000000001;9.82238;20.9622;10.4289;13.9895;40.6585;11.5426;10.0465;20.8623	18.8392;19.9323;1.40834;10.9284;7.92685;7.88157;11.469999999999999;11.1225;7.26725;6.86874;12.7317;7.23397;9.22217;23.0251;7.88409;6.19341;14.3849	37.3275;42.536;11.4158;21.3724;21.1548;20.9439;30.211800000000004;28.2082;13.429295;16.7214;22.5313;18.1433;28.266;41.6753;20.9555;21.5807;21.7186	10	9	8	27217;116939;11450;17319;11520;20683;19883;12912	Mixl1_61573;Pnpla3_59820;Adipoq_79998;Mif_30987,Mif_75683;Plin2_31642,Plin2_66039;Sp1_69023;Rora_75714;Creb1_64373	17.961494375	12.8789275	10.536563957821025	11.22197875	8.57451	5.230350623173057	26.503024375000003	24.7104	9.937480290670633	24.1035;41.3322;11.6174;18.9095;11.768355000000001;10.4289;13.9895;11.5426	18.8392;19.9323;7.92685;11.469999999999999;7.26725;7.23397;9.22217;7.88409	37.3275;42.536;21.1548;30.211800000000004;13.429295;18.1433;28.266;20.9555	9	52637;14245;16880;12159;20847;20602;20846;19650;15251	Cisd1_76056;Lpin1_31736;Lifr_58010;Bmp4_29758;Stat2_70852;Ncor2_31924;Stat1_32116;Rbl1_75918;Hif1a_30830	17.322205555555556	18.0832	10.650605857033568	10.504962222222224	10.9284	6.111148602588505	22.90751111111111	21.5807	8.367962747055651	3.70297;20.2236;11.5382;18.0832;9.82238;20.9622;40.6585;10.0465;20.8623	1.40834;10.9284;7.88157;11.1225;6.86874;12.7317;23.0251;6.19341;14.3849	11.4158;21.3724;20.9439;28.2082;16.7214;22.5313;41.6753;21.5807;21.7186	0						Exp 2,2(0.11);Exp 3,1(0.06);Exp 4,1(0.06);Hill,5(0.27);Linear,8(0.43);Power,2(0.11)	3.9102123511087514	86.49292802810669	1.7470271587371826	8.601706504821777	2.4742162057129873	3.590820789337158	12.742761339736319	22.503333366146038	8.205143438321741	13.479620091090027	20.304369987697932	28.894664718184423	CONFLICT	0.47058823529411764	0.5294117647058824	0.0	
1734	Small ligand GPCRs	5	19	4	4	3	4	4	4	4	3	3	891	16	8077	0.88688	0.29168	0.42797	15.79	17773;14745;19222	mtnr1a;lpar1;ptgir	Mtnr1a_70532;Lpar1_65520;Ptgir_54940	14745(0.4353)	24.26386666666667	24.189	11.8077	12.493768235537786	29.703014214110592	10.459407111540605	16.975813333333335	18.8611	8.71414	7.49892855696954	20.198395084718058	5.539660120431336	31.054366666666663	35.6645	19.9753	9.639661457402607	34.96168199945518	6.515764141978252	0.0	11.8077	0.5	17.998350000000002	36.7949;11.8077;24.189	23.3522;8.71414;18.8611	37.5233;19.9753;35.6645	2	1	2	17773;19222	Mtnr1a_70532;Ptgir_54940	30.49195	30.49195	8.913717372959493	21.106650000000002	21.106650000000002	3.175687264986873	36.5939	36.5939	1.3143700848695197	36.7949;24.189	23.3522;18.8611	37.5233;35.6645	1	14745	Lpar1_65520	11.8077	11.8077		8.71414	8.71414		19.9753	19.9753		11.8077	8.71414	19.9753	0						Exp 2,1(0.34);Hill,1(0.34);Power,1(0.34)	4.139381989969494	14.134855508804321	2.4437460899353027	8.11424732208252	3.000733265706349	3.576862096786499	10.125836976864798	38.401896356468534	8.48997682817306	25.461649838493603	20.146062837503283	41.96267049583004	UP	0.6666666666666666	0.3333333333333333	0.0	
1735	Nifedipine activity	4	4	2	2	1	2	2	2	2	1	1	893	3	8090	0.94825	0.34242	0.34242	25.0	19229	ptk2b	Ptk2b_77627	19229(0.2144)	13.579	13.579	13.579		13.579		9.00611	9.00611	9.00611		9.00611		26.9125	26.9125	26.9125		26.9125		0.0	13.579	0.0	13.579	13.579	9.00611	26.9125	0	1	0															1	19229	Ptk2b_77627	13.579	13.579		9.00611	9.00611		26.9125	26.9125		13.579	9.00611	26.9125	0						Linear,1(1)	2.0574097633361816	2.0574097633361816	2.0574097633361816	2.0574097633361816	0.0	2.0574097633361816	13.579	13.579	9.00611	9.00611	26.9125	26.9125	DOWN	0.0	1.0	0.0	
1736	Blood clotting cascade	8	20	5	5	4	5	5	5	5	4	4	890	16	8077	0.95784	0.13086	0.13086	20.0	18816;18788;58992;18792	serpinf2;serpinb2;f12;plau	Serpinf2_60955;Serpinb2_74877;F12_73102;Plau_31587	18792(0.4579)	26.989352500000003	29.666600000000003	7.58031	14.77089870171609	31.979811204436373	10.407705299661997	17.4641825	20.0439	5.45013	8.630273740804808	20.800769201582565	6.17600205212725	32.937225000000005	38.78545	12.0219	14.20412706020682	35.36866579322869	9.027836093619388	0.0	7.58031	1.0	23.9237	7.58031;35.4095;41.0439;23.9237	5.45013;23.1108;24.3188;16.977	12.0219;36.0994;42.1561;41.4715	3	1	3	18816;18788;58992	Serpinf2_60955;Serpinb2_74877;F12_73102	28.011236666666665	35.4095	17.91657582195977	17.626576666666665	23.1108	10.562395848936614	30.092466666666667	36.0994	15.939885145863936	7.58031;35.4095;41.0439	5.45013;23.1108;24.3188	12.0219;36.0994;42.1561	1	18792	Plau_31587	23.9237	23.9237		16.977	16.977		41.4715	41.4715		23.9237	16.977	41.4715	0						Hill,1(0.25);Linear,1(0.25);Power,2(0.5)	3.80301983099165	16.05186128616333	2.678844451904297	6.250922679901123	1.5890705780572185	3.561047077178955	12.513871772318222	41.46483322768178	9.006514234011288	25.92185076598871	19.01718048099731	46.8572695190027	UP	0.75	0.25	0.0	
1737	NOD-like receptor (NLR) proteins	6	7	1	1	0	1	1	1	1	0	0	894	7	8086	0.48012	1.0	1.0	0.0																														0	0	0															0															0																							
1738	Myometrial relaxation and contraction pathways	95	150	54	53	21	46	52	44	53	17	17	877	133	7960	0.76646	0.32174	0.5809	11.33	18799;14391;107503;23872;14745;18797;54409;11908;20683;14702;14695;11514;12915;12912;16439;18750;54401	plcd1;gabpb1;atf5;ets2;lpar1;plcb3;ramp2;atf1;sp1;gng2;gnb3;adcy8;atf6b;creb1;itpr2;prkca;ywhab	Plcd1_61543;Gabpb1_80337;Atf5_31928;Ets2_55773;Lpar1_65520;Plcb3_30260;Ramp2_29237;Atf1_79978;Sp1_69023;Gng2_80221;Gnb3_65466;Adcy8_58220;Atf6b_76841;Creb1_64373;Itpr2_69649;Prkca_56923;Ywhab_60393	14391(-0.6224);107503(0.4845);14745(0.4353);11908(0.3163);20683(0.133);12915(-0.2567);12912(-0.3088);16439(-0.09289)	13.930381	11.5426	0.269217	11.782452754821872	16.42242413618528	11.920957921680525	8.919849217647059	7.88409	0.0725867	7.331397031618601	10.593204387737316	7.323762400783748	21.149140294117647	19.9753	0.944295	12.697151346610491	22.891287157073922	11.77013206586367	6.5	10.3337	14.0	23.2937	8.98116;0.269217;11.9562;2.73978;11.8077;22.0753;39.914;15.3701;10.4289;23.2937;10.2385;40.0134;17.3555;11.5426;4.76712;2.8669;3.1964	4.56354;0.0725867;8.11891;1.31789;8.71414;13.9444;24.2249;10.4536;7.23397;18.5002;7.12017;22.8125;10.8744;7.88409;2.25051;1.54729;2.00434	16.1617;0.944295;22.0738;6.84839;19.9753;24.1738;40.808;29.8989;18.1433;32.4506;17.6891;40.9202;42.0369;20.9555;13.6675;6.60506;6.18304	12	5	12	107503;23872;18797;54409;11908;20683;14702;14695;11514;12915;12912;16439	Atf5_31928;Ets2_55773;Plcb3_30260;Ramp2_29237;Atf1_79978;Sp1_69023;Gng2_80221;Gnb3_65466;Adcy8_58220;Atf6b_76841;Creb1_64373;Itpr2_69649	17.47459166666667	13.663150000000002	12.125236682983163	11.227961666666666	9.286255	7.364465200237292	25.805499166666667	23.1238	11.478436847181568	11.9562;2.73978;22.0753;39.914;15.3701;10.4289;23.2937;10.2385;40.0134;17.3555;11.5426;4.76712	8.11891;1.31789;13.9444;24.2249;10.4536;7.23397;18.5002;7.12017;22.8125;10.8744;7.88409;2.25051	22.0738;6.84839;24.1738;40.808;29.8989;18.1433;32.4506;17.6891;40.9202;42.0369;20.9555;13.6675	5	18799;14391;14745;18750;54401	Plcd1_61543;Gabpb1_80337;Lpar1_65520;Prkca_56923;Ywhab_60393	5.4242754	3.1964	4.782200396351642	3.38037934	2.00434	3.392788855367465	9.973879	6.60506	7.835342043252165	8.98116;0.269217;11.8077;2.8669;3.1964	4.56354;0.0725867;8.71414;1.54729;2.00434	16.1617;0.944295;19.9753;6.60506;6.18304	0						Exp 2,2(0.12);Exp 4,5(0.3);Hill,2(0.12);Linear,5(0.3);Power,3(0.18)	3.188044643345422	71.41330528259277	1.6012423038482666	15.650691032409668	4.164902188787887	2.4437460899353027	8.329358495030498	19.531403504969497	5.434724293198916	12.404974142095199	15.113297679576704	27.18498290865859	UP	0.7058823529411765	0.29411764705882354	0.0	
1739	Keap1-Nrf2 pathway	13	13	9	9	1	8	8	7	8	1	1	893	12	8081	0.62385	0.74413	1.0	7.69	18750	prkca	Prkca_56923		2.8669	2.8669	2.8669		2.8669		1.54729	1.54729	1.54729		1.54729		6.60506	6.60506	6.60506		6.60506		0.0	2.8669			2.8669	1.54729	6.60506	0	1	0															1	18750	Prkca_56923	2.8669	2.8669		1.54729	1.54729		6.60506	6.60506		2.8669	1.54729	6.60506	0						Exp 4,1(1)	2.0713131427764893	2.0713131427764893	2.0713131427764893	2.0713131427764893	0.0	2.0713131427764893	2.8669	2.8669	1.54729	1.54729	6.60506	6.60506	DOWN	0.0	1.0	0.0	
174	PGC-1a regulation	15	20	4	4	1	3	4	3	4	1	1	893	19	8074	0.39445	0.87729	0.71451	5.0	19055	ppp3ca	Ppp3ca_59808		7.67566	7.67566	7.67566		7.67566		5.3069	5.3069	5.3069		5.3069		13.1316	13.1316	13.1316		13.1316		0.0	7.67566			7.67566	5.3069	13.1316	0	1	0															1	19055	Ppp3ca_59808	7.67566	7.67566		5.3069	5.3069		13.1316	13.1316		7.67566	5.3069	13.1316	0						Exp 2,1(1)	3.298130989074707	3.298130989074707	3.298130989074707	3.298130989074707	0.0	3.298130989074707	7.67566	7.67566	5.3069	5.3069	13.1316	13.1316	DOWN	0.0	1.0	0.0	
1740	FAS pathway and stress induction of heat shock protein regulation	34	37	18	17	8	18	16	17	18	8	8	886	29	8064	0.99119	0.026417	0.026417	21.62	15507;11545;12633;26398;12371;12370;12369;12367	hspb1;parp1;cflar;map2k4;casp9;casp8;casp7;casp3	Hspb1_30392;Parp1_80176;Cflar_66695;Map2k4_70072;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	11545(-0.2617);12633(0.3826);12370(-0.3147);12367(-0.0181)	14.14932125	11.4054	3.7485	11.639712952025723	14.539436385123967	12.211869917595317	9.0563475	7.69966	1.96254	7.437048899646668	9.399848623553721	7.774506894312136	26.36774125	23.8842	9.17363	13.260242557312258	24.534015849586783	11.76050229451678	0.5	4.69847	2.5	9.652815	5.64844;3.7485;40.6244;18.6832;12.4152;10.3956;8.91003;12.7692	3.14977;1.96254;25.8554;11.4716;8.37528;7.02404;6.04206;8.57009	28.123;9.17363;41.634;49.2572;23.3661;19.0313;15.9544;24.4023	1	7	1	12633	Cflar_66695	40.6244	40.6244		25.8554	25.8554		41.634	41.634		40.6244	25.8554	41.634	7	15507;11545;26398;12371;12370;12369;12367	Hspb1_30392;Parp1_80176;Map2k4_70072;Casp9_66180;Casp8_30720;Casp7_57185;Casp3_74474	10.367167142857141	10.3956	4.955095030857012	6.656482857142857	7.02404	3.2823837203101567	24.186847142857143	23.3661	12.678626889266189	5.64844;3.7485;18.6832;12.4152;10.3956;8.91003;12.7692	3.14977;1.96254;11.4716;8.37528;7.02404;6.04206;8.57009	28.123;9.17363;49.2572;23.3661;19.0313;15.9544;24.4023	0						Exp 2,2(0.25);Exp 4,1(0.13);Linear,3(0.38);Poly 2,1(0.13);Power,1(0.13)	2.4075498216859197	20.930421233177185	1.5225757360458374	5.741934299468994	1.3337371110543945	2.2744863033294678	6.083411689746573	22.21523081025343	3.902735545223014	14.209959454776989	17.178861966195132	35.556620533804875	DOWN	0.125	0.875	0.0	
1742	Ovarian infertility genes	17	29	8	7	1	7	7	6	7	1	1	893	28	8065	0.20088	0.95234	0.35654	3.45	22788	zp3	Zp3_60059		21.8835	21.8835	21.8835		21.8835		17.1703	17.1703	17.1703		17.1703		31.2101	31.2101	31.2101		31.2101						21.8835	17.1703	31.2101	1	0	1	22788	Zp3_60059	21.8835	21.8835		17.1703	17.1703		31.2101	31.2101		21.8835	17.1703	31.2101	0															0						Exp 2,1(1)	6.539127349853516	6.539127349853516	6.539127349853516	6.539127349853516	0.0	6.539127349853516	21.8835	21.8835	17.1703	17.1703	31.2101	31.2101	UP	1.0	0.0	0.0	
1743	Mitochondrial fatty acid beta-oxidation	22	23	11	11	5	11	11	11	11	4	4	890	19	8074	0.92845	0.19002	0.27956	17.39	67460;231086;12894;20280	decr1;hadhb;cpt1a;scp2	Decr1_29509;Hadhb_78747;Cpt1a_61022;Scp2_29592	20280(-0.3661)	18.974975	17.946800000000003	14.5227	4.687161818111967	20.613242751060817	5.417655010865802	11.750625	11.1373	9.2304	2.6752161126097214	12.692373143564357	3.1042929935197603	38.906625	36.7581	31.887	8.470889959689421	36.65009112446959	7.794983703004449	0.5	15.78625	1.5	17.946800000000003	25.4836;14.5227;18.8438;17.0498	15.4975;9.2304;11.5419;10.7327	32.9704;31.887;50.2233;40.5458	2	2	2	67460;12894	Decr1_29509;Cpt1a_61022	22.1637	22.1637	4.695047605722459	13.5197	13.5197	2.7970315836615076	41.59685	41.59685	12.199642585133372	25.4836;18.8438	15.4975;11.5419	32.9704;50.2233	2	231086;20280	Hadhb_78747;Scp2_29592	15.78625	15.78625	1.7869295467365143	9.981549999999999	9.981549999999999	1.0622865173765685	36.2164	36.2164	6.122696196938084	14.5227;17.0498	9.2304;10.7327	31.887;40.5458	0						Exp 2,1(0.25);Linear,2(0.5);Poly 2,1(0.25)	2.815035174213525	13.163852334022522	1.7899829149246216	6.818575859069824	2.3689511394648184	2.277646780014038	14.381556418250275	23.568393581749724	9.128913209642473	14.372336790357526	30.605152839504385	47.20809716049561	CONFLICT	0.5	0.5	0.0	
1744	Striated muscle contraction	17	34	9	9	2	8	9	7	9	2	2	892	32	8061	0.32862	0.86558	0.57453	5.88	21957;98932	tnnt3;myl9	Tnnt3_29180;Myl9_29990	98932(0.06773)	13.7716	13.7716	12.6896	1.530179074487712	14.134543547408036	1.441524180438797	8.969149999999999	8.969149999999999	8.27202	0.9858907007371641	9.202993655457083	0.928770565535417	28.47935	28.47935	25.6448	4.008659053224674	29.430164817287842	3.776406992294734	0.5	13.7716			14.8536;12.6896	9.66628;8.27202	31.3139;25.6448	1	1	1	21957	Tnnt3_29180	14.8536	14.8536		9.66628	9.66628		31.3139	31.3139		14.8536	9.66628	31.3139	1	98932	Myl9_29990	12.6896	12.6896		8.27202	8.27202		25.6448	25.6448		12.6896	8.27202	25.6448	0						Exp 2,1(0.5);Linear,1(0.5)	3.9418229292349634	9.367567539215088	2.153988838195801	7.213578701019287	3.5776703020252008	4.683783769607544	11.65088	15.892319999999998	7.602775199999998	10.3355248	22.923632	34.035068	CONFLICT	0.5	0.5	0.0	
1745	Mitochondrial gene expression	17	19	10	10	7	9	8	8	9	6	6	888	13	8080	0.99838	0.0083062	0.0083062	31.58	18181;15161;14391;20683;12912;19055	nrf1;hcfc1;gabpb1;sp1;creb1;ppp3ca	Nrf1_72687;Hcfc1_59669;Gabpb1_80337;Sp1_69023;Creb1_64373;Ppp3ca_59808	18181(-0.02895);14391(-0.6224);20683(0.133);12912(-0.3088)	10.9548295	10.98575	0.269217	6.6695148821225	9.572226096851946	6.793997158585232	7.176212783333334	7.55903	0.0725867	4.342401173379916	6.351795045445913	4.506630203108907	19.3274325	19.5494	0.944295	11.661961504864326	16.976694771747862	11.865942307643538	0.0	0.269217	0.5	3.9724385	18.2295;17.5831;0.269217;10.4289;11.5426;7.67566	13.0323;9.52743;0.0725867;7.23397;7.88409;5.3069	33.4414;29.3485;0.944295;18.1433;20.9555;13.1316	3	3	3	18181;20683;12912	Nrf1_72687;Sp1_69023;Creb1_64373	13.400333333333334	11.5426	4.219089942550801	9.383453333333334	7.88409	3.1766689316378782	24.180066666666665	20.9555	8.14287041179788	18.2295;10.4289;11.5426	13.0323;7.23397;7.88409	33.4414;18.1433;20.9555	3	15161;14391;19055	Hcfc1_59669;Gabpb1_80337;Ppp3ca_59808	8.509325666666667	7.67566	8.686995163303383	4.968972233333333	5.3069	4.73647145441646	14.474798333333334	13.1316	14.249661460628047	17.5831;0.269217;7.67566	9.52743;0.0725867;5.3069	29.3485;0.944295;13.1316	0						Exp 2,2(0.34);Exp 4,1(0.17);Linear,2(0.34);Power,1(0.17)	2.469757997734368	15.659634351730347	1.6012423038482666	3.6599810123443604	0.9202362185746591	2.65440034866333	5.6181061242543855	16.291552875745616	3.70156818647371	10.650857380192956	9.995919838280166	28.658945161719835	CONFLICT	0.5	0.5	0.0	
1746	Eukaryotic transcription initiation	39	41	10	10	3	8	9	8	9	3	3	891	38	8055	0.40696	0.78901	0.7941	7.32	66464;20018;14884	taf12;polr1d;gtf2h1	Taf12_61432;Polr1d_32005;Gtf2h1_74444	20018(0.1312)	10.10046	10.8589	5.87418	3.90272905398261	11.15775630374581	3.5510558217776924	6.468006666666667	7.4881	2.91548	3.168142572065425	7.296138610989651	2.805985672317129	18.571043333333332	19.1966	9.63853	8.636742576205062	20.96056660107856	8.074089374373186	1.5	12.2136			13.5683;10.8589;5.87418	9.00044;7.4881;2.91548	26.878;19.1966;9.63853	2	1	2	20018;14884	Polr1d_32005;Gtf2h1_74444	8.36654	8.36654	3.5247293143162017	5.20179	5.20179	3.2333306097892307	14.417565	14.417565	6.758576112055701	10.8589;5.87418	7.4881;2.91548	19.1966;9.63853	1	66464	Taf12_61432	13.5683	13.5683		9.00044	9.00044		26.878	26.878		13.5683	9.00044	26.878	0						Hill,1(0.34);Linear,2(0.67)	2.0789275987723292	6.360985517501831	1.6533873081207275	2.679485559463501	0.519227530485395	2.0281126499176025	5.684106327013574	14.516813672986427	2.882915851713016	10.053097481620318	8.797649056798079	28.344437609868592	UP	0.6666666666666666	0.3333333333333333	0.0	
1747	Oxidative stress	24	26	20	19	7	17	19	16	16	6	6	888	20	8073	0.98857	0.038756	0.038756	23.08	50490;20657;22436;20655;20683;16477	nox4;sod3;xdh;sod1;sp1;junb	Nox4_63709;Sod3_30579;Xdh_69921;Sod1_30958;Sp1_69023;Junb_57286	20683(0.133)	11.953788666666668	12.32305	0.432832	7.761122652893114	13.928975550719832	8.793827525139092	7.582991166666666	6.83265	0.126057	5.284212220777681	9.075305537119352	6.1334093266992324	21.364056666666666	20.381700000000002	2.87624	13.24521709137554	24.989784928016984	14.772309296952153	0.5	4.307766	1.5	9.305800000000001	14.71;23.7511;0.432832;14.2172;10.4289;8.1827	9.59348;16.2713;0.126057;6.43133;7.23397;5.84181	30.7876;40.5498;2.87624;22.6201;18.1433;13.2073	5	1	5	50490;22436;20655;20683;16477	Nox4_63709;Xdh_69921;Sod1_30958;Sp1_69023;Junb_57286	9.5943264	10.4289	5.79144322538733	5.8453294	6.43133	3.5010870280181265	17.526908	18.1433	10.433930015642234	14.71;0.432832;14.2172;10.4289;8.1827	9.59348;0.126057;6.43133;7.23397;5.84181	30.7876;2.87624;22.6201;18.1433;13.2073	1	20657	Sod3_30579	23.7511	23.7511		16.2713	16.2713		40.5498	40.5498		23.7511	16.2713	40.5498	0						Exp 4,1(0.17);Exp 5,1(0.17);Hill,1(0.17);Linear,3(0.5)	5.393639851430397	41.8328959941864	1.7470271587371826	13.791295051574707	5.022071315154151	5.477821469306946	5.7435971586236745	18.16398017470966	3.3547407797284157	11.81124155360492	10.765675687288132	31.962437646045203	UP	0.8333333333333334	0.16666666666666666	0.0	
1749	Cytochrome P450 pathway	20	64	10	7	4	9	7	6	9	3	3	891	61	8032	0.10786	0.96051	0.20721	4.69	320635;13113;13074	cyb5r2;cyp3a13;cyp17a1	Cyb5r2_60885;Cyp3a13_55988;Cyp17a1_80340		28.067433333333337	26.2006	19.535	9.602922276230986	32.85974039399259	9.6627592448872	19.7713	20.7233	15.4214	3.9606601987547387	21.26698582016774	3.7031993270933534	35.2619	39.2413	26.9123	7.2336053445014805	36.86730494116117	6.048677509557853					38.4667;19.535;26.2006	23.1692;15.4214;20.7233	39.2413;26.9123;39.6321	3	0	3	320635;13113;13074	Cyb5r2_60885;Cyp3a13_55988;Cyp17a1_80340	28.067433333333337	26.2006	9.602922276230986	19.7713	20.7233	3.9606601987547387	35.2619	39.2413	7.2336053445014805	38.4667;19.535;26.2006	23.1692;15.4214;20.7233	39.2413;26.9123;39.6321	0															0						Exp 2,2(0.67);Power,1(0.34)	7.654433386348691	30.01113796234131	3.5994768142700195	20.262685775756836	8.975515743249177	6.148975372314453	17.200703801402863	38.9341628652638	15.289391065437407	24.253208934562593	27.076304973995512	43.44749502600448	UP	1.0	0.0	0.0	
175	CREB transcription factor and its extracellular signals	20	22	11	11	5	11	11	11	11	5	5	889	17	8076	0.98235	0.06076	0.06076	22.73	73086;12912;18750;19353;14784	rps6ka5;creb1;prkca;rac1;grb2	Rps6ka5_79179;Creb1_64373;Prkca_56923;Rac1_30873;Grb2_31853,Grb2_29420	12912(-0.3088);19353(0.02082);14784(-0.8492)	12.158189	11.5426	2.8669	8.108978773094982	14.783905898587586	8.071930489388942	6.889034	7.88409	1.54729	4.156456161892003	8.311458662806428	3.887917825550603	25.374061	25.318945	6.60506	13.210706244822978	27.911715852589424	12.827285483138937	0.5	4.99522	1.5	9.33307	24.0642;11.5426;2.8669;7.12354;15.193705000000001	11.0525;7.88409;1.54729;3.64681;10.31448	42.2953;20.9555;6.60506;31.6955;25.318945	1	3	1	12912	Creb1_64373	11.5426	11.5426		7.88409	7.88409		20.9555	20.9555		11.5426	7.88409	20.9555	3	73086;18750;19353	Rps6ka5_79179;Prkca_56923;Rac1_30873	11.351546666666666	7.12354	11.213314055288622	5.415533333333333	3.64681	4.993349673158623	26.865286666666663	31.6955	18.32884416564595	24.0642;2.8669;7.12354	11.0525;1.54729;3.64681	42.2953;6.60506;31.6955	1	14784	Grb2_31853,Grb2_29420	6.23831,24.1491	4.55056,16.0784	9.55159,41.0863	Exp 4,1(0.17);Hill,1(0.17);Linear,2(0.34);Poly 2,1(0.17);Power,1(0.17)	3.0089807252619027	21.781623125076294	1.8960580825805664	7.226904392242432	2.5546661408558013	2.040991425514221	5.050355716220657	19.266022283779343	3.245739538792551	10.532328461207449	13.794366419871572	36.95375558012842	DOWN	0.2	0.6	0.2	
1750	Statin pathway	12	26	8	8	2	7	7	7	7	2	2	892	24	8069	0.51394	0.74645	1.0	7.69	15357;20652	hmgcr;soat1	Hmgcr_29103,Hmgcr_74943;Soat1_75191		3.6967099999999995	3.6967099999999995	2.95842	1.044099730964433	4.100924511312475	0.8737079065047068	2.2738375	2.2738375	1.63399	0.9048810123505181	2.6241546443836548	0.7572089825234936	7.904095	7.904095	6.87303	1.4581461066882155	8.46860411580327	1.2201839962890972	0.5	3.6967099999999995			4.435;2.95842	2.9136849999999996;1.63399	8.93516;6.87303	1	2	1	20652	Soat1_75191	2.95842	2.95842		1.63399	1.63399		6.87303	6.87303		2.95842	1.63399	6.87303	1	15357	Hmgcr_29103,Hmgcr_74943	4.435	4.435		2.9136849999999996	2.9136849999999996		8.93516	8.93516		4.435	2.9136849999999996	8.93516	0						Exp 4,1(0.34);Hill,1(0.34);Linear,1(0.34)	10.658798120773849	46.859424114227295	2.6401267051696777	27.602096557617188	12.510838462978338	16.61720085144043	2.2496615999999996	5.143758399999999	1.0197364000000004	3.5279385999999997	5.8832076	9.9249824	CONFLICT	0.5	0.5	0.0	
1752	Inflammatory response pathway	16	30	11	11	3	10	10	9	9	3	3	891	27	8066	0.65119	0.58529	1.0	10.0	12524;12825;12843	cd86;col3a1;col1a2	Cd86_30480;Col3a1_72032;Col1a2_31136,Col1a2_63239	12843(-0.03007)	31.622366666666665	29.701	26.1617	6.633436004314317	33.65071300316352	7.30645366403565	18.0702	16.4902	14.6289	4.447043927149809	19.499312370459254	4.870518652620576	41.4784	42.1704	39.807	1.454590375328914	40.97264677648086	1.5676003583568088	0.5	27.931350000000002	2.0	39.0044	39.0044;26.1617;29.701	23.0915;14.6289;16.4902	39.807;42.4578;42.1704	1	3	1	12524	Cd86_30480	39.0044	39.0044		23.0915	23.0915		39.807	39.807		39.0044	23.0915	39.807	2	12825;12843	Col3a1_72032;Col1a2_31136,Col1a2_63239	27.931350000000002	27.931350000000002	2.5026630306534874	15.559550000000002	15.559550000000002	1.3161378518224907	42.314099999999996	42.314099999999996	0.2032224889142678	26.1617;29.701	14.6289;16.4902	42.4578;42.1704	0						Power,4(1)	3.5167825695962183	15.469372749328613	2.130584716796875	5.527369499206543	1.8535322968319352	3.9057092666625977	24.115927183690353	39.12880614964298	13.037896063461456	23.102503936538543	39.83237603627651	43.124423963723494	DOWN	0.3333333333333333	0.6666666666666666	0.0	
