234	Jak-STAT signaling pathway	114	193	77	75	29	73	72	70	77	29	29	1050	164	7744	0.91829	0.11828	0.21681	15.03	209590;53603;57914;16194;104831;19245;19274;19271;19250;24000;19275;67296;216233;545622;16192;19116;16161;15968;20847;59004;16196;20848;56324;19263;15979;12444;12443;18710;14784	il23r;tslp;crlf2;il6ra;ptpn23;ptp4a3;ptprm;ptprj;ptpn14;ptpn21;ptprn;socs4;socs2;ptpn3;il5ra;prlr;il12rb1;ifna5;stat2;pias4;il7;stat3;stam2;ptprb;ifngr1;ccnd2;ccnd1;pik3r3;grb2	Il23r_60720;Tslp_29582;Crlf2_61760;Il6ra_62179;Ptpn23_59133;Ptp4a3_57007;Ptprm_64602;Ptprj_62119;Ptpn14_59438;Ptpn21_77516;Ptprn_71032;Socs4_56930;Socs2_76117;Ptpn3_71765,Ptpn3_78179;Il5ra_55431;Gm21973_80717;Il12rb1_80264;Ifna5_56192;Stat2_70852;Pias4_78475;Il7_76519;Stat3_30075;Stam2_76458;Ptprb_57291;Ifngr1_30524,Ifngr1_72038;Ccnd2_30507,Ccnd2_65355;Ccnd1_31337;Pik3r3_29609,Gm49337_78417;Grb2_31853,Grb2_29420	216233(-0.3638);545622(0.3693);15979(0.1139);12444(0.4772);14784(-0.811)	28.33745862068966	21.5876	3.43337	20.585555746750593	32.52179237250961	20.69876753521775	17.299920862068966	15.478	1.89717	11.306648780296426	19.955562148848085	10.795859507079518	40.15196051724138	37.0079	7.90739	20.815854484766373	45.29744586696399	20.353126250617592	8.5	17.57815	18.5	29.144849999999998	39.5916;21.5876;14.9455;76.3296;29.1491;21.4781;74.4288;5.62493;10.356;4.98935;20.4401;16.4351;20.6791;32.49175;29.1406;70.3308;41.1662;26.3778;18.7212;3.43337;19.6972;13.1499;13.4275;69.6793;30.231450000000002;8.43165;37.3253;25.2347;26.9127	21.9508;18.5176;10.9626;40.0724;18.6185;15.478;38.7196;2.19221;5.1087;2.96893;14.0124;11.6051;13.7868;20.70635;21.3329;38.2147;32.8624;16.9911;13.0024;1.89717;6.82396;9.48897;9.25263;40.6367;17.9312;6.060525;21.5395;16.274;14.68956	75.3702;34.3398;22.8296;78.9688;65.613;35.0064;76.3596;18.2589;18.5121;10.4473;36.7306;27.2786;37.0079;38.64165;41.3808;71.7533;54.2629;40.7962;32.4572;7.90739;33.3247;20.6695;23.0714;71.0797;58.644850000000005;13.379265;40.9782;42.23935;37.09765	15	15	15	209590;57914;16194;104831;19245;19250;24000;19275;16192;19116;16161;15968;59004;19263;12443	Il23r_60720;Crlf2_61760;Il6ra_62179;Ptpn23_59133;Ptp4a3_57007;Ptpn14_59438;Ptpn21_77516;Ptprn_71032;Il5ra_55431;Gm21973_80717;Il12rb1_80264;Ifna5_56192;Pias4_78475;Ptprb_57291;Ccnd1_31337	32.98218133333333	29.1406	23.3097686644557	20.17645333333333	18.6185	12.87836945685376	44.775766	40.9782	23.84495726665547	39.5916;14.9455;76.3296;29.1491;21.4781;10.356;4.98935;20.4401;29.1406;70.3308;41.1662;26.3778;3.43337;69.6793;37.3253	21.9508;10.9626;40.0724;18.6185;15.478;5.1087;2.96893;14.0124;21.3329;38.2147;32.8624;16.9911;1.89717;40.6367;21.5395	75.3702;22.8296;78.9688;65.613;35.0064;18.5121;10.4473;36.7306;41.3808;71.7533;54.2629;40.7962;7.90739;71.0797;40.9782	12	53603;19274;19271;67296;216233;545622;20847;16196;20848;56324;15979;18710	Tslp_29582;Ptprm_64602;Ptprj_62119;Socs4_56930;Socs2_76117;Ptpn3_71765,Ptpn3_78179;Stat2_70852;Il7_76519;Stat3_30075;Stam2_76458;Ifngr1_30524,Ifngr1_72038;Pik3r3_29609,Gm49337_78417	24.309102499999998	20.18815	17.43033878576981	14.858401666666671	13.3946	9.188966738728102	36.8577875	33.83225	16.501316525564715	21.5876;74.4288;5.62493;16.4351;20.6791;32.49175;18.7212;19.6972;13.1499;13.4275;30.231450000000002;25.2347	18.5176;38.7196;2.19221;11.6051;13.7868;20.70635;13.0024;6.82396;9.48897;9.25263;17.9312;16.274	34.3398;76.3596;18.2589;27.2786;37.0079;38.64165;32.4572;33.3247;20.6695;23.0714;58.644850000000005;42.23935	2	12444;14784	Ccnd2_30507,Ccnd2_65355;Grb2_31853,Grb2_29420	3.4912,13.3721;20.8,33.0254	2.48504,9.63601;9.09442,20.2847	5.66893,21.0896;38.3172,35.8781	Exp 2,4(0.12);Exp 3,2(0.06);Exp 4,3(0.09);Exp 5,3(0.09);Hill,7(0.21);Linear,7(0.21);Poly 2,1(0.03);Power,7(0.21)	5.303097686629989	225.2205272912979	1.5269925594329834	20.74627113342285	4.693760745654066	5.494643449783325	20.845080818217056	35.82983642316224	13.184720603012625	21.415121121125306	32.575762526775115	47.728158507707654	CONFLICT	0.5172413793103449	0.41379310344827586	0.06896551724137931	
235	Cytokine-cytokine receptor interaction	96	254	65	65	25	58	60	56	62	23	23	1056	231	7677	0.081644	0.94585	0.16953	9.06	209590;53603;57914;16325;16194;11479;16192;21940;14563;19116;16161;21942;15968;12168;11477;66102;20293;20310;13051;16196;14825;22340;15979	il23r;tslp;crlf2;inhbc;il6ra;acvr1b;il5ra;cd27;gdf5;prlr;il12rb1;tnfrsf9;ifna5;bmpr2;acvr1;cxcl16;ccl12;cxcl2;cx3cr1;il7;cxcl1;vegfb;ifngr1	Il23r_60720;Tslp_29582;Crlf2_61760;Inhbc_61652;Il6ra_62179;Acvr1b_62134;Il5ra_55431;Cd27_30589,Cd27_31907;Gdf5_66582;Gm21973_80717;Il12rb1_80264;Tnfrsf9_66723;Ifna5_56192;Bmpr2_57284;Acvr1_80716;Cxcl16_69697;Ccl12_30706;Cxcl2_63751;Cx3cr1_67709;Il7_76519;Cxcl1_29501;Vegfb_60996;Ifngr1_30524,Ifngr1_72038	11477(0.2332);15979(0.1139)	38.64353913043478	33.6625	2.94026	24.248480573211342	41.882591959947426	22.921487933613964	23.378354347826086	21.392	1.96663	13.027977333646522	25.19846923570426	11.862702999884835	48.52573434782608	45.2218	5.15301	22.90394767081191	52.2140815979595	21.005196873285023	11.5	35.15515			39.5916;21.5876;14.9455;74.2599;76.3296;9.65864;29.1406;55.96235;70.261;70.3308;41.1662;42.8951;26.3778;20.7151;20.3188;2.94026;73.3003;33.6625;73.9732;19.6972;36.6478;4.8081;30.231450000000002	21.9508;18.5176;10.9626;41.6597;40.0724;6.1959;21.3329;28.0974;39.2294;38.2147;32.8624;34.0617;16.9911;17.2598;13.9423;1.96663;37.9093;26.7364;41.5865;6.82396;21.392;2.00546;17.9312	75.3702;34.3398;22.8296;76.1506;78.9688;14.5051;41.3808;58.19815;73.0355;71.7533;54.2629;60.3674;40.7962;34.3432;36.4172;5.15301;75.0086;45.2218;75.8018;33.3247;40.5761;9.64228;58.644850000000005	19	6	18	209590;57914;16325;16194;11479;16192;21940;14563;19116;16161;21942;15968;66102;20293;20310;13051;14825;22340	Il23r_60720;Crlf2_61760;Inhbc_61652;Il6ra_62179;Acvr1b_62134;Il5ra_55431;Cd27_30589,Cd27_31907;Gdf5_66582;Gm21973_80717;Il12rb1_80264;Tnfrsf9_66723;Ifna5_56192;Cxcl16_69697;Ccl12_30706;Cxcl2_63751;Cx3cr1_67709;Cxcl1_29501;Vegfb_60996	43.12506944444445	40.3789	25.663412624101177	25.734849444444443	27.4169	13.677467055451835	51.05678555555555	56.230525	24.903598236757638	39.5916;14.9455;74.2599;76.3296;9.65864;29.1406;55.96235;70.261;70.3308;41.1662;42.8951;26.3778;2.94026;73.3003;33.6625;73.9732;36.6478;4.8081	21.9508;10.9626;41.6597;40.0724;6.1959;21.3329;28.0974;39.2294;38.2147;32.8624;34.0617;16.9911;1.96663;37.9093;26.7364;41.5865;21.392;2.00546	75.3702;22.8296;76.1506;78.9688;14.5051;41.3808;58.19815;73.0355;71.7533;54.2629;60.3674;40.7962;5.15301;75.0086;45.2218;75.8018;40.5761;9.64228	5	53603;12168;11477;16196;15979	Tslp_29582;Bmpr2_57284;Acvr1_80716;Il7_76519;Ifngr1_30524,Ifngr1_72038	22.51003	20.7151	4.370539988033515	14.894972000000001	17.2598	4.8472503599381	39.41395	34.3432	10.80909911509745	21.5876;20.7151;20.3188;19.6972;30.231450000000002	18.5176;17.2598;13.9423;6.82396;17.9312	34.3398;34.3432;36.4172;33.3247;58.644850000000005	0						Exp 2,4(0.16);Exp 4,1(0.04);Exp 5,2(0.08);Hill,6(0.24);Linear,2(0.08);Power,10(0.4)	4.5066982062058205	128.3740838766098	1.6138761043548584	12.751500129699707	2.7935243467779673	4.092093467712402	28.733470002179622	48.55360825868993	18.053973070080744	28.702735625571435	39.16516002060652	57.88630867504564	UP	0.782608695652174	0.21739130434782608	0.0	
236	Neuroactive ligand-receptor interaction	47	262	26	24	10	26	24	23	26	10	10	1069	252	7656	2.3799E-6	1.0	4.3844E-6	3.82	12257;93742;17171;14805;19116;18442;54393;14063;19222;21833	tspo;pard3;mas1;grik1;prlr;p2ry2;gabbr1;f2rl1;ptgir;thra	Tspo_58527;Pard3_79579;Mas1_79151;Grik1_64849;Gm21973_80717;P2ry2_69847;Gabbr1_69306;F2rl1_58788;Ptgir_54940;Thra_73986	14805(0.4704);54393(0.4497)	38.136085	22.813850000000002	2.53837	30.73306256855247	41.59981203277363	31.559137842319412	21.925493000000003	16.05005	1.01299	17.170379953722012	23.108981828711407	17.437165294258143	44.999573	34.7543	9.72503	26.727598058036502	47.91951069281263	27.13694127566942					25.8505;19.7772;73.9982;8.57678;70.3308;75.804;14.7009;2.53837;72.1849;17.5992	19.6281;12.472;41.9917;4.29221;38.2147;44.4086;6.11723;1.01299;38.9882;12.1292	35.8307;33.6779;75.832;23.039;71.7533;78.1883;20.7707;9.72503;73.7524;27.4264	7	3	7	12257;93742;17171;19116;18442;54393;19222	Tspo_58527;Pard3_79579;Mas1_79151;Gm21973_80717;P2ry2_69847;Gabbr1_69306;Ptgir_54940	50.378071428571424	70.3308	28.545032027640968	28.83150428571429	38.2147	15.680740729861213	55.68647142857143	71.7533	24.475958734284163	25.8505;19.7772;73.9982;70.3308;75.804;14.7009;72.1849	19.6281;12.472;41.9917;38.2147;44.4086;6.11723;38.9882	35.8307;33.6779;75.832;71.7533;78.1883;20.7707;73.7524	3	14805;14063;21833	Grik1_64849;F2rl1_58788;Thra_73986	9.57145	8.57678	7.579523492865499	5.811466666666667	4.29221	5.711710497340822	20.06347666666667	23.039	9.218184707394034	8.57678;2.53837;17.5992	4.29221;1.01299;12.1292	23.039;9.72503;27.4264	0						Exp 2,1(0.1);Exp 5,1(0.1);Hill,4(0.4);Power,4(0.4)	5.1012434005887295	59.160295486450195	2.0174717903137207	12.031635284423828	3.244682851181162	5.269906044006348	19.087535470938263	57.18463452906174	11.283181246925409	32.56780475307459	28.43363609521784	61.56550990478216	UP	0.7	0.3	0.0	
237	ECM-receptor interaction	52	83	36	36	14	36	34	34	36	14	14	1065	69	7839	0.93236	0.11779	0.17384	16.87	20750;12505;245026;12834;12833;12832;12831;16423;320910;16410;16402;16400;22371;12843	spp1;cd44;col6a6;col6a2;col6a1;col5a2;col5a1;cd47;itgb8;itgav;itga5;itga3;vwf;col1a2	Spp1_63793;Cd44_29635;Col6a6_62163;Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_31305;Col5a1_64844;Cd47_57906;Itgb8_57829;Itgav_68117;Itga5_61476;Itga3_73165;Vwf_65542;Col1a2_75004	20750(0.1835);12505(-0.7475);12832(0.3478);16410(0.04088);12843(0.4495)	25.701196428571425	19.1582	11.9992	17.8635099803446	29.3389437559438	21.955602578075233	16.516294285714284	14.8859	7.25755	9.037237036127221	18.385861096106293	11.2592335276349	34.550464285714284	28.24945	18.548	19.08141617477015	36.876051652492094	20.30661664003002	3.5	15.9622	7.5	20.84915	19.3736;15.4925;70.8989;25.1332;27.96025;18.1254;18.9428;15.9983;12.935;22.3247;61.6714;11.9992;15.9261;23.0354	14.2682;11.0109;39.3298;15.7136;18.5862;13.7622;15.5036;7.25755;7.292;18.876;31.5271;8.71827;11.2856;18.0971	23.4839;25.2903;72.3511;37.1793;35.789699999999996;18.8716;20.31;25.7048;30.3037;34.3671;81.6268;18.548;26.1952;33.685	3	12	3	12505;245026;22371	Cd44_29635;Col6a6_62163;Vwf_65542	34.10583333333333	15.9261	31.864467958736316	20.5421	11.2856	16.271205194760466	41.278866666666666	26.1952	26.91314686623126	15.4925;70.8989;15.9261	11.0109;39.3298;11.2856	25.2903;72.3511;26.1952	11	20750;12834;12833;12832;12831;16423;320910;16410;16402;16400;12843	Spp1_63793;Col6a2_31834;Col6a1_29782,Col6a1_67900;Col5a2_31305;Col5a1_64844;Cd47_57906;Itgb8_57829;Itgav_68117;Itga5_61476;Itga3_73165;Col1a2_75004	23.409022727272724	19.3736	13.593997905314023	15.418347272727273	15.5036	6.858174365010111	32.71544545454546	30.3037	17.64034121707194	19.3736;25.1332;27.96025;18.1254;18.9428;15.9983;12.935;22.3247;61.6714;11.9992;23.0354	14.2682;15.7136;18.5862;13.7622;15.5036;7.25755;7.292;18.876;31.5271;8.71827;18.0971	23.4839;37.1793;35.789699999999996;18.8716;20.31;25.7048;30.3037;34.3671;81.6268;18.548;33.685	0						Exp 2,1(0.07);Exp 3,1(0.07);Exp 5,2(0.14);Hill,7(0.47);Linear,3(0.2);Power,1(0.07)	7.134339577917855	141.78528952598572	2.19754958152771	35.78193664550781	8.677753667901193	5.91162109375	16.343717658538132	35.05867519860472	11.782300025998943	21.250288545429626	24.55500723645317	44.5459213349754	DOWN	0.21428571428571427	0.7857142857142857	0.0	
238	Cell adhesion molecules (CAMs)	54	130	34	33	17	33	32	31	33	16	16	1063	114	7794	0.60787	0.49826	0.89183	12.31	66797;20612;71908;18417;19274;17967;20339;15040;110557;15013;15007;14972;22329;320910;16410;16409	cntnap2;siglec1;cldn23;cldn11;ptprm;ncam1;sele;h2-t23;h2-q6;h2-q2;h2-q10;h2-k1;vcam1;itgb8;itgav;itgam	Cntnap2_72045;Siglec1_74052;Cldn23_70383;Cldn11_30227;Ptprm_64602;Ncam1_71673,Ncam1_73451;Sele_72550;H2-T23_30494;H2-Q6_31131;H2-Q2_77115;H2-Q10_68579;H2-K1_70796,H2-K1_75900;Vcam1_80236;Itgb8_57829;Itgav_68117;Gm49368_79325	15040(0.1138);14972(-0.7725);22329(0.477);16410(0.04088);16409(-0.04035)	48.324396562500006	52.792100000000005	3.010395	24.99740433198659	57.21913390580861	21.72285042299605	29.377862500000003	35.2284	1.40945	13.42729869137869	33.96807290978596	10.983745547085002	55.46931718749999	66.38015	7.853275	21.728217381807024	63.30942794752154	18.855487437032256	5.5	36.0301	12.0	71.3743	71.3743;33.9113;38.1489;71.8408;74.4288;30.11145;70.7681;41.5823;68.8025;64.0019;74.7726;3.010395;24.484;12.935;22.3247;70.6933	41.6889;20.0109;30.3453;40.9852;38.7196;16.92065;40.2834;32.7097;39.4097;37.7471;42.8524;1.40945;19.8549;7.292;18.876;40.9406	72.8713;35.7618;51.7323;73.3757;76.3596;45.9483;72.2243;60.9926;71.7677;73.1908;76.794;7.853275;31.8216;30.3037;34.3671;72.145	12	6	11	66797;20612;71908;18417;20339;15040;110557;15013;15007;14972;16409	Cntnap2_72045;Siglec1_74052;Cldn23_70383;Cldn11_30227;Sele_72550;H2-T23_30494;H2-Q6_31131;H2-Q2_77115;H2-Q10_68579;H2-K1_70796,H2-K1_75900;Gm49368_79325	55.355126818181816	68.8025	23.063826835261136	33.48933181818182	39.4097	12.598522996015701	60.791706818181815	72.145	21.459835140490057	71.3743;33.9113;38.1489;71.8408;70.7681;41.5823;68.8025;64.0019;74.7726;3.010395;70.6933	41.6889;20.0109;30.3453;40.9852;40.2834;32.7097;39.4097;37.7471;42.8524;1.40945;40.9406	72.8713;35.7618;51.7323;73.3757;72.2243;60.9926;71.7677;73.1908;76.794;7.853275;72.145	5	19274;17967;22329;320910;16410	Ptprm_64602;Ncam1_71673,Ncam1_73451;Vcam1_80236;Itgb8_57829;Itgav_68117	32.856790000000004	24.484	24.050338646846534	20.33263	18.876	11.425085349878142	43.760059999999996	34.3671	19.231137197862225	74.4288;30.11145;24.484;12.935;22.3247	38.7196;16.92065;19.8549;7.292;18.876	76.3596;45.9483;31.8216;30.3037;34.3671	0						Exp 2,3(0.17);Exp 4,2(0.12);Hill,6(0.34);Power,7(0.39)	5.862247768422281	116.36903929710388	2.5925307273864746	13.076940536499023	2.906543551905919	5.944956064224243	36.075668439826565	60.57312468517343	22.79848614122444	35.957238858775554	44.82249067041457	66.11614370458543	UP	0.6875	0.3125	0.0	
239	Transcriptional activation of dbpB from mRNA	2	4	2	2	0	2	2	2	2	0	0	1079	4	7904	0.59947	1.0	1.0	0.0																														0	0	0															0															0																							
24	Hypoxia and p53 in the cardiovascular system	21	22	17	16	7	15	16	15	17	7	7	1072	15	7893	0.99714	0.011797	0.011797	31.82	81489;270627;22209;15251;193740;18036;12028	dnajb1;taf1;ube2a;hif1a;hspa1a;nfkbib;bax	Dnajb1_30167;Taf1_59792;Ube2a_29659;Hif1a_30830;Hspa1a_69206;Nfkbib_31167,Nfkbib_70947;Bax_29957	18036(0.4023)	24.009764285714287	21.9682	3.19381	17.361833534138277	21.127434983689152	17.609700773248576	15.438704285714286	14.3308	2.30606	10.394247774293008	13.044622273828363	9.582190448047811	39.281951428571425	36.8434	4.99101	25.268315068797403	33.52274283324182	23.510557489385633	0.5	5.412575	1.5	11.22887	39.9244;29.3766;3.19381;21.9682;14.8264;51.1476;7.63134	28.9307;19.9345;2.30606;14.3308;10.5847;27.130499999999998;4.85367	64.8928;58.2954;4.99101;36.8434;23.9319;69.16555;16.8536	4	2	4	81489;270627;193740;12028	Dnajb1_30167;Taf1_59792;Hspa1a_69206;Bax_29957	22.939684999999997	22.1015	14.492357048673396	16.075892500000002	15.259599999999999	10.586570118357105	40.993425	41.11365	24.113379762056717	39.9244;29.3766;14.8264;7.63134	28.9307;19.9345;10.5847;4.85367	64.8928;58.2954;23.9319;16.8536	2	22209;15251	Ube2a_29659;Hif1a_30830	12.581005	12.581005	13.275498481640906	8.31843	8.31843	8.502775196005125	20.917205000000003	20.917205000000003	22.523040965998575	3.19381;21.9682	2.30606;14.3308	4.99101;36.8434	1	18036	Nfkbib_31167,Nfkbib_70947	40.2105,62.0847	19.4406,34.8204	58.551,79.7801	Exp 2,1(0.13);Exp 5,1(0.13);Hill,1(0.13);Linear,1(0.13);Poly 2,3(0.38);Power,1(0.13)	4.418399048934678	40.47707748413086	2.4803833961486816	11.924633979797363	3.188561956057978	3.855631113052368	11.147938011793459	36.871590559635116	7.738537776331822	23.138870795096746	20.562921666505535	58.00098119063732	CONFLICT	0.5714285714285714	0.2857142857142857	0.14285714285714285	
240	SUMOylation as a mechanism to modulate CtBP-dependent gene responses	9	11	6	6	2	6	6	6	6	2	2	1077	9	7899	0.86331	0.3876	0.63229	18.18	22209;22201	ube2a;uba1	Ube2a_29659;Uba1_75325		8.783505	8.783505	3.19381	7.905022478529078	10.3046351147541	7.606688289526941	6.2988800000000005	6.2988800000000005	2.30606	5.6467001961145415	7.385450688524591	5.433594701712521	14.009805	14.009805	4.99101	12.75450220526266	16.464100032786888	12.273149485283934	0.0	3.19381	0.5	8.783505	3.19381;14.3732	2.30606;10.2917	4.99101;23.0286	0	2	0															2	22209;22201	Ube2a_29659;Uba1_75325	8.783505	8.783505	7.905022478529078	6.2988800000000005	6.2988800000000005	5.6467001961145415	14.009805	14.009805	12.75450220526266	3.19381;14.3732	2.30606;10.2917	4.99101;23.0286	0						Linear,1(0.5);Poly 2,1(0.5)	2.3695361138062667	4.744025945663452	2.2636425495147705	2.4803833961486816	0.15325892241495206	2.372012972831726	-2.172297199999999	19.739307200000002	-1.5270471999999993	14.1248072	-3.6670331999999988	31.6866432	DOWN	0.0	1.0	0.0	
241	Antisense RNA pathway	4	4	4	4	1	4	4	4	4	1	1	1078	3	7905	0.92677	0.40053	0.40053	25.0	56417	adar	Adar_60088		21.8327	21.8327	21.8327		21.8327		17.8466	17.8466	17.8466		17.8466		36.1898	36.1898	36.1898		36.1898		0.0	21.8327	0.0	21.8327	21.8327	17.8466	36.1898	0	1	0															1	56417	Adar_60088	21.8327	21.8327		17.8466	17.8466		36.1898	36.1898		21.8327	17.8466	36.1898	0						Hill,1(1)	2.789878368377685	2.7898783683776855	2.7898783683776855	2.7898783683776855	0.0	2.7898783683776855	21.8327	21.8327	17.8466	17.8466	36.1898	36.1898	DOWN	0.0	1.0	0.0	
242	Polyadenylation of mRNA	9	9	7	7	2	7	7	7	7	2	2	1077	7	7901	0.91673	0.29533	0.29533	22.22	18789;67337	papola;cstf1	Papola_64202;Cstf1_58091	18789(-0.8776)	13.71405	13.71405	12.7547	1.3567257810626514	13.87363734297678	1.3378223368307287	8.04424	8.04424	6.59123	2.0548664482637204	8.285947411496004	2.0262357154723576	20.5717	20.5717	20.0502	0.737512372777571	20.484948762847356	0.7272365129068535	0.0	12.7547	0.0	12.7547	14.6734;12.7547	9.49725;6.59123	20.0502;21.0932	0	2	0															2	18789;67337	Papola_64202;Cstf1_58091	13.71405	13.71405	1.3567257810626514	8.04424	8.04424	2.0548664482637204	20.5717	20.5717	0.737512372777571	14.6734;12.7547	9.49725;6.59123	20.0502;21.0932	0						Exp 5,2(1)	10.85631720168723	24.092161655426025	6.826076984405518	17.266084671020508	7.38220023084514	12.046080827713013	11.833724	15.594376	5.196340400000001	10.8921396	19.54956	21.59384	DOWN	0.0	1.0	0.0	
243	Internal ribosome entry pathway	7	7	4	4	1	4	4	4	4	1	1	1078	6	7902	0.79865	0.59166	0.59166	14.29	208643	eif4g1	Eif4g1_78560	208643(-0.8229)	31.643	31.643	31.643		31.643		19.7926	19.7926	19.7926		19.7926		77.1682	77.1682	77.1682		77.1682		0.0	31.643	0.0	31.643	31.643	19.7926	77.1682	0	1	0															1	208643	Eif4g1_78560	31.643	31.643		19.7926	19.7926		77.1682	77.1682		31.643	19.7926	77.1682	0						Linear,1(1)	7.4468278884887695	7.4468278884887695	7.4468278884887695	7.4468278884887695	0.0	7.4468278884887695	31.643	31.643	19.7926	19.7926	77.1682	77.1682	DOWN	0.0	1.0	0.0	
244	Downregulation of MTA-3 in ER-negative breast tumors	12	18	5	5	3	5	5	5	5	2	2	1077	16	7892	0.63062	0.65457	1.0	11.11	22145;15507	tuba4a;hspb1	Tuba4a_29527,Tuba4a_75858;Hspb1_65345	22145(-0.02643)	27.8218	27.8218	18.085900000000002	13.768641821908219	23.115912554993763	12.05341214469435	18.19745	18.19745	13.7181	6.334757520615916	16.032337691246962	5.545604586153988	31.821725	31.821725	23.821550000000002	11.313955986358181	27.95480739707138	9.904518997183619	0.0	18.085900000000002	0.5	27.8218	18.085900000000002;37.5577	13.7181;22.6768	23.821550000000002;39.8219	3	0	2	22145;15507	Tuba4a_29527,Tuba4a_75858;Hspb1_65345	27.8218	27.8218	13.768641821908219	18.19745	18.19745	6.334757520615916	31.821725	31.821725	11.313955986358181	18.085900000000002;37.5577	13.7181;22.6768	23.821550000000002;39.8219	0															0						Hill,3(1)	11.210079950630528	41.249425411224365	6.661343097686768	26.65386390686035	11.193347931621426	7.934218406677246	8.739436000000005	46.904163999999994	9.417924000000001	26.976976	16.141382000000004	47.502067999999994	UP	1.0	0.0	0.0	
246	Transcriptional activity regulation by PML	15	17	9	9	0	8	8	8	9	0	0	1079	17	7891	0.11344	1.0	0.2517	0.0																														0	0	0															0															0																							
247	PPAR-gamma coactivator role in obesity and thermogenesis	7	9	5	5	1	5	5	5	5	1	1	1078	8	7900	0.70467	0.6839	1.0	11.11	16956	lpl	Lpl_31494		65.8348	65.8348	65.8348		65.8348		39.741	39.741	39.741		39.741		68.8304	68.8304	68.8304		68.8304		0.0	65.8348	0.0	65.8348	65.8348	39.741	68.8304	1	0	1	16956	Lpl_31494	65.8348	65.8348		39.741	39.741		68.8304	68.8304		65.8348	39.741	68.8304	0															0						Power,1(1)	10.562998771667482	10.56299877166748	10.56299877166748	10.56299877166748	0.0	10.56299877166748	65.8348	65.8348	39.741	39.741	68.8304	68.8304	UP	1.0	0.0	0.0	
248	Double stranded RNA-induced gene expression	11	12	9	8	2	9	8	8	9	2	2	1077	10	7898	0.8332	0.43177	0.64704	16.67	26921;53859	map4k4;map3k14	Map4k4_69844;Map3k14_66710	26921(-0.4958)	26.4308	26.4308	13.9039	17.715711874491525	31.98850915492958	15.876718335929002	17.91515	17.91515	10.2464	10.845250256448676	21.317482746478873	9.719450441741808	37.9081	37.9081	20.9706	23.953242212694306	45.422624647887325	21.466756884368635	0.0	13.9039	0.5	26.4308	38.9577;13.9039	25.5839;10.2464	54.8456;20.9706	2	0	2	26921;53859	Map4k4_69844;Map3k14_66710	26.4308	26.4308	17.715711874491525	17.91515	17.91515	10.845250256448676	37.9081	37.9081	23.953242212694306	38.9577;13.9039	25.5839;10.2464	54.8456;20.9706	0															0						Exp 2,1(0.5);Hill,1(0.5)	3.1569030862297827	6.374561548233032	2.7482800483703613	3.626281499862671	0.6208407802418436	3.187280774116516	1.8780760000000036	50.983524	2.884400000000003	32.945899999999995	4.7105999999999995	71.1056	UP	1.0	0.0	0.0	
249	E2F1 destruction pathway	10	11	7	7	2	7	7	7	7	2	2	1077	9	7899	0.86331	0.3876	0.63229	18.18	26965;27401	cul1;skp2	Cul1_29134,Cul1_31957;Skp2_29041	26965(-0.9311);27401(-0.1105)	12.6533	12.6533	6.264	9.035834714070416	8.977585479054689	7.390842611030462	9.22507	9.22507	4.14744	7.180853210712499	6.30394901288286	5.873564266358849	17.550649999999997	17.550649999999997	12.3366	7.3737802248914415	14.55104764951796	6.031368524884322	0.0	6.264	0.5	12.6533	19.0426;6.264	14.302700000000002;4.14744	22.764699999999998;12.3366	0	3	0															2	26965;27401	Cul1_29134,Cul1_31957;Skp2_29041	12.6533	12.6533	9.035834714070416	9.22507	9.22507	7.180853210712499	17.550649999999997	17.550649999999997	7.3737802248914415	19.0426;6.264	14.302700000000002;4.14744	22.764699999999998;12.3366	0						Hill,2(0.67);Poly 2,1(0.34)	3.4471187482203165	10.453145503997803	2.874377727508545	4.119688510894775	0.6230408508322054	3.4590792655944824	0.13027199999999972	25.176327999999998	-0.7270848000000001	19.1772248	7.331112000000001	27.770187999999994	DOWN	0.0	1.0	0.0	
