1691	Type I interferon (interferon-alpha/beta) pathway	33	46	12	11	4	12	10	10	12	4	4	633	42	8308	0.77524	0.4131	0.56564	8.7	19271;24000;19275;20847	ptprj;ptpn21;ptprn;stat2	Ptprj_62119;Ptpn21_64673;Ptprn_71032;Stat2_70852		10.771145	11.214604999999999	4.67917	5.100602200096898	8.91615877560241	3.4849288443906916	7.20375	7.749285	2.57743	3.6262476076425516	6.145933591867471	2.516452178519001	20.139674999999997	19.5974	10.9733	9.287114213207824	15.498457371987952	6.440724237355027	1.5	11.214604999999999			13.8079;4.67917;15.9762;8.62131	9.32297;2.57743;10.739;6.1756	25.4736;10.9733;30.3906;13.7212	2	2	2	24000;19275	Ptpn21_64673;Ptprn_71032	10.327685	10.327685	7.988206520267862	6.658215	6.658215	5.771101492128691	20.68195	20.68195	13.730104502333548	4.67917;15.9762	2.57743;10.739	10.9733;30.3906	2	19271;20847	Ptprj_62119;Stat2_70852	11.214604999999999	11.214604999999999	3.667472960234338	7.749285	7.749285	2.225526669903101	19.5974	19.5974	8.31020173521678	13.8079;8.62131	9.32297;6.1756	25.4736;13.7212	0						Exp 2,2(0.5);Exp 4,1(0.25);Linear,1(0.25)	1.9723165303556938	7.9021183252334595	1.8073443174362183	2.11456298828125	0.1290965106715995	1.9901055097579956	5.772554843905037	15.76973515609496	3.650027344510298	10.7574726554897	11.038303071056337	29.241046928943657	CONFLICT	0.5	0.5	0.0	
1692	Adrenergic pathway	73	133	26	25	13	23	23	20	25	10	10	627	123	8227	0.65763	0.47106	0.86404	7.52	14772;18799;14773;18797;14677;13649;104111;26416;23797;18749	grk4;plcd1;grk5;plcb3;gnai1;egfr;adcy3;mapk14;akt3;prkacb	Grk4_68031;Plcd1_61543;Grk5_58106;Plcb3_30260;Gnai1_31395;Egfr_66734;Adcy3_70392;Mapk14_31848;Akt3_31925;Prkacb_29599	14772(0.3987);13649(0.4645);18749(-0.4368)	10.532208	4.7249300000000005	1.09904	13.640604744844874	8.381821103696097	13.454991703201422	5.3190604	1.999695	0.776234	6.589045420858055	3.7773592378850105	5.470424521145165	18.699007	14.2124	1.75712	16.66656871630021	14.997087905287474	16.919081090056142	5.5	5.2797149999999995			4.39113;3.31571;42.5559;1.9814;1.09904;2.20277;5.05873;26.9493;12.2674;5.5007	1.84482;1.40407;15.4007;1.10717;0.776234;1.00212;2.46897;18.6235;8.40845;2.15457	13.9982;10.3813;55.2077;4.41915;1.75712;6.8387;14.4266;39.1137;21.6951;19.1525	2	8	2	18797;104111	Plcb3_30260;Adcy3_70392	3.5200649999999998	3.5200649999999998	2.1760009109487988	1.78807	1.78807	0.9629380146198406	9.422875000000001	9.422875000000001	7.076335757385313	1.9814;5.05873	1.10717;2.46897	4.41915;14.4266	8	14772;18799;14773;14677;13649;26416;23797;18749	Grk4_68031;Plcd1_61543;Grk5_58106;Gnai1_31395;Egfr_66734;Mapk14_31848;Akt3_31925;Prkacb_29599	12.28524375	4.945915	14.865754157267384	6.201808	1.999695	7.157839791754253	21.01804	16.57535	17.867686415992104	4.39113;3.31571;42.5559;1.09904;2.20277;26.9493;12.2674;5.5007	1.84482;1.40407;15.4007;0.776234;1.00212;18.6235;8.40845;2.15457	13.9982;10.3813;55.2077;1.75712;6.8387;39.1137;21.6951;19.1525	0						Exp 2,1(0.1);Exp 4,7(0.7);Hill,1(0.1);Power,1(0.1)	2.131533227707735	22.472163558006287	1.592160940170288	4.25211763381958	0.8593656435774673	1.9031913876533508	2.077673587461293	18.98674241253871	1.2351277373020206	9.402993062697979	8.368960687049405	29.029053312950598	DOWN	0.2	0.8	0.0	
1693	G alpha 13 pathway	54	64	19	19	6	19	19	19	19	6	6	631	58	8292	0.83422	0.29989	0.45831	9.38	102098;18806;16151;18035;23797;14083	arhgef18;pld2;ikbkg;nfkbia;akt3;ptk2	Arhgef18_64375;Pld2_73403;Ikbkg_80620;Nfkbia_29762;Akt3_31925;Ptk2_31747	18806(-0.7075);16151(0.3827);14083(-0.4945)	10.524673333333332	10.047039999999999	1.90049	7.688260732378078	13.125579608024282	8.541903325348281	6.9435355	7.059815	0.996673	5.1226691494057555	8.519952222515506	5.6390023697066525	20.90992	16.83435	4.8457	17.43191579658415	27.618546465179705	20.370731863062932	2.5	10.047039999999999			15.6755;1.90049;22.0802;7.82668;12.2674;3.39777	10.5732;0.996673;14.1839;5.71118;8.40845;1.78781	29.5146;4.8457;50.9069;11.9736;21.6951;6.52362	2	4	2	16151;18035	Ikbkg_80620;Nfkbia_29762	14.95344	14.95344	10.07876064777808	9.94754	9.94754	5.991117767094884	31.44025	31.44025	27.53000044397021	22.0802;7.82668	14.1839;5.71118	50.9069;11.9736	4	102098;18806;23797;14083	Arhgef18_64375;Pld2_73403;Akt3_31925;Ptk2_31747	8.31029	7.832585	6.711269792585204	5.44153325	5.09813	4.769454017114423	15.644755	14.10936	11.955388848050905	15.6755;1.90049;12.2674;3.39777	10.5732;0.996673;8.40845;1.78781	29.5146;4.8457;21.6951;6.52362	0						Exp 2,2(0.34);Exp 4,1(0.17);Exp 5,1(0.17);Linear,2(0.34)	2.303023748660562	14.706907629966736	1.6878247261047363	4.388065338134766	1.0430937410472634	1.9702287316322327	4.372783504091092	16.676563162575576	2.844546491200531	11.042524508799467	6.961482346007646	34.85835765399236	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1694	Myocyte adrenergic pathway	42	68	22	22	7	22	21	21	22	7	7	630	61	8289	0.8934	0.20504	0.33519	10.29	14772;14773;14677;26416;23797;18749;11555	grk4;grk5;gnai1;mapk14;akt3;prkacb;adrb2	Grk4_68031;Grk5_58106;Gnai1_31395;Mapk14_31848;Akt3_31925;Prkacb_29599;Adrb2_30408,Adrb2_74836	14772(0.3987);18749(-0.4368)	14.069775000000002	5.724955	1.09904	15.196333110579394	11.246676396071448	15.431511863785738	7.175054857142858	3.0171099999999997	0.776234	7.212252114903625	5.0592335886831545	6.207791249593304	23.11403428571429	19.1525	1.75712	18.224234920441198	18.792384812021876	19.009832873062187	2.5	5.6128275	5.5	34.7526	4.39113;42.5559;1.09904;26.9493;12.2674;5.5007;5.724955	1.84482;15.4007;0.776234;18.6235;8.40845;2.15457;3.0171099999999997	13.9982;55.2077;1.75712;39.1137;21.6951;19.1525;10.87392	0	8	0															7	14772;14773;14677;26416;23797;18749;11555	Grk4_68031;Grk5_58106;Gnai1_31395;Mapk14_31848;Akt3_31925;Prkacb_29599;Adrb2_30408,Adrb2_74836	14.069775000000002	5.724955	15.196333110579394	7.175054857142858	3.0171099999999997	7.212252114903625	23.11403428571429	19.1525	18.224234920441198	4.39113;42.5559;1.09904;26.9493;12.2674;5.5007;5.724955	1.84482;15.4007;0.776234;18.6235;8.40845;2.15457;3.0171099999999997	13.9982;55.2077;1.75712;39.1137;21.6951;19.1525;10.87392	0						Exp 2,1(0.13);Exp 4,4(0.5);Exp 5,1(0.13);Hill,1(0.13);Power,1(0.13)	2.584754940835387	21.65006935596466	1.592160940170288	4.25211763381958	0.8762444383795297	2.64220929145813	2.812173889806889	25.327376110193114	1.8321437202971582	12.517965993988554	9.613332124220491	36.61473644720809	DOWN	0.0	1.0	0.0	
1695	STAT3 pathway	14	19	7	6	1	7	6	6	7	1	1	636	18	8332	0.60584	0.75298	1.0	5.26	16193	il6	Il6_60343		19.4656	19.4656	19.4656		19.4656		10.575	10.575	10.575		10.575		34.9177	34.9177	34.9177		34.9177		0.0	19.4656			19.4656	10.575	34.9177	1	0	1	16193	Il6_60343	19.4656	19.4656		10.575	10.575		34.9177	34.9177		19.4656	10.575	34.9177	0															0						Power,1(1)	6.301594257354736	6.301594257354736	6.301594257354736	6.301594257354736	0.0	6.301594257354736	19.4656	19.4656	10.575	10.575	34.9177	34.9177	UP	1.0	0.0	0.0	
1698	Translation factors	46	50	25	25	8	23	24	23	24	7	7	630	43	8307	0.97682	0.061035	0.086099	14.0	74148;209354;67204;66085;13685;26905;225363	cluh;eif2b1;eif2s2;eif3f;eif4ebp1;eif2s3x;etf1	Cluh_67371;Eif2b1_72141;Eif2s2_80019;Eif3f_59086;Eif4ebp1_30076;Eif2s3x_31679;Etf1_64811	209354(0.2092);26905(-0.24)	11.27593	13.1994	1.32081	8.934126433809856	10.808135066178309	8.81417951933058	7.27286142857143	9.15156	0.82888	5.730059154716258	7.044465094758458	5.669626387549353	24.321271428571432	22.9913	2.48039	23.865243205816018	22.85775748272705	22.895942364012473	1.5	3.4906500000000005	4.0	13.3757	1.9228;19.3454;1.32081;13.3757;5.0585;24.7089;13.1994	1.12728;12.8186;0.82888;9.25618;2.76343;14.9641;9.15156	3.9952;39.7293;2.48039;23.419;8.26451;69.3692;22.9913	7	0	7	74148;209354;67204;66085;13685;26905;225363	Cluh_67371;Eif2b1_72141;Eif2s2_80019;Eif3f_59086;Eif4ebp1_30076;Eif2s3x_31679;Etf1_64811	11.27593	13.1994	8.934126433809856	7.27286142857143	9.15156	5.730059154716258	24.321271428571432	22.9913	23.865243205816018	1.9228;19.3454;1.32081;13.3757;5.0585;24.7089;13.1994	1.12728;12.8186;0.82888;9.25618;2.76343;14.9641;9.15156	3.9952;39.7293;2.48039;23.419;8.26451;69.3692;22.9913	0															0						Exp 2,1(0.15);Exp 4,2(0.29);Hill,1(0.15);Linear,3(0.43)	2.143180722790822	15.372837901115417	1.5896285772323608	3.138814926147461	0.5320851395686659	2.1581034660339355	4.657436516868615	17.89442348313139	3.0279742026723317	11.517748654470527	6.641651848385777	42.00089100875709	UP	1.0	0.0	0.0	
1699	Non-class A, B, C GPCRs	10	77	3	3	2	3	3	3	3	2	2	635	75	8275	0.082269	0.97649	0.17563	2.6	381413;11555	gpr176;adrb2	Gpr176_54232;Adrb2_30408,Adrb2_74836		29.4743775	29.4743775	5.724955	33.58675539802873	33.47809981256724	33.10605010348886	15.915804999999999	15.915804999999999	3.0171099999999997	18.24150940591403	18.09029126275016	17.980430595296426	32.91391	32.91391	10.87392	31.169252772567386	36.62945296664514	30.72314761423751					53.2238;5.724955	28.8145;3.0171099999999997	54.9539;10.87392	1	2	1	381413	Gpr176_54232	53.2238	53.2238		28.8145	28.8145		54.9539	54.9539		53.2238	28.8145	54.9539	1	11555	Adrb2_30408,Adrb2_74836	5.724955	5.724955		3.0171099999999997	3.0171099999999997		10.87392	10.87392		5.724955	3.0171099999999997	10.87392	0						Exp 3,1(0.34);Exp 4,1(0.34);Exp 5,1(0.34)	2.629864638665102	8.079474449157715	1.970754861831665	3.370332717895508	0.7008842783306731	2.738386869430542	-17.0744906	76.0232456	-9.365637200000002	41.1972472	-10.284470399999996	76.1122904	CONFLICT	0.5	0.5	0.0	
17	HIV-1 Nef as negative effector of Fas and TNF	53	57	21	20	7	21	19	19	21	7	7	630	50	8300	0.95359	0.10647	0.12141	12.28	101706;18035;12371;14102;11798;12370;14083	numa1;nfkbia;casp9;fas;xiap;casp8;ptk2	Numa1_64329;Nfkbia_29762;Casp9_66180;Fas_30425;Xiap_78640;Casp8_76424;Ptk2_31747	101706(-0.6538);12371(0.103);12370(0.4364);14083(-0.4945)	10.107495714285713	13.0657	3.39777	4.923852719222545	9.819403135546079	5.1111022704943645	6.6397699999999995	8.32685	1.57946	3.7055643012817017	6.354641595401446	3.806070733823617	19.11381714285714	23.5712	6.52362	8.408579762365179	18.89131451511218	8.891500363572586	1.5	5.96795	4.5	13.531849999999999	13.2089;7.82668;13.8548;15.2894;4.10922;13.0657;3.39777	9.04732;5.71118;9.31347;10.7123;1.57946;8.32685;1.78781	23.5712;11.9736;25.7734;26.5546;12.8278;26.5725;6.52362	2	5	2	18035;14102	Nfkbia_29762;Fas_30425	11.55804	11.55804	5.276939918096473	8.21174	8.21174	3.536325865527664	19.2641	19.2641	10.310323976481056	7.82668;15.2894	5.71118;10.7123	11.9736;26.5546	5	101706;12371;11798;12370;14083	Numa1_64329;Casp9_66180;Xiap_78640;Casp8_76424;Ptk2_31747	9.527277999999999	13.0657	5.285083686065906	6.010982	8.32685	3.967448456246155	19.053704000000003	23.5712	8.914304002505185	13.2089;13.8548;4.10922;13.0657;3.39777	9.04732;9.31347;1.57946;8.32685;1.78781	23.5712;25.7734;12.8278;26.5725;6.52362	0						Exp 2,4(0.58);Exp 4,1(0.15);Exp 5,1(0.15);Linear,1(0.15)	2.212880464360253	16.598202347755432	1.573533535003662	4.388065338134766	1.0336828006200656	1.9715685844421387	6.459854573821556	13.755136854749871	3.894649549661944	9.384890450338057	12.884654082325866	25.342980203388414	DOWN	0.2857142857142857	0.7142857142857143	0.0	
170	Degradation of the RAR/RXR heterodimer by the proteasome	3	3	1	1	0	1	1	1	1	0	0	637	3	8347	0.80205	1.0	1.0	0.0																														0	0	0															0															0																							
1700	Matrix metalloproteinases	16	28	4	4	3	4	4	4	4	3	3	634	25	8325	0.86707	0.31885	0.44609	10.71	118453;17389;17386	mmp28;mmp16;mmp13	Mmp28_72671;Mmp16_67208;Mmp13_58125		9.377121	11.5369	0.288763	8.223992443583773	4.696410421352075	8.158298499555716	6.267929666666667	8.13899	0.152099	5.427813864580319	3.0933028425925926	5.397132163908248	17.912410333333334	19.1941	0.737431	16.571350275862265	9.233383358879964	16.182802527234326	0.5	5.912831499999999	1.5	13.9213	11.5369;16.3057;0.288763	8.13899;10.5127;0.152099	19.1941;33.8057;0.737431	2	1	2	118453;17386	Mmp28_72671;Mmp13_58125	5.912831499999999	5.912831499999999	7.953633948415308	4.1455445	4.1455445	5.647584786697807	9.9657655	9.9657655	13.050835808015533	11.5369;0.288763	8.13899;0.152099	19.1941;0.737431	1	17389	Mmp16_67208	16.3057	16.3057		10.5127	10.5127		33.8057	33.8057		16.3057	10.5127	33.8057	0						Exp 2,1(0.34);Exp 4,1(0.34);Linear,1(0.34)	2.9415898737368384	10.525822520256042	1.7704402208328247	6.565677642822266	2.655786894578409	2.189704656600952	0.07079746781157858	18.683444532188417	0.12578006684647125	12.410079266486864	-0.8398378101717974	36.66465847683847	UP	0.6666666666666666	0.3333333333333333	0.0	
1701	Phase I of biological oxidations: non-cytochrome P450 enzymes	4	7	1	1	1	0	1	0	1	0	0	637	7	8343	0.59762	1.0	1.0	0.0																														0	0	0															0															0																							
1702	Fatty acid beta oxidation	26	34	10	10	3	10	10	10	10	3	3	634	31	8319	0.78166	0.43695	0.7315	8.82	93747;11370;11364	echs1;acadvl;acadm	Echs1_78943;Acadvl_29377;Acadm_31166	11364(0.09383)	22.688133333333337	20.1799	17.5351	6.765352685805311	24.601962736477486	6.91289564143838	13.888	12.9083	11.5751	2.9283556187731	14.723825459632296	2.9701290296669893	69.17853333333333	45.1846	35.278	50.382160869233594	82.95806333599788	52.52513170443127	0.5	18.8575			17.5351;20.1799;30.3494	11.5751;12.9083;17.1806	35.278;45.1846;127.073	1	2	1	11370	Acadvl_29377	20.1799	20.1799		12.9083	12.9083		45.1846	45.1846		20.1799	12.9083	45.1846	2	93747;11364	Echs1_78943;Acadm_31166	23.94225	23.94225	9.061078426158767	14.377849999999999	14.377849999999999	3.963687061941201	81.1755	81.1755	64.90886697901912	17.5351;30.3494	11.5751;17.1806	35.278;127.073	0						Linear,3(1)	1.9466063965028078	5.9148945808410645	1.5453131198883057	2.189167022705078	0.3692285065937917	2.1804144382476807	15.032416072480906	30.34385059418576	10.574253666628058	17.201746333371943	12.165751218527525	126.19131544813914	DOWN	0.3333333333333333	0.6666666666666666	0.0	
1704	Selenium pathway	32	63	16	16	6	15	16	15	16	5	5	632	58	8292	0.71269	0.46484	0.80292	7.94	107869;16193;14598;12359;16835	cth;il6;ggt1;cat;ldlr	Cth_74032;Il6_60343;Ggt1_80192;Cat_79497;Ldlr_78421	14598(0.2374)	8.606848	5.93896	1.0771	7.003769472799628	8.453026824536572	7.006145680794971	5.163418999999999	4.20891	0.292285	4.046900772669129	5.152134509130449	4.000924480186836	16.726778000000003	13.9658	7.25768	10.967440151946121	16.06557055783769	11.192921480268247	2.5	8.442979999999999			5.60558;19.4656;1.0771;10.947;5.93896	2.97257;10.575;0.292285;7.76833;4.20891	13.9658;34.9177;7.25768;17.9402;9.55251	4	1	4	107869;16193;14598;12359	Cth_74032;Il6_60343;Ggt1_80192;Cat_79497	9.27382	8.27629	7.901774364803556	5.40204625	5.37045	4.632161632415574	18.520345	15.953	11.787017183838334	5.60558;19.4656;1.0771;10.947	2.97257;10.575;0.292285;7.76833	13.9658;34.9177;7.25768;17.9402	1	16835	Ldlr_78421	5.93896	5.93896		4.20891	4.20891		9.55251	9.55251		5.93896	4.20891	9.55251	0						Exp 2,1(0.2);Exp 4,2(0.4);Linear,1(0.2);Power,1(0.2)	4.4390688412274715	27.38367760181427	1.7058182954788208	8.797158241271973	3.3726354408122603	6.301594257354736	2.4677733811522105	14.745922618847793	1.6161540714532387	8.71068392854676	7.113392846186436	26.340163153813563	UP	0.8	0.2	0.0	
1705	Physiological and pathological hypertrophy  of the heart	19	23	8	8	2	8	8	8	8	2	2	635	21	8329	0.77941	0.49242	0.67637	8.7	26416;16476	mapk14;jun	Mapk14_31848;Jun_29880,Jun_77116		22.531875	22.531875	18.11445	6.247182345765985	20.613396674182642	5.627270127511924	15.069225	15.069225	11.514949999999999	5.026503909403634	13.525610891895278	4.527720455347276	30.9056	30.9056	22.697499999999998	11.60800634131461	27.340839546536394	10.45613585598636	0.5	22.531875			26.9493;18.11445	18.6235;11.514949999999999	39.1137;22.697499999999998	2	1	1	16476	Jun_29880,Jun_77116	18.11445	18.11445		11.514949999999999	11.514949999999999		22.697499999999998	22.697499999999998		18.11445	11.514949999999999	22.697499999999998	1	26416	Mapk14_31848	26.9493	26.9493		18.6235	18.6235		39.1137	39.1137		26.9493	18.6235	39.1137	0						Hill,2(0.67);Linear,1(0.34)	5.560196866389436	27.676398038864136	1.592160940170288	20.92448616027832	10.287479229845747	5.159750938415527	13.873722	31.190027999999998	8.102846	22.035604	14.817723999999995	46.993476	CONFLICT	0.5	0.5	0.0	
1707	Angiogenesis	19	23	13	12	5	13	12	12	13	4	4	633	19	8331	0.97966	0.075535	0.075535	17.39	14183;18595;18127;14083	fgfr2;pdgfra;nos3;ptk2	Fgfr2_63464;Pdgfra_65681;Nos3_29714;Ptk2_31747	14183(-0.3265);14083(-0.4945)	6.14273	6.262135	3.39777	2.8091134552974775	5.582336989935175	2.883449170275559	3.6706575	3.34434	1.78781	2.0124253119784767	3.311151749402934	2.1017095824150944	12.790845000000001	11.25748	6.52362	6.909637741442502	11.243089960764243	6.791229765463384	0.5	3.7215049999999996	1.5	6.262135	8.64888;4.04524;8.47903;3.39777	6.20614;2.35368;4.335;1.78781	13.7198;8.79516;22.1248;6.52362	0	4	0															4	14183;18595;18127;14083	Fgfr2_63464;Pdgfra_65681;Nos3_29714;Ptk2_31747	6.14273	6.262135	2.8091134552974775	3.6706575	3.34434	2.0124253119784767	12.790845000000001	11.25748	6.909637741442502	8.64888;4.04524;8.47903;3.39777	6.20614;2.35368;4.335;1.78781	13.7198;8.79516;22.1248;6.52362	0						Exp 2,2(0.5);Exp 4,1(0.25);Exp 5,1(0.25)	2.3254572529815705	9.803908109664917	1.7995333671569824	3.9416794776916504	1.0009824116353994	2.031347632408142	3.3897988138084725	8.895661186191528	1.6984806942610933	5.642834305738907	6.019400013386346	19.562289986613656	DOWN	0.0	1.0	0.0	
1708	Heart development	26	44	12	12	3	12	12	12	12	3	3	634	41	8309	0.61973	0.61231	1.0	6.82	14465;12159;15111	gata6;bmp4;hand2	Gata6_30011,Gata6_71746;Bmp4_29758;Hand2_58147		6.285321000000001	3.04659	2.234273	6.326185511724501	6.156172153113406	6.274748939334655	3.943037333333333	1.86172	1.019782	4.354483388522837	3.8526639618971212	4.320893666897076	12.796426666666667	6.19942	6.05276	11.553594723242346	12.569903567632608	11.450576875298635	1.5	8.310845			2.234273;13.5751;3.04659	1.019782;8.94761;1.86172	6.19942;26.1371;6.05276	0	4	0															3	14465;12159;15111	Gata6_30011,Gata6_71746;Bmp4_29758;Hand2_58147	6.285321000000001	3.04659	6.326185511724501	3.943037333333333	1.86172	4.354483388522837	12.796426666666667	6.19942	11.553594723242346	2.234273;13.5751;3.04659	1.019782;8.94761;1.86172	6.19942;26.1371;6.05276	0						Exp 2,1(0.25);Exp 4,3(0.75)	3.325706127027148	15.391891717910767	2.0682621002197266	7.681731224060059	2.613480695201288	2.8209491968154907	-0.873431819949797	13.444073819949798	-0.9845244934956776	8.870599160162342	-0.2776965395340767	25.87054987286741	DOWN	0.0	1.0	0.0	
1709	Fluoropyrimidine activity	22	35	10	9	3	8	9	7	10	3	3	634	32	8318	0.76618	0.456	0.73543	8.57	22271;26357;22059	upp1;abcg2;trp53	Upp1_31815;Abcg2_31832;Trp53_31258	22271(0.0586);26357(0.1956);22059(0.2127)	3.404856666666666	3.53732	2.99367	0.36352971409960505	3.1417008845349055	0.32570766127640177	1.89494	1.71834	1.4575	0.5475337593244826	1.615344717519498	0.41792159207962204	7.911196666666666	7.379	6.72481	1.5238561757046944	7.5688297669773625	0.9645513748337309	0.5	3.2654949999999996			3.68358;3.53732;2.99367	2.50898;1.71834;1.4575	6.72481;9.62978;7.379	2	1	2	22271;22059	Upp1_31815;Trp53_31258	3.338625	3.338625	0.48784003940840887	1.9832400000000001	1.9832400000000001	0.7435086382820316	7.051905	7.051905	0.46258218518443955	3.68358;2.99367	2.50898;1.4575	6.72481;7.379	1	26357	Abcg2_31832	3.53732	3.53732		1.71834	1.71834		9.62978	9.62978		3.53732	1.71834	9.62978	0						Exp 4,2(0.67);Poly 2,1(0.34)	2.3266142504210645	7.224505543708801	1.5919924974441528	2.9586894512176514	0.7210371746318142	2.673823595046997	2.993484069210762	3.8162292641225717	1.2753472238606607	2.51453277613934	6.186791071097885	9.63560226223545	UP	0.6666666666666666	0.3333333333333333	0.0	
171	Chromatin remodeling by nuclear receptors to facilitate initiation of transcription in carcinoma cells	8	8	3	3	1	3	3	3	3	1	1	636	7	8343	0.89437	0.44477	0.44477	12.5	20602	ncor2	Ncor2_29294,Ncor2_31924	20602(0.2191)	14.24837	14.24837	14.24837		14.24837		8.85364	8.85364	8.85364		8.85364		35.53725	35.53725	35.53725		35.53725000000001		0.0	14.24837	0.0	14.24837	14.24837	8.85364	35.53725	0	2	0															1	20602	Ncor2_29294,Ncor2_31924	14.24837	14.24837		8.85364	8.85364		35.53725	35.53725		14.24837	8.85364	35.53725	0						Linear,1(0.5);Poly 2,1(0.5)	1.8379998532542148	3.6913214921951294	1.677672266960144	2.0136492252349854	0.23757158551857002	1.8456607460975647	14.24837	14.24837	8.85364	8.85364	35.53725	35.53725	DOWN	0.0	1.0	0.0	
1710	Nicotine activity on dopaminergic neurons	7	21	3	3	2	2	3	2	3	1	1	636	20	8330	0.5555	0.78683	1.0	4.76	14677	gnai1	Gnai1_31395		1.09904	1.09904	1.09904		1.09904		0.776234	0.776234	0.776234		0.7762340000000001		1.75712	1.75712	1.75712		1.75712						1.09904	0.776234	1.75712	0	1	0															1	14677	Gnai1_31395	1.09904	1.09904		0.776234	0.776234		1.75712	1.75712		1.09904	0.776234	1.75712	0						Exp 4,1(1)	4.25211763381958	4.25211763381958	4.25211763381958	4.25211763381958	0.0	4.25211763381958	1.09904	1.09904	0.776234	0.776234	1.75712	1.75712	DOWN	0.0	1.0	0.0	
1712	Nuclear receptors	21	37	9	7	2	9	7	7	9	2	2	635	35	8315	0.50677	0.74885	1.0	5.41	19883;353187	rora;nr1d2	Rora_75714;Nr1d2_76151		12.5289	12.5289	11.5973	1.3174813547067816	12.369939671401676	1.2981603706260019	8.741445	8.741445	8.17655	0.7988821703167581	8.645056104740716	0.7871664905160657	21.475749999999998	21.475749999999998	19.3249	3.0417612406301955	21.10874718466541	2.997153534951573	0.5	12.5289			11.5973;13.4605	8.17655;9.30634	19.3249;23.6266	2	0	2	19883;353187	Rora_75714;Nr1d2_76151	12.5289	12.5289	1.3174813547067816	8.741445	8.741445	0.7988821703167581	21.475749999999998	21.475749999999998	3.0417612406301955	11.5973;13.4605	8.17655;9.30634	19.3249;23.6266	0															0						Linear,2(1)	2.385075939420055	5.043290495872498	1.7030442953109741	3.3402462005615234	1.1576765693741988	2.521645247936249	10.702964000000001	14.354835999999999	7.634250800000001	9.848639200000001	17.260084	25.691415999999997	UP	1.0	0.0	0.0	
1714	TP53 network	14	18	9	9	7	9	9	9	9	6	6	631	12	8338	0.99986	0.0010989	0.0010989	33.33	13197;11350;12575;170770;22059;12028	gadd45a;abl1;cdkn1a;bbc3;trp53;bax	Gadd45a_31917;Abl1_71120;Cdkn1a_30669;Bbc3_31767;Trp53_31258;Bax_65736	11350(-0.2314);22059(0.2127)	10.591740000000001	7.83283	2.99367	8.273027549295358	9.673426725518508	8.706245690087831	6.262696666666667	4.629445	1.4575	5.023788779798237	5.476930653058546	5.199529353322578	20.508373333333335	14.992750000000001	6.48054	15.394532070091207	19.229384134287212	15.074749649230098	0.0	2.99367	0.5	3.3318399999999997	10.8511;21.7009;19.5202;3.67001;2.99367;4.81456	6.7398;12.0031;12.5854;2.51909;1.4575;2.27129	17.123;36.7131;42.4921;6.48054;7.379;12.8625	5	1	5	13197;12575;170770;22059;12028	Gadd45a_31917;Cdkn1a_30669;Bbc3_31767;Trp53_31258;Bax_65736	8.369908	4.81456	6.966326167182382	5.114616	2.51909	4.6542881304480925	17.267428000000002	12.8625	14.74657832071291	10.8511;19.5202;3.67001;2.99367;4.81456	6.7398;12.5854;2.51909;1.4575;2.27129	17.123;42.4921;6.48054;7.379;12.8625	1	11350	Abl1_71120	21.7009	21.7009		12.0031	12.0031		36.7131	36.7131		21.7009	12.0031	36.7131	0						Exp 3,1(0.17);Exp 4,2(0.34);Exp 5,1(0.17);Linear,1(0.17);Poly 2,1(0.17)	2.557461822860914	21.261828422546387	1.5605220794677734	11.401989936828613	3.8969195806073884	1.7813553214073181	3.9719392662378636	17.211540733762135	2.2428284318984986	10.282564901434833	8.190182189125869	32.8265644775408	UP	0.8333333333333334	0.16666666666666666	0.0	
1716	SRF and microRNAs in smooth muscle differentiation and proliferation	7	11	5	5	2	4	4	3	5	1	1	636	10	8340	0.8193	0.55477	0.55477	9.09	17261	mef2d	Mef2d_61011		23.2931	23.2931	23.2931		23.2931		14.3503	14.3503	14.3503		14.3503		60.5165	60.5165	60.5165		60.5165		0.0	23.2931			23.2931	14.3503	60.5165	1	0	1	17261	Mef2d_61011	23.2931	23.2931		14.3503	14.3503		60.5165	60.5165		23.2931	14.3503	60.5165	0															0						Linear,1(1)	2.1912121772766113	2.1912121772766113	2.1912121772766113	2.1912121772766113	0.0	2.1912121772766113	23.2931	23.2931	14.3503	14.3503	60.5165	60.5165	UP	1.0	0.0	0.0	
